,Unnamed: 0,index,Recipients,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By,Padma Shri State Tel,Padma Shri Field Tel,Padma Shri Awarded By Tel
373,373,373,Basavapatna Narayana Balakrishna Rao,"Karnataka, India",Medicine,V. V. Giri,,,,,,,"కర్ణాటక, భారత్",మెడిసిన్,వి. వి. గిరి
374,374,374,Basavaraj Rajguru,Karnataka,Arts,Fakhruddin Ali Ahmed,Karnataka,Arts,R. Venkataraman,,,,కర్ణాటక,ఆర్ట్స్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
375,375,375,Bashir Badr,"Madhya Pradesh, India",Literature and Education,K. R. Narayanan,,,,,,,"మధ్యప్రదేశ్, భారత్",సాహిత్యం మరియు విద్య,కె. ఆర్. నారాయణన్
376,376,376,Bashir Hussain Zaidi,,,,,,,Delhi/India,Literature and Education,Fakhruddin Ali Ahmed,,,
377,377,377,Baua Devi,"Bihar, India",Arts,Pranab Mukherjee,,,,,,,"బీహార్, భారత్",ఆర్ట్స్,ప్రణబ్ ముఖర్జీ
378,378,378,Begum Aizaz Rasul,,,,"Uttar Pradesh, India",Social Work,K. R. Narayanan,,,,,,
379,379,379,Begum Akhtar,"Uttar Pradesh, India",Arts,Zakir Husain (politician),,,,,,,"ఉత్తరప్రదేశ్, భారత్",ఆర్ట్స్,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
380,380,380,Begum Parveen Sultana,"Maharashtra, India",Arts,Fakhruddin Ali Ahmed,"Maharashtra, India",Arts,Pranab Mukherjee,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
381,381,381,Begum Zaffar Ali,Jammu & Kashmir/India,Social Work,Zail Singh,,,,,,,జమ్మూ అండ్ కశ్మీర్/ఇండియా,సామాజిక పని,జైల్ సింగ్
382,382,382,Behram Contractor,"Maharashtra, India",Literature and Education,R. Venkataraman,,,,,,,"మహారాష్ట్ర, భారత్",సాహిత్యం మరియు విద్య,ఆర్. వెంకటరమణ
383,383,383,Bellary Shamanna Kesavan,"Karnataka, India",Literature and Education,Rajendra Prasad,,,,,,,"కర్ణాటక, భారత్",సాహిత్యం మరియు విద్య,రాజేంద్ర ప్రసాద్
384,384,384,Ben Kingsley,United Kingdom,Arts,Zail Singh,,,,,,,యునైటెడ్ కింగ్డమ్,ఆర్ట్స్,జైల్ సింగ్
385,385,385,Benichandra Jamatia,"Tripura, India",Literature and Education,Ram Nath Kovind,,,,,,,"త్రిపుర, భారత్",సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
386,386,386,Benjamin Peary Pal,Delhi,Science and Engineering,Rajendra Prasad,Punjab,Science and Engineering,Zakir Husain (politician),Punjab,Science and Engineering,Zail Singh,ఢిల్లీ,సైన్స్ అండ్ ఇంజినీరింగ్,రాజేంద్ర ప్రసాద్
387,387,387,Benode Behari Mukherjee,,,,,,,"West Bengal, India",Arts,V. V. Giri,,,
388,388,388,Benudhar Sharma,,,,"Assam, India",Literature and Education,Zail Singh,,,,,,
389,389,389,Bernard Peters,,,,,Science and Engineering,Zail Singh,,,,,,
390,390,390,Bertha Gyndykes Dkhar,"Meghalaya, India",Literature and Education,Pratibha Patil,,,,,,,"మేఘాలయ, భారతదేశం",సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
391,391,391,Bettina Baumer,Jammu & Kashmir/India,Literature and Education,Pranab Mukherjee,,,,,,,జమ్మూ అండ్ కశ్మీర్/ఇండియా,సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
392,392,392,Bhabani Charan Pattanayak,"Odisha, India",Public Affairs,Ram Nath Kovind,,,,,,,"ఒడిశా, భారత్",ప్రజా వ్యవహారాలు,రామ్ నాథ్ కోవింద్
393,393,393,Bhabatosh Datta,,,,,,,"West Bengal, India",Literature and Education,R. Venkataraman,,,
394,394,394,Bhabendra Nath Saikia,"Assam, India",Literature and Education,K. R. Narayanan,,,,,,,"అసోం, ఇండియా",సాహిత్యం మరియు విద్య,కె. ఆర్. నారాయణన్
395,395,395,Bhagaban Sahu,"Odisha, India",Arts,R. Venkataraman,,,,,,,"ఒడిశా, భారత్",ఆర్ట్స్,ఆర్. వెంకటరమణ
396,396,396,Bhagat Puran Singh,"Punjab, India",Social Work,Neelam Sanjiva Reddy,,,,,,,"పంజాబ్, భారత్",సామాజిక పని,నీలం సంజీవ రెడ్డి
397,397,397,Bhagavatula Dattaguru,"Karnataka, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,,"కర్ణాటక, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,ఎ. పి. జె. అబ్దుల్ కలాం
398,398,398,Bhagirathi Devi,"Bihar, India",Public Affairs,Ram Nath Kovind,,,,,,,"బీహార్, భారత్",ప్రజా వ్యవహారాలు,రామ్ నాథ్ కోవింద్
399,399,399,Bhagwan Sahay,,,,"Uttar Pradesh, India",Civil Service,Rajendra Prasad,,,,,,
400,400,400,Bhagwantrao Mandloi,,,,"Madhya Pradesh, India",Public Affairs,V. V. Giri,,,,,,
401,401,401,Bhagwati Charan Verma,,,,"Uttar Pradesh, India",Literature and Education,V. V. Giri,,,,,,
402,402,402,Bhagyashree Thipsay,"Maharashtra, India",Sports,Zail Singh,,,,,,,"మహారాష్ట్ర, భారత్",క్రీడలు,జైల్ సింగ్
403,403,403,Bhajan Sopori,Delhi/India,Arts,A. P. J. Abdul Kalam,,,,,,,ఢిల్లీ/ఇండియా,ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
404,404,404,Bhajju Shyam,"Madhya Pradesh, India",Arts,Ram Nath Kovind,,,,,,,"మధ్యప్రదేశ్, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
405,405,405,Bhakta B. Rath,,,,"Odisha, India",Science and Engineering,Pratibha Patil,,,,,,
406,406,406,Bhakti Yadav,"Madhya Pradesh, India",Medicine,Pranab Mukherjee,,,,,,,"మధ్యప్రదేశ్, భారత్",మెడిసిన్,ప్రణబ్ ముఖర్జీ
407,407,407,Bhalchandra Babaji Dikshit,,,,"Maharashtra, India",Medicine,Sarvepalli Radhakrishnan,,,,,,
408,408,408,Bhalchandra Dattatray Mondhe,"Madhya Pradesh, India",Arts,Pranab Mukherjee,,,,,,,"మధ్యప్రదేశ్, భారత్",ఆర్ట్స్,ప్రణబ్ ముఖర్జీ
409,409,409,Bhalchandra Digambar Garware,,,,"Maharashtra, India",Trade and Industry,V. V. Giri,,,,,,
410,410,410,Bhalchandra Nemade,"Himachal Pradesh, India",Literature and Education,Pratibha Patil,,,,,,,"హిమాచల్ ప్రదేశ్, భారత్",సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
411,411,411,Bhalchandra Nilkanth Purandare,,,,"Maharashtra, India",Medicine,V. V. Giri,,,,,,
412,412,412,Bhalchandra Udgaonkar,,,,"Maharashtra, India",Science and Engineering,Zail Singh,,,,,,
413,413,413,Bhalindra Singh,,,,Delhi/India,Sports,Zail Singh,,,,,,
414,414,414,Bharat Bhushan,"Uttar Pradesh, India",Literature and Education,R. Venkataraman,,,,,,,"ఉత్తరప్రదేశ్, భారత్",సాహిత్యం మరియు విద్య,ఆర్. వెంకటరమణ
415,415,415,Bharat Bhushan Tyagi,"Uttar Pradesh, India",Others,Ram Nath Kovind,,,,,,,"ఉత్తరప్రదేశ్, భారత్",మరికొందరు,రామ్ నాథ్ కోవింద్
416,416,416,Bharat Goenka,"Karnataka, India",Trade and Industry,Ram Nath Kovind,,,,,,,"కర్ణాటక, భారత్",వాణిజ్యం మరియు పరిశ్రమ,రామ్ నాథ్ కోవింద్
417,417,417,Bharat Ram,,,,Delhi/India,Trade and Industry,V. V. Giri,,,,,,
418,418,418,Bharathi Vishnuvardhan,"Karnataka, India",Arts,Pranab Mukherjee,,,,,,,"కర్ణాటక, భారత్",ఆర్ట్స్,ప్రణబ్ ముఖర్జీ
419,419,419,Bharathiraja,"Tamil Nadu, India",Arts,A. P. J. Abdul Kalam,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
420,420,420,Bharati Shivaji,Delhi/India,Arts,A. P. J. Abdul Kalam,,,,,,,ఢిల్లీ/ఇండియా,ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
421,421,421,Bhargavaram Viththal Varerkar,,,,"Maharashtra, India",Public Affairs,Rajendra Prasad,,,,,,
422,422,422,Bhaurao Patil,,,,"Maharashtra, India",Social Work,Rajendra Prasad,,,,,,
423,423,423,Bhavarlal Jain,"Maharashtra, India",Science and Engineering,Pratibha Patil,,,,,,,"మహారాష్ట్ర, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,ప్రతిభా పాటిల్
424,424,424,Bhawana Somaaya,"Maharashtra, India",Literature and Education,Pranab Mukherjee,,,,,,,"మహారాష్ట్ర, భారత్",సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
425,425,425,Bhikhu Parekh,,,,"Gujarat, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
426,426,426,Bhikhudan Gadhvi,"Gujarat, India",Arts,Pranab Mukherjee,,,,,,,"గుజరాత్, భారత్",ఆర్ట్స్,ప్రణబ్ ముఖర్జీ
427,427,427,Bhimsen Joshi,Maharashtra,Arts,V. V. Giri,Maharashtra,Arts,Zail Singh,Maharashtra,Arts,K. R. Narayanan,మహారాష్ట్ర,ఆర్ట్స్,వి. వి. గిరి
428,428,428,Bhisham Sahni,,,,Delhi/India,Literature and Education,K. R. Narayanan,,,,,,
429,429,429,Bhogilal Pandya,,,,"Rajasthan, India",Social Work,Fakhruddin Ali Ahmed,,,,,,
430,430,430,Bhola Nath Jha,,,,,,,"Uttar Pradesh, India",Civil Service,Sarvepalli Radhakrishnan,,,
431,431,431,Bhola Nath Mullik,,,,Delhi/India,Civil Service,Sarvepalli Radhakrishnan,,,,,,
432,432,432,Bholabhai Patel,"Gujarat, India",Literature and Education,Pratibha Patil,,,,,,,"గుజరాత్, భారత్",సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
433,433,433,Bhupathiraju Somaraju,"Andhra Pradesh, India",Medicine,K. R. Narayanan,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",మెడిసిన్,కె. ఆర్. నారాయణన్
434,434,434,Bhupen Hazarika,Assam,Arts,Fakhruddin Ali Ahmed,Assam,Arts,K. R. Narayanan,Assam,Arts,Pratibha Patil,అసోం,ఆర్ట్స్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
435,435,435,Bhupen Khakhar,"Gujarat, India",Arts,Zail Singh,,,,,,,"గుజరాత్, భారత్",ఆర్ట్స్,జైల్ సింగ్
436,436,436,Bhuri Bai,"Madhya Pradesh, India",Arts,Ram Nath Kovind,,,,,,,"మధ్యప్రదేశ్, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
437,437,437,Bhuvneshwari Kumari,Delhi/India,Sports,K. R. Narayanan,,,,,,,ఢిల్లీ/ఇండియా,క్రీడలు,కె. ఆర్. నారాయణన్
438,438,438,Bibek Debroy,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
439,439,439,Bijoy Chandra Bhagavati,,,,"Assam, India",Public Affairs,R. Venkataraman,,,,,,
440,440,440,Bijoy Nandan Shahi,,,,Delhi/India,Medicine,A. P. J. Abdul Kalam,,,,,,
441,441,441,Bikash Bhattacharjee,"West Bengal, India",Arts,R. Venkataraman,,,,,,,"పశ్చిమ బెంగాల్, భారత్",ఆర్ట్స్,ఆర్. వెంకటరమణ
442,442,442,Bikash Sinha,West Bengal,Science and Engineering,K. R. Narayanan,West Bengal,Science and Engineering,Pratibha Patil,,,,పశ్చిమ బెంగాల్,సైన్స్ అండ్ ఇంజినీరింగ్,కె. ఆర్. నారాయణన్
443,443,443,Bilat Paswan Vihangam,"Bihar, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,,"బీహార్, భారత్",సాహిత్యం మరియు విద్య,ఎ. పి. జె. అబ్దుల్ కలాం
444,444,444,Bill Gates,,,,"Washington, United States",Social Work,Pranab Mukherjee,,,,,,
445,445,445,Billy Arjan Singh,,,,"Uttar Pradesh, India",Others,A. P. J. Abdul Kalam,,,,,,
446,446,446,Bimal Krishna Matilal,,,,,Literature and Education,R. Venkataraman,,,,,,
447,447,447,Bimal Kumar Bachhawat,,,,Delhi/India,Science and Engineering,R. Venkataraman,,,,,,
448,448,448,Bimal Kumar Roy,"West Bengal, India",Literature and Education,Pranab Mukherjee,,,,,,,"పశ్చిమ బెంగాల్, భారత్",సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
449,449,449,Bimal Patel,"Gujarat, India",Others,Ram Nath Kovind,,,,,,,"గుజరాత్, భారత్",మరికొందరు,రామ్ నాథ్ కోవింద్
450,450,450,Bimala Prasad Chaliha,,,,,,,"Assam, India",Civil Service,V. V. Giri,,,
451,451,451,Biman Bihari Das,Delhi/India,Arts,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,ఆర్ట్స్,ప్రణబ్ ముఖర్జీ
452,452,452,Bimla Poddar,"Uttar Pradesh, India",Social Work,Pranab Mukherjee,,,,,,,"ఉత్తరప్రదేశ్, భారత్",సామాజిక పని,ప్రణబ్ ముఖర్జీ
453,453,453,Bina Agarwal,Delhi/India,Literature and Education,Pratibha Patil,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
454,454,454,Bina Das,"West Bengal, India",Social Work,Rajendra Prasad,,,,,,,"పశ్చిమ బెంగాల్, భారత్",సామాజిక పని,రాజేంద్ర ప్రసాద్
455,455,455,Binapani Mohanty,"Odisha, India",Literature and Education,Ram Nath Kovind,,,,,,,"ఒడిశా, భారత్",సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
456,456,456,Binay Ranjan Sen,,,,,,,"West Bengal, India",Civil Service,V. V. Giri,,,
457,457,457,Bindeshwar Pathak,,,,"Bihar, India",Social Work,R. Venkataraman,,,,,,
458,458,458,Bindeshwari Prasad Verma,,,,"Bihar, India",Public Affairs,Rajendra Prasad,,,,,,
459,459,459,Bindhyabasini Devi,"Bihar, India",Arts,V. V. Giri,,,,,,,"బీహార్, భారత్",ఆర్ట్స్,వి. వి. గిరి
460,460,460,Binny Yanga,Arunachal Pradesh,Social Work,Pratibha Patil,,,,,,,అరుణాచల్ ప్రదేశ్,సామాజిక పని,ప్రతిభా పాటిల్
461,461,461,Binod Kanungo,"Odisha, India",Literature and Education,Zail Singh,,,,,,,"ఒడిశా, భారత్",సాహిత్యం మరియు విద్య,జైల్ సింగ్
462,462,462,Bipan Chandra,,,,Delhi/India,Literature and Education,Pratibha Patil,,,,,,
463,463,463,Bipin Ganatra,"West Bengal, India",Social Work,Pranab Mukherjee,,,,,,,"పశ్చిమ బెంగాల్, భారత్",సామాజిక పని,ప్రణబ్ ముఖర్జీ
464,464,464,Bir Bhan Bhatia,Delhi/India,Medicine,Rajendra Prasad,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,రాజేంద్ర ప్రసాద్
465,465,465,Biren De,Delhi/India,Arts,R. Venkataraman,,,,,,,ఢిల్లీ/ఇండియా,ఆర్ట్స్,ఆర్. వెంకటరమణ
466,466,466,Birendra Nath Datta,"Assam, India",Literature and Education,Pratibha Patil,,,,,,,"అసోం, ఇండియా",సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
467,467,467,Birendranath Sircar,,,,"Bihar, India",Arts,V. V. Giri,,,,,,
468,468,468,Birju Maharaj,,,,,,,Delhi/India,Arts,Zail Singh,,,
469,469,469,Bishamber Khanna,Delhi/India,Arts,R. Venkataraman,,,,,,,ఢిల్లీ/ఇండియా,ఆర్ట్స్,ఆర్. వెంకటరమణ
470,470,470,Bishambhar Nath Pande,"Uttar Pradesh, India",Social Work,Fakhruddin Ali Ahmed,,,,,,,"ఉత్తరప్రదేశ్, భారత్",సామాజిక పని,ఫఖ్రుద్దీన్ అలీ అహ్మద్
471,471,471,Bishan Singh Bedi,Delhi/India,Sports,V. V. Giri,,,,,,,ఢిల్లీ/ఇండియా,క్రీడలు,వి. వి. గిరి
472,472,472,Bishnupada Mukerjee,"West Bengal, India",Civil Service,Rajendra Prasad,,,,,,,"పశ్చిమ బెంగాల్, భారత్",సివిల్ సర్వీస్,రాజేంద్ర ప్రసాద్
473,473,473,Bismillah Khan,Uttar Pradesh,Arts,Rajendra Prasad,Uttar Pradesh,Arts,Zakir Husain (politician),Uttar Pradesh,Arts,Neelam Sanjiva Reddy,ఉత్తరప్రదేశ్,ఆర్ట్స్,రాజేంద్ర ప్రసాద్
474,474,474,Bisweswar Bhattacharjee,"Maharashtra, India",Science and Engineering,K. R. Narayanan,,,,,,,"మహారాష్ట్ర, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,కె. ఆర్. నారాయణన్
475,475,475,Bob Blackman,,Public Affairs,Ram Nath Kovind,,,,,,,,ప్రజా వ్యవహారాలు,రామ్ నాథ్ కోవింద్
476,476,476,Bombay Jayashri,"Tamil Nadu, India",Arts,Ram Nath Kovind,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
477,477,477,Bombay Sisters,"Tamil Nadu, India",Arts,Ram Nath Kovind,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
478,478,478,Bombayla Devi Laishram,"Manipur, India",Sports,Ram Nath Kovind,,,,,,,"మణిపూర్, భారత్",క్రీడలు,రామ్ నాథ్ కోవింద్
479,479,479,Boshi Sen,,,,"West Bengal, India",Science and Engineering,Rajendra Prasad,,,,,,
480,480,480,Bounlap Keokangna,,Others,Ram Nath Kovind,,,,,,,,మరికొందరు,రామ్ నాథ్ కోవింద్
481,481,481,Boyi Bhimanna,Andhra Pradesh,Literature and Education,V. V. Giri,Andhra Pradesh,Literature and Education,K. R. Narayanan,,,,ఆంధ్రప్రదేశ్,సాహిత్యం మరియు విద్య,వి. వి. గిరి
482,482,482,Brahm Prakash,Punjab,Science and Engineering,Rajendra Prasad,Punjab,Science and Engineering,Zakir Husain (politician),,,,పంజాబ్,సైన్స్ అండ్ ఇంజినీరింగ్,రాజేంద్ర ప్రసాద్
483,483,483,Brahma Singh,Delhi/India,Science and Engineering,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,సైన్స్ అండ్ ఇంజినీరింగ్,ప్రణబ్ ముఖర్జీ
484,484,484,Brahmanandam,"Andhra Pradesh, India",Arts,Pratibha Patil,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",ఆర్ట్స్,ప్రతిభా పాటిల్
485,485,485,Brahmdeo Ram Pandit,"Maharashtra, India",Arts,Pranab Mukherjee,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ప్రణబ్ ముఖర్జీ
486,486,486,Brahmdev Sharma,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
487,487,487,Braj Kumar Nehru,,,,,,,"Himachal Pradesh, India",Civil Service,K. R. Narayanan,,,
488,488,488,Brajbir Saran Das,Delhi/India,Civil Service,V. V. Giri,,,,,,,ఢిల్లీ/ఇండియా,సివిల్ సర్వీస్,వి. వి. గిరి
489,489,489,Brajesh Mishra,,,,,,,Delhi/India,Civil Service,Pratibha Patil,,,
490,490,490,Brihaspati Dev Triguna,,,,Delhi,Medicine,R. Venkataraman,Delhi,Medicine,A. P. J. Abdul Kalam,,,
491,491,491,Brij Krishna Chandiwala,Delhi/India,Social Work,Sarvepalli Radhakrishnan,,,,,,,ఢిల్లీ/ఇండియా,సామాజిక పని,సర్వేపల్లి రాధాకృష్ణన్
492,492,492,Brijendra Kumar Rao,,,,Delhi/India,Medicine,Pratibha Patil,,,,,,
493,493,493,Brijmohan Lall Munjal,,,,Delhi/India,Trade and Industry,A. P. J. Abdul Kalam,,,,,,
494,494,494,Buddhadev Das Gupta,,,,"West Bengal, India",Arts,Pratibha Patil,,,,,,
495,495,495,Budhaditya Mukherjee,,,,"West Bengal, India",Arts,Ram Nath Kovind,,,,,,
496,496,496,Bula Choudhury,"West Bengal, India",Sports,Pratibha Patil,,,,,,,"పశ్చిమ బెంగాల్, భారత్",క్రీడలు,ప్రతిభా పాటిల్
497,497,497,Bulu Imam,"Jharkhand, India",Social Work,Ram Nath Kovind,,,,,,,"జార్ఖండ్, భారత్",సామాజిక పని,రామ్ నాథ్ కోవింద్
498,498,498,Bunker Roy,Delhi/India,Social Work,Zail Singh,,,,,,,ఢిల్లీ/ఇండియా,సామాజిక పని,జైల్ సింగ్
499,499,499,C. D. Deshmukh,,,,,,,"Andhra Pradesh, India",Public Affairs,Fakhruddin Ali Ahmed,,,
500,500,500,C. D. Narasimhaiah,,,,"Karnataka, India",Literature and Education,R. Venkataraman,,,,,,
501,501,501,C. G. Krishnadas Nair,"Karnataka, India",Science and Engineering,K. R. Narayanan,,,,,,,"కర్ణాటక, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,కె. ఆర్. నారాయణన్
502,502,502,C. K. Prahalad,,,,"Tamil Nadu, India",Literature and Education,Pratibha Patil,,,,,,
503,503,503,C. N. Manjunath,"Karnataka, India",Medicine,A. P. J. Abdul Kalam,,,,,,,"కర్ణాటక, భారత్",మెడిసిన్,ఎ. పి. జె. అబ్దుల్ కలాం
504,504,504,C. N. R. Rao,Uttar Pradesh,Science and Engineering,V. V. Giri,,,,Karnataka,Science and Engineering,Zail Singh,ఉత్తరప్రదేశ్,సైన్స్ అండ్ ఇంజినీరింగ్,వి. వి. గిరి
505,505,505,C. Narayana Reddy,Andhra Pradesh,Literature and Education,Fakhruddin Ali Ahmed,Andhra Pradesh,Literature and Education,R. Venkataraman,,,,ఆంధ్రప్రదేశ్,సాహిత్యం మరియు విద్య,ఫఖ్రుద్దీన్ అలీ అహ్మద్
506,506,506,C. P. Krishnan Nair,,,,"Maharashtra, India",Trade and Industry,Pratibha Patil,,,,,,
507,507,507,C. P. Thakur,"Bihar, India",Medicine,Neelam Sanjiva Reddy,,,,,,,"బీహార్, భారత్",మెడిసిన్,నీలం సంజీవ రెడ్డి
508,508,508,C. R. Rao,,,,Delhi[E],Science and Engineering,Zakir Husain (politician),United Arab Emirates(Country),Science and Engineering,K. R. Narayanan,,,
509,509,509,C. R. Vyas,,,,"Maharashtra, India",Arts,R. Venkataraman,,,,,,
510,510,510,C. Rangarajan,,,,,,,"Andhra Pradesh, India",Literature and Education,K. R. Narayanan,,,
511,511,511,C. S. Seshadri,,,,"Tamil Nadu, India",Science and Engineering,Pratibha Patil,,,,,,
512,512,512,C. Sivaramamurti,Delhi,Literature and Education,Zakir Husain (politician),Delhi,Civil Service,Fakhruddin Ali Ahmed,,,,ఢిల్లీ,సాహిత్యం మరియు విద్య,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
513,513,513,C. U. Velmurugendran,"Tamil Nadu, India",Medicine,Pratibha Patil,,,,,,,"తమిళనాడు, భారతదేశం",మెడిసిన్,ప్రతిభా పాటిల్
514,514,514,C. V. Chandrasekhar,,,,"Tamil Nadu, India",Arts,Pratibha Patil,,,,,,
515,515,515,C. Vaidyanatha Bhagavathar,,,,"Kerala, India",Arts,V. V. Giri,,,,,,
516,516,516,C. Venkata S. Ram,"Andhra Pradesh, India",Medicine,Pranab Mukherjee,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",మెడిసిన్,ప్రణబ్ ముఖర్జీ
517,517,517,C. Venkataraman Sundaram,,,,"Tamil Nadu, India",Science and Engineering,Zail Singh,,,,,,
518,518,518,Camille Bulcke,,,,,Literature and Education,V. V. Giri,,,,,,
519,519,519,Carmel Berkson,"Maharashtra, India",Arts,Pratibha Patil,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ప్రతిభా పాటిల్
520,520,520,Chaitanyamoy Ganguly,"Andhra Pradesh, India",Science and Engineering,K. R. Narayanan,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,కె. ఆర్. నారాయణన్
521,521,521,Chakravarthi V. Narasimhan,,,,,,,"Tamil Nadu, India",Civil Service,K. R. Narayanan,,,
522,522,522,Challagalla Narasimham,"Andhra Pradesh, India",Civil Service,Rajendra Prasad,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",సివిల్ సర్వీస్,రాజేంద్ర ప్రసాద్
523,523,523,Chamu Krishna Shastry,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
524,524,524,Chanda Kochhar,,,,"Maharashtra, India",Trade and Industry,Pratibha Patil,,,,,,
525,525,525,Chandeshwar Prasad Narayan Singh,,,,,,,Delhi/India,Literature and Education,Fakhruddin Ali Ahmed,,,
526,526,526,Chandgi Ram,Delhi/India,Sports,V. V. Giri,,,,,,,ఢిల్లీ/ఇండియా,క్రీడలు,వి. వి. గిరి
527,527,527,Chandi Prasad Bhatt,Uttarakhand,Social Work,Zail Singh,Uttarakhand,Others,A. P. J. Abdul Kalam,,,,ఉత్తరాఖండ్,సామాజిక పని,జైల్ సింగ్
528,528,528,Chandra Kisan Daphtary,,,,,,,"Maharashtra, India",Public Affairs,Sarvepalli Radhakrishnan,,,
529,529,529,Chandra Prakash Deval,"Rajasthan, India",Literature and Education,Pratibha Patil,,,,,,,"రాజస్థాన్, భారత్",సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
530,530,530,Chandra Prakash Vohra,"West Bengal, India",Sports,Sarvepalli Radhakrishnan,,,,,,,"పశ్చిమ బెంగాల్, భారత్",క్రీడలు,సర్వేపల్లి రాధాకృష్ణన్
531,531,531,Chandra Prasad Saikia,,,,"Assam, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
532,532,532,Chandraprabha Aitwal,"Uttar Pradesh, India",Sports,R. Venkataraman,,,,,,,"ఉత్తరప్రదేశ్, భారత్",క్రీడలు,ఆర్. వెంకటరమణ
533,533,533,Chandrashekhar Dasgupta,,,,Delhi/India,Civil Service,Pratibha Patil,,,,,,
534,534,534,Chandrashekhar Shankar Dharmadhikari,,,,"Maharashtra, India",Public Affairs,A. P. J. Abdul Kalam,,,,,,
535,535,535,Chandrashekhara Kambara,Karnataka,Literature and Education,K. R. Narayanan,Karnataka,Literature and Education,Ram Nath Kovind,,,,కర్ణాటక,సాహిత్యం మరియు విద్య,కె. ఆర్. నారాయణన్
536,536,536,Chandravadan Mehta,"Gujarat, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,,"గుజరాత్, భారత్",సాహిత్యం మరియు విద్య,సర్వేపల్లి రాధాకృష్ణన్
537,537,537,Chandrika Prasad Srivastava,,,,Uni,Civil Service,V. V. Giri,Maharashtra,Civil Service,Pratibha Patil,,,
538,538,538,Chandu Borde,Maharashtra,Sports,Zakir Husain (politician),Maharashtra,Sports,K. R. Narayanan,,,,మహారాష్ట్ర,క్రీడలు,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
539,539,539,Chandulal Madhavlal Trivedi,,,,,,,"Madhya Pradesh, India",Public Affairs,Rajendra Prasad,,,
540,540,540,Charles Borromeo,"Bihar, India",Sports,Zail Singh,,,,,,,"బీహార్, భారత్",క్రీడలు,జైల్ సింగ్
