,Recipients,biography,biography Telugu
548,Bhimsen Joshi,,
549,Bhisham Sahni,"Bhisham Sahni was born on 8 August 1915 in Rawalpindi, in undivided Punjab. He earned a master's degree in English literature from Government College in Lahore, and a Ph.D. from Punjab University, Chandigarh in 1958.
He joined the struggle for Indian independence. At the time of Partition, he was an active member of the Indian National Congress and organized relief work for the refugees when riots broke out in Rawalpindi in March 1947. 
In 1948 Bhisham Sahni started working with the Indian People’s Theatre Association (IPTA), an organization with which his brother, Balraj Sahni was already closely associated. He worked both as an actor and a director. At a later stage, he directed a drama ‘Bhoot Gari’. This was adapted for the stage by film director, screenwriter, novelist, and journalist Khwaja Ahmed Abbas","భీషం సాహ్ని అవిభక్త పంజాబ్లోని రావల్పిండిలో 1915 ఆగస్టు 8న జన్మించాడు. ఇతను లాహోర్లోని ప్రభుత్వ కళాశాల నుండి ఆంగ్ల సాహిత్యంలో మాస్టర్స్ డిగ్రీని, Ph. డి. 1958లో పంజాబ్ విశ్వవిద్యాలయం, చండీగఢ్ నుండి. ఇతను భారత స్వాతంత్ర్య పోరాటంలో పాల్గొన్నాడు. విభజన సమయంలో, ఇతను భారత జాతీయ కాంగ్రెస్లో చురుకైన సభ్యుడు, మార్చి 1947లో రావల్పిండిలో అల్లర్లు చెలరేగినప్పుడు శరణార్థులకు సహాయ కార్యక్రమాలు నిర్వహించాడు. 1948లో భీషమ్ సాహ్ని ఇండియన్ పీపుల్స్ థియేటర్ అసోసియేషన్ (IPTA)తో కలిసి పనిచేయడం ప్రారంభించాడు, ఈ సంస్థతో అతని సోదరుడు బాల్రాజ్ సాహ్ని అప్పటికే సన్నిహితంగా ఉన్నాడు. నటుడిగానూ, దర్శకుడిగానూ పనిచేశారు. తర్వాత దశలో ‘భూత్ గారి’ అనే నాటకానికి దర్శకత్వం వహించాడు. దీనిని చలనచిత్ర దర్శకుడు, స్క్రీన్ రైటర్, నవలా రచయిత, జర్నలిస్ట్ ఖ్వాజా అహ్మద్ అబ్బాస్ వేదిక కోసం స్వీకరించారు. "
550,Bhishan Saroop Bansal,,
551,Bhogilal Pandya,,
552,Bhola Nath,,
553,Bhola Nath Jha,,
554,Bhola Nath Mullik,,
555,Bholabhai Patel,,
556,Bhupathiraju Somaraju,,
557,Bhupati Mohan Sen,,
558,Bhupen Hazarika,"''' Early life '''
Hazarika, who made fame as a musician, was born on 8 September 1926 to Nilakanta and Shantipriya Hazarika in Sadiya (শদিয়া), an interior place of Assam on the bank of river Brahmaputra. His father was originally from Nazira, a town located in Sivasagar district. The eldest of ten children, Bhupen Hazarika (as well as his siblings) was exposed to the musical influence of his mother, who exposed him to lullabies and traditional Music of Assam. His father moved to the Bharalumukh region of Guwahati in 1929, in search of better prospects, where Bhupen Hazarika spent his early childhood. In 1932, his father further moved to Dhubri, and in 1935 to Tezpur. It was in Tezpur that Bhupen Hazarika, then 10-years-of-age, was discovered by Jyotiprasad Agarwala, the noted Assamese lyricist, playwright and the first Assamese filmmaker, and Bishnu Prasad Rabha, renowned Assamese artist and revolutionary poet, where he sang a Borgeet (the traditional classical Assamese devotional songs written by Srimanta Sankardeva and Sri Sri Madhabdeva), taught by his mother at a public function. In 1936, Bhupen Hazarika accompanied them to Kolkata where he recorded his first song at the Aurora Studio for the Selona Company. His association with the icons of Assamese culture at Tezpur was the beginning of his artistic growth and credentials. Subsequently, Hazarika sang two songs in Agarwala's film Indramalati (1939): Kaxote Kolosi Loi and Biswo Bijoyi Naujawan at the age of 12. A revolutionary zeal was rooted during his childhood","'''ప్రారంభ జీవితం '''సంగీత విద్వాంసురాలుగా పేరు తెచ్చుకున్న హజారికా, బ్రహ్మపుత్ర నది ఒడ్డున అస్సాంలోని అంతర్భాగమైన సదియాలో నీలకంఠ, శాంతిప్రియ హజారికలకు 8 సెప్టెంబర్ 1926న జన్మించారు. అతని తండ్రి శివసాగర్ జిల్లాలోని నజీరా అనే పట్టణానికి చెందినవారు. పది మంది పిల్లలలో పెద్దవాడు, భూపేన్ హజారికా (అలాగే అతని తోబుట్టువులు) అతని తల్లి సంగీత ప్రభావానికి గురయ్యాడు, ఈమె అతనిని లాలిపాటలు, అస్సాం సంప్రదాయ సంగీతానికి పరిచయం చేసింది. అతని తండ్రి 1929లో గౌహతిలోని భరలుముఖ్ ప్రాంతానికి మంచి అవకాశాల కోసం వెళ్లారు, అక్కడ భూపేన్ హజారికా తన బాల్యం గడిపాడు. 1932లో, అతని తండ్రి ధుబ్రీకి, 1935లో తేజ్పూర్కి మారారు. తేజ్పూర్లో భూపేన్ హజారికా, 10 సంవత్సరాల వయస్సులో, ప్రముఖ అస్సామీ గేయ రచయిత, నాటక రచయిత, మొదటి అస్సామీ చిత్రనిర్మాత జ్యోతిప్రసాద్ అగర్వాలా, ప్రఖ్యాత అస్సామీ కళాకారుడు, విప్లవ కవి బిష్ణు ప్రసాద్ రాభా, అక్కడ ఇతను పాడారు. ఒక బోర్గీట్ (శ్రీమంత శంకర్దేవా, శ్రీ శ్రీ మధబ్దేవా రచించిన సాంప్రదాయ సాంప్రదాయిక అస్సామీ భక్తి పాటలు), ఒక పబ్లిక్ ఫంక్షన్లో అతని తల్లి బోధించారు. 1936లో, భూపేన్ హజారికా వారితో కలసి కోల్కతాకు వెళ్లారు, అక్కడ ఇతను సెలోనా కంపెనీ కోసం అరోరా స్టూడియోలో తన మొదటి పాటను రికార్డ్ చేశాడు. తేజ్పూర్లో అస్సామీ సంస్కృతికి సంబంధించిన చిహ్నాలతో అతని అనుబంధం అతని కళాత్మక వృద్ధికి, ఆధారాలకు నాంది. తదనంతరం, హజారికా అగర్వాలా చిత్రం ఇంద్రమాలతి (1939)లో రెండు పాటలు పాడింది: 12 సంవత్సరాల వయస్సులో కాక్సోటే కొలోసి లోయి, బిస్వో బిజోయి నౌజవాన్. అతని చిన్నతనంలోనే విప్లవోద్యమం పాతుకుపోయింది. "
559,Bhupen Khakhar,,
560,Bhuri Bai,,
561,Bhuvneshwari Kumari,,
562,Bibek Debroy,,
563,Bijoy Chandra Bhagavati,,
564,Bijoy Nandan Shahi,,
565,Bikash Bhattacharjee,,
566,Bikash Sinha,"He studied Physics for his bachelor's degree at Presidency College [now University], Kolkata from 1961-1964, graduating with high honors. He then proceeded to King's College, Cambridge, for higher studies in his subject. He is the recipient of S.N. Bose Birth Centenary Award of the Indian Science Congress Association in 1994. Sinha joined Bhabha Atomic Research Centre, Mumbai in 1976 after returning from England and was Director of Variable Energy Cyclotron Centre. He is a Fellow of the prestigious Indian National Science Academy as recognition of his outstanding research in Physics (1989).
He is also a Fellow of National Academy of Sciences, Allahabad (1993) and the Indian Academy of Sciences, Bangalore (2004).Currently, he is the chairman of board of governors, National Institute of Technology, Durgapur (NIT Duragpur).
Sinha was nominated as a Member of the Scientific Advisory Council to the Prime Minister from 27 January 2005","ఇతను 1961-1964 వరకు కోల్కతాలోని ప్రెసిడెన్సీ కాలేజ్ [ఇప్పుడు యూనివర్సిటీ]లో తన బ్యాచిలర్ డిగ్రీ కోసం భౌతిక శాస్త్రాన్ని అభ్యసించాడు, ఉన్నత గౌరవాలతో పట్టభద్రుడయ్యాడు. ఇతను తన సబ్జెక్ట్లో ఉన్నత చదువుల కోసం కేంబ్రిడ్జ్లోని కింగ్స్ కాలేజీకి వెళ్లాడు. ఇతను S, గ్రహీత. ఎన్. 1994లో ఇండియన్ సైన్స్ కాంగ్రెస్ అసోసియేషన్ బోస్ బర్త్ సెంటెనరీ అవార్డు. సిన్హా ఇంగ్లండ్ నుండి తిరిగి వచ్చిన తర్వాత 1976లో ముంబైలోని భాభా అటామిక్ రీసెర్చ్ సెంటర్లో చేరారు, వేరియబుల్ ఎనర్జీ సైక్లోట్రాన్ సెంటర్ డైరెక్టర్గా ఉన్నారు. ఫిజిక్స్ (1989)లో అతని అత్యుత్తమ పరిశోధనకు గుర్తింపుగా ప్రతిష్టాత్మకమైన ఇండియన్ నేషనల్ సైన్స్ అకాడెమీ ఫెలో. ఇతను నేషనల్ అకాడమీ ఆఫ్ సైన్సెస్, అలహాబాద్ (1993), ఇండియన్ అకాడమీ ఆఫ్ సైన్సెస్, బెంగళూరు (2004), ఫెలో కూడా. ప్రస్తుతం, ఇతను నేషనల్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీ, దుర్గాపూర్ (NIT దురగ్పూర్) బోర్డ్ ఆఫ్ గవర్నర్స్ ఛైర్మన్గా ఉన్నారు. సిన్హా 27 జనవరి 2005 నుండి ప్రధాన మంత్రికి శాస్త్రీయ సలహా మండలి సభ్యునిగా నామినేట్ అయ్యారు. "
567,Bilat Paswan Vihangam,,
568,Bilkees I. Latif,,
569,Bill Gates,,
570,Billy Arjan Singh,,
571,Bimal Krishna Matilal,,
572,Bimal Kumar Bachhawat,"Bimal Kumar Bachhawat was born on 26 August 1925 as one among five brothers and three sisters in Kolkata, in the Bengal region of British India. His graduate degree in chemistry and master's degree in applied chemistry came from the University of Calcutta after which he pursued his doctoral research in antibiotics at the Department of Food Technology of Jadavpur University under the supervision of A. N. Bose. Moving to US, he continued his research at the University of Illinois at Urbana–Champaign under the guidance of Carl Swensson Vestling and obtained his doctoral degree (PhD) in 1953. Subsequently, he worked with Minor J. Coon, first at University of Pennsylvania and then at the University of Michigan, working on the formation of ketone bodies in mammals.Bachhawat return to India in 1957 to join Christian Medical College and Hospital (CMC), Vellore and established a centre for advanced research in  neurochemistry and glycobiology. Here, he did research on glycolipids, glycosaminoglycans and glycoproteins and their role in neural development and neurological disorders. After working close to two decades at CMC, he moved to his native place, Kolkata, to take up the position as the director of the Indian Institute of Chemical Biology (IICB) in 1976","బిమల్ కుమార్ బచావత్ బ్రిటీష్ ఇండియాలోని బెంగాల్ ప్రాంతంలోని కోల్కతాలో ఐదుగురు సోదరులు, ముగ్గురు సోదరీమణులలో ఒకరిగా 1925 ఆగస్టు 26న జన్మించారు. కెమిస్ట్రీలో అతని గ్రాడ్యుయేట్ డిగ్రీ, అప్లైడ్ కెమిస్ట్రీలో మాస్టర్స్ డిగ్రీ కలకత్తా విశ్వవిద్యాలయం నుండి వచ్చింది, తర్వాత ఇతను జాదవ్పూర్ విశ్వవిద్యాలయంలోని ఫుడ్ టెక్నాలజీ విభాగంలో A పర్యవేక్షణలో యాంటీబయాటిక్స్లో తన డాక్టరల్ పరిశోధనను అభ్యసించాడు. ఎన్. బోస్. USకు వెళ్లి, ఇతను కార్ల్ స్వెన్సన్ వెస్ట్లింగ్ మార్గదర్శకత్వంలో అర్బానా-ఛాంపెయిన్లోని ఇల్లినాయిస్ విశ్వవిద్యాలయంలో తన పరిశోధనను కొనసాగించాడు, 1953లో తన డాక్టరల్ డిగ్రీ (PhD) పొందాడు. తదనంతరం, ఇతను మైనర్ జెతో కలిసి పనిచేశాడు. కూన్, మొదట పెన్సిల్వేనియా విశ్వవిద్యాలయంలో, తరువాత మిచిగాన్ విశ్వవిద్యాలయంలో, క్షీరదాలలో కీటోన్ శరీరాల ఏర్పాటుపై పనిచేస్తున్నారు. బచావత్ వెల్లూరులోని క్రిస్టియన్ మెడికల్ కాలేజ్ అండ్ హాస్పిటల్ (CMC)లో చేరడానికి 1957లో భారతదేశానికి తిరిగి వచ్చారు, న్యూరోకెమిస్ట్రీ, గ్లైకోబయాలజీలో అధునాతన పరిశోధన కోసం ఒక కేంద్రాన్ని స్థాపించారు. ఇక్కడ, ఇతను గ్లైకోలిపిడ్లు, గ్లైకోసమినోగ్లైకాన్స్, గ్లైకోప్రొటీన్లు, నాడీ అభివృద్ధి, నాడీ సంబంధిత రుగ్మతలలో వాటి పాత్రపై పరిశోధన చేసాడు. CMCలో దాదాపు రెండు దశాబ్దాలు పనిచేసిన తర్వాత, ఇతను 1976లో ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ కెమికల్ బయాలజీ (IICB) డైరెక్టర్గా తన స్వస్థలమైన కోల్కతాకు వెళ్లారు. "
573,Bimal Kumar Jain,,
574,Bimal Kumar Roy,,
575,Bimal Patel,,
576,Bimal Prashad Jain,,
577,Bimala Prasad Chaliha,,
578,Biman Bihari Das,"Biman Bihari Das was born on 1 January 1943, at Tamluk town of West Bengal, in India. He studied art at the Government College of Art & Craft, Kolkata and passed the Diploma in Modeling and Sculpture, in 1966, with first class and distinction. Later, he joined Calcutta University and passed the course of Teachers' Training and Art Appreciation in 1967.Bihari Das received a Fulbright Fellowship from the US and UGC grant under the Indo-Hungarian cultural exchange program, based in Budapest, for pursuing his art career. He, later, became the principal of the Government College of Art & Craft, Kolkata but later moved to New Delhi, to take up the post of the principal of the College of Art, Delhi. He has also served as the vice president of the All India Fine Arts and Crafts Society.Das lives an active life with constant interaction with the Indian art scene.","బిమన్ బిహారీ దాస్ భారతదేశంలోని పశ్చిమ బెంగాల్లోని తమ్లుక్ పట్టణంలో 1 జనవరి 1943న జన్మించారు. ఇతను కోల్కతాలోని గవర్నమెంట్ కాలేజ్ ఆఫ్ ఆర్ట్ & క్రాఫ్ట్లో కళను అభ్యసించాడు, 1966లో మోడలింగ్, స్కల్ప్చర్లో డిప్లొమాను ఫస్ట్ క్లాస్, డిస్టింక్షన్తో ఉత్తీర్ణుడయ్యాడు. తరువాత, ఇతను కలకత్తా విశ్వవిద్యాలయంలో చేరాడు, 1967లో టీచర్స్ ట్రైనింగ్, ఆర్ట్ అప్రిసియేషన్ కోర్సులో ఉత్తీర్ణత సాధించాడు. బిహారీ దాస్ తన కళా వృత్తిని కొనసాగించినందుకు బుడాపెస్ట్లో ఉన్న ఇండో-హంగేరియన్ సాంస్కృతిక మార్పిడి కార్యక్రమం కింద US, UGC గ్రాంట్ నుండి ఫుల్బ్రైట్ ఫెలోషిప్ అందుకున్నాడు. ఇతను, తరువాత, కోల్కతాలోని గవర్నమెంట్ కాలేజ్ ఆఫ్ ఆర్ట్ & క్రాఫ్ట్కి ప్రిన్సిపాల్ అయ్యాడు, కాని తరువాత ఢిల్లీలోని కాలేజ్ ఆఫ్ ఆర్ట్ ప్రిన్సిపాల్గా పని చేయడానికి న్యూఢిల్లీకి వెళ్లారు. ఆల్ ఇండియా ఫైన్ ఆర్ట్స్ అండ్ క్రాఫ్ట్స్ సొసైటీ వైస్ ప్రెసిడెంట్గా కూడా పనిచేశారు. దాస్ భారతీయ కళారంగంతో నిరంతర పరస్పర చర్యతో చురుకైన జీవితాన్ని గడుపుతాడు. "
579,Bimla Poddar,,
580,Bina Agarwal,,
581,Bina Das,"''' Early life and education '''
Das was the daughter of a well-known Brahmo teacher, Beni Madhab Das and a social worker, Sarala Devi. Her elder sister Kalyani Das (Bhattacharyee) was also a freedom fighter.
Das was a student of St. John's Diocesan Girls' Higher Secondary School and Bethune College, Calcutta.


''' Participation in India's freedom struggle '''
Das was a member of Chhatri Sangha, a semi-revolutionary organisation for women in Kolkata. On 6 February 1932, she attempted to assassinate the Bengal Governor Stanley Jackson, in the Convocation Hall of the University of Calcutta. The revolver was supplied by another freedom fighter Kamala Das Gupta. She fired five shots but failed. Her confession, which ran to five pages long and was written in English, was censored by the British colonial administration, but still found itself widely circulated. In it, she wrote that:""My object was to die, and if to die, to die nobly fighting against this despotic system of Government, which has kept my country in perpetual subjection to its infinite shame and endless suffering – and fighting in a way which cannot but tell","'''ప్రారంభ జీవితం, విద్యాభ్యాసం '''దాస్ సుప్రసిద్ధ బ్రహ్మోపాధ్యాయుడు బేణి మాధబ్ దాస్, సామాజిక కార్యకర్త సరళా దేవి కుమార్తె. ఈమె అక్క కళ్యాణి దాస్ (భట్టాచారి) కూడా స్వాతంత్ర్య సమరయోధురాలు. దాస్ St. జాన్స్ డియోసిసన్ గర్ల్స్ హయ్యర్ సెకండరీ స్కూల్, బెతున్ కాలేజ్, కలకత్తా. '''భారత స్వాతంత్ర్య పోరాటంలో పాల్గొనడం '''దాస్ కోల్కతాలోని మహిళల కోసం పాక్షిక విప్లవాత్మక సంస్థ అయిన ఛత్రి సంఘ సభ్యుడు. 6 ఫిబ్రవరి 1932న, కలకత్తా విశ్వవిద్యాలయంలోని కాన్వొకేషన్ హాల్లో బెంగాల్ గవర్నర్ స్టాన్లీ జాక్సన్ను హత్య చేసేందుకు ఈమె ప్రయత్నించింది. రివాల్వర్ను మరో స్వాతంత్ర్య సమరయోధురాలు కమలా దాస్ గుప్తా సరఫరా చేశారు. ఈమె ఐదుసార్లు కాల్పులు జరిపినా విఫలమైంది. ఈమె ఒప్పుకోలు, ఐదు పేజీల పొడవు, ఆంగ్లంలో వ్రాయబడింది, బ్రిటిష్ వలస పరిపాలన ద్వారా సెన్సార్ చేయబడింది, కానీ ఇప్పటికీ విస్తృతంగా పంపిణీ చేయబడింది. దానిలో, ఈమె ఇలా వ్రాసింది: ""నా లక్ష్యం చనిపోతే, చనిపోతే, ఈ నిరంకుశ ప్రభుత్వ వ్యవస్థకు వ్యతిరేకంగా గొప్పగా పోరాడుతూ మరణించడం, ఇది నా దేశాన్ని దాని అనంతమైన అవమానానికి, అంతులేని బాధలకు శాశ్వతంగా లోబడి ఉంచింది -, పోరాటంలో చెప్పలేని మార్గం. "
582,Binapani Mohanty,,
583,Binay Ranjan Sen,"He studied at the Scottish Church College of the University of Calcutta and subsequently at the University of Oxford. Sen joined the Indian Civil Service in Bengal in 1922. His work as director general of food for all India (1943–1946), for which he was appointed a Companion of the Order of the Indian Empire in 1944, convinced him that hunger and malnutrition were crucial issues in the modern world. 
He took his concerns to the international stage as a member of India's first delegation to the UN (1947), as Indian Ambassador to the United States, and several other countries including Italy, Yugoslavia, Japan, and Mexico. He worked on a variety of FAO projects before being named Director General in 1956. While he was the Relief Commissioner(1942-43)in Bengal during Bengal famine,his mission of preventing hunger was set. In 1960, saying half the world's population was malnourished,Sen announced the Freedom from Hunger campaign. ""Hunger is neither inevitable nor irremediable,"" he added, ""it is within our power to bring this old affliction under control."" This led to the 1963 World Food Congress in Washington, D.C","ఇతను కలకత్తా విశ్వవిద్యాలయంలోని స్కాటిష్ చర్చి కళాశాలలో, తరువాత ఆక్స్ఫర్డ్ విశ్వవిద్యాలయంలో చదివాడు. సేన్ 1922లో బెంగాల్లో ఇండియన్ సివిల్ సర్వీస్లో చేరారు. ఆల్ ఇండియా ఫుడ్ డైరెక్టర్ జనరల్గా (1943-1946) అతని పని, దీని కోసం ఇతను 1944లో కంపానియన్ ఆఫ్ ది ఆర్డర్ ఆఫ్ ది ఇండియన్ ఎంపైర్గా నియమితుడయ్యాడు, ఆధునిక ప్రపంచంలో ఆకలి, పోషకాహారలోపం కీలకమైన సమస్యలు అని అతనికి నమ్మకం కలిగించింది. ఇతను యునైటెడ్ స్టేట్స్, ఇటలీ, యుగోస్లేవియా, జపాన్, మెక్సికోతో సహా అనేక ఇతర దేశాలలో భారత రాయబారిగా UN (1947)కి భారతదేశపు మొదటి ప్రతినిధి బృందంలో సభ్యునిగా అంతర్జాతీయ వేదికపై తన ఆందోళనలను తీసుకువెళ్లాడు. ఇతను 1956లో డైరెక్టర్ జనరల్గా నియమించబడటానికి ముందు వివిధ రకాల FAO ప్రాజెక్ట్లలో పనిచేశాడు. బెంగాల్ కరువు సమయంలో ఇతను బెంగాల్లో రిలీఫ్ కమీషనర్గా ఉన్నప్పుడు (1942-43), ఆకలిని నివారించడం అతని లక్ష్యం. 1960లో, ప్రపంచ జనాభాలో సగం మంది పోషకాహార లోపంతో బాధపడుతున్నారని చెబుతూ, సేన్ ఫ్రీడమ్ ఫ్రమ్ హంగర్ ప్రచారాన్ని ప్రకటించారు. ""ఆకలి అనివార్యం కాదు లేదా సరిదిద్దలేనిది కాదు, "" ఈ పాత బాధను అదుపులోకి తీసుకురావడం మా శక్తిలో ఉంది. ""ఇది వాషింగ్టన్, D లో 1963 ప్రపంచ ఆహార కాంగ్రెస్కు దారితీసింది. సి. "
584,Bindeshwar Pathak,,
585,Bindeshwari Prasad Verma,,
586,Bindhyabasini Devi,,
587,Binny Yanga,"Binni Yanga was born on 7 July 1958 in the Indian state of Arunachal Pradesh to late Binni Jaipu, a former political assistant at Lower Subansiri district and Binni Yanya, known for her efforts for the revival of traditional handlooms, as the elder of their two daughters, the younger being Gumri Ringu, the incumbent chairman of Arunachal Pradesh State Commission for Women. She did her education at Banasthali Vidyapith, Rajasthan and during her student days, she formed a girls' forum, All Subansiri District Girls Welfare Association. After her studies, she started her career as a teacher. During this period, she set up an adult education and nursery centre in 1979 and, later, a shelter home for destitute girls. In 1987, Yanga joined Arunachal Police Force, when the first batch of women officers were inducted in 1987. After only a year of service with the police force, she resigned in 1988 to enter social service on a full-time basis.Binni Yanga was diagnosed with cervical cancer in 2007 but carried on with her activities. She lived in Naharlagun in Arunachal Pradesh and owned Oju Craft Centre, a small enterprise employing 200 workers. She died on 3 September 2015.","బిన్ని యాంగా 7 జూలై 1958న భారతదేశంలోని అరుణాచల్ ప్రదేశ్లో దిగువ సుబంసిరి జిల్లాలో మాజీ రాజకీయ సహాయకురాలు దివంగత బిన్ని జైపు, సాంప్రదాయ చేనేత వస్త్రాల పునరుద్ధరణకు ఈమె చేసిన కృషికి పేరుగాంచిన బిన్ని యాన్యా దంపతులకు వారి ఇద్దరు కుమార్తెలలో పెద్దగా జన్మించారు., చిన్నది గుమ్రి రింగు, అరుణాచల్ ప్రదేశ్ రాష్ట్ర మహిళా కమిషన్ ప్రస్తుత చైర్మన్. ఈమె రాజస్థాన్లోని బనస్థలి విద్యాపీఠ్లో తన విద్యను అభ్యసించింది, ఈమె విద్యార్థి రోజులలో, ఈమె ఆల్ సుబంసిరి జిల్లా బాలికల సంక్షేమ సంఘం అనే బాలికల ఫోరమ్ను ఏర్పాటు చేసింది. చదువు తర్వాత టీచర్గా కెరీర్ ప్రారంభించింది. ఈ కాలంలో, ఈమె 1979లో వయోజన విద్య, నర్సరీ కేంద్రాన్ని ఏర్పాటు చేసింది, తరువాత, నిరుపేద బాలికలకు ఆశ్రయం కల్పించింది. 1987లో, యంగా అరుణాచల్ పోలీస్ ఫోర్స్లో చేరారు, 1987లో మొదటి బ్యాచ్ మహిళా అధికారులు చేరారు. పోలీస్ ఫోర్స్లో ఒక సంవత్సరం మాత్రమే సేవ చేసిన తర్వాత, పూర్తి సమయం ప్రాతిపదికన సామాజిక సేవలో ప్రవేశించడానికి ఈమె 1988లో రాజీనామా చేసింది. బిన్ని యాంగా 2007లో గర్భాశయ క్యాన్సర్తో బాధపడుతున్నారు, కానీ ఈమె కార్యకలాపాలను కొనసాగించారు. ఈమె అరుణాచల్ ప్రదేశ్లోని నహర్లాగున్లో నివసించారు, 200 మంది కార్మికులతో పనిచేసే ఓజు క్రాఫ్ట్ సెంటర్ అనే చిన్న సంస్థను కలిగి ఉన్నారు. ఈమె 3 సెప్టెంబర్ 2015న మరణించింది. "
588,Binod Kanungo,,
589,Bipan Chandra,,
590,Bipin Ganatra,,
591,Bir Bhan Bhatia,"Bir Bhan Bhatia was born in Abbottabad, formerly a part of British India, presently in Pakistan, on 30 August 1900 to Jai Devi and Abagat Hari Chand Bhatia, a government servant. He did his early college studies at Sri Pratap College, Sri Nagar from where he passed out in 1919 to join King George Medical College, Lucknow and passed bachelor's degree in medicine (MBBS) in 1924. He secured his master's degree (MD) in 1926 from there itself and worked as a demonstrator before moving to London to work as a clinical assistant at the National Heart Hospital, simultaneously pursuing his MRCP studies.Bhatia returned to India in 1928 after obtaining the membership of the Royal College of Physicians of London (MRCP) and took up the post of a lecturer in pharmacology at his alma mater where he became a consulting physician, reader and director of the department of pharmacology in 1936. He continued his service there to become the dean and the principal in 1946, was promoted as the professor of medicine in 1947 and held the post till his retirement in 1960.A fellow of the Royal College of Surgeons of London, Bhatia served the Legislative Council of the Union Provinces of the erstwhile British India for two terms. He was a member of the Central Committee of the Medical Council of India and played a part in the formation of the first National formulary of India. He was a member of such scientific associations as India Medical Association, the Cardiological and Neurological Societies, and the Pharmacy Council of the United Provinces and served as the president of the Association of Physicians, India. The Government of India selected him for the civilian award of Padma Shri, when the Padma awards were instituted in 1954.Bhatia was cited in the 1958 Annual report of the Rockefeller Foundation","బీర్ భాన్ భాటియా అబోటాబాద్లో, గతంలో బ్రిటిష్ ఇండియాలో భాగమై, ప్రస్తుతం పాకిస్థాన్లో, 30 ఆగస్టు 1900న జై దేవి, అబాగత్ హరి చంద్ భాటియా అనే ప్రభుత్వ ఉద్యోగి దంపతులకు జన్మించారు. ఇతను శ్రీ నగర్లోని శ్రీ ప్రతాప్ కాలేజీలో తన ప్రారంభ కళాశాల విద్యను అభ్యసించాడు, అక్కడ నుండి 1919లో ఉత్తీర్ణత సాధించి లక్నోలోని కింగ్ జార్జ్ మెడికల్ కాలేజీలో చేరాడు, 1924లో మెడిసిన్లో బ్యాచిలర్ డిగ్రీ (MBBS) ఉత్తీర్ణుడయ్యాడు. ఇతను 1926లో తన మాస్టర్స్ డిగ్రీని (MD) అక్కడ నుండే పొందాడు, నేషనల్ హార్ట్ హాస్పిటల్లో క్లినికల్ అసిస్టెంట్గా పనిచేయడానికి లండన్ వెళ్లడానికి ముందు ప్రదర్శనకారుడిగా పనిచేశాడు, అదే సమయంలో తన MRCP అధ్యయనాలను కొనసాగించాడు. లండన్లోని రాయల్ కాలేజ్ ఆఫ్ ఫిజీషియన్స్ (MRCP) సభ్యత్వం పొందిన తర్వాత భాటియా 1928లో భారతదేశానికి తిరిగి వచ్చారు, ఇతను తన ఆల్మా మేటర్లో ఫార్మకాలజీలో లెక్చరర్గా పనిచేశాడు, అక్కడ ఇతను కన్సల్టింగ్ ఫిజిషియన్, రీడర్, ఫార్మకాలజీ విభాగానికి డైరెక్టర్ అయ్యాడు. 1936లో. 1946లో డీన్గా, ప్రిన్సిపాల్గా తన సేవలను కొనసాగించాడు, 1947లో మెడిసిన్ ప్రొఫెసర్గా పదోన్నతి పొందాడు, 1960లో పదవీ విరమణ చేసే వరకు ఆ పదవిలో కొనసాగాడు. లండన్లోని రాయల్ కాలేజ్ ఆఫ్ సర్జన్స్లో సహచరుడు, భాటియా రెండు పర్యాయాలు పూర్వపు బ్రిటిష్ ఇండియాలోని యూనియన్ ప్రావిన్స్ల లెజిస్లేటివ్ కౌన్సిల్లో పనిచేశారు. ఇతను మెడికల్ కౌన్సిల్ ఆఫ్ ఇండియా, సెంట్రల్ కమిటీ సభ్యుడు, భారతదేశం, మొదటి జాతీయ ఫార్ములారీ ఏర్పాటులో పాత్ర పోషించాడు. ఇతను ఇండియా మెడికల్ అసోసియేషన్, కార్డియోలాజికల్, న్యూరోలాజికల్ సొసైటీస్, యునైటెడ్ ప్రావిన్సెస్, ఫార్మసీ కౌన్సిల్ వంటి శాస్త్రీయ సంఘాలలో సభ్యుడు, అసోసియేషన్ ఆఫ్ ఫిజీషియన్స్, ఇండియా అధ్యక్షుడిగా పనిచేశాడు. 1954లో పద్మ అవార్డులను స్థాపించినప్పుడు భారత ప్రభుత్వం ఆయనను పద్మశ్రీ పౌర పురస్కారానికి ఎంపిక చేసింది. రాక్ఫెల్లర్ ఫౌండేషన్, 1958 వార్షిక నివేదికలో భాటియా ఉదహరించారు. "
