,Recipients,early life and career,early life and career Telugu
781,Dalsukh Dahyabhai Malvania,,
782,Dalveer Bhandari,,
783,Damal Kandalai Srinivasan,,
784,Damayanti Beshra,,
785,Damayanti Joshi,,
786,Damodar Bapat,,
787,Damodar Keshav Datar,,
788,Danny Denzongpa,,
789,Dara Kaikhuswrao Karanjavala,,
790,Dara Nusserwanji Khurody,,
791,Darab Jehangir Jussawala,,
792,Darashaw Nosherwan Wadia,,
793,Darchhawna,,
794,Daripalli Ramaiah,,
795,Darshan Lal Jain,,
796,Darshan Singh Vohra,,
797,Darshana Jhaveri,,
798,Dasari Prasada Rao,,
799,Dashrath Patel,,
800,Dasika Durga Prasada Rao,,
801,Dattatraya Mahadeo Dahanukar,,
802,Dattatraya Nagappa Pai,,
803,Dattatraya Shridhar Joshi,,
804,Dattatraya Yeshwant Phadke,,
805,Dattatreyudu Nori,,
806,Datto Vaman Potdar,,
807,Daulat Singh Kothari,,
808,David Abraham Cheulkar,,
809,David Frawley,,
810,Daya Kishore Hazra,,
811,Daya Prakash Sinha,,
812,Dayananda Saraswati,,
813,Debaki Bose,,
814,Debdulal Bandopadhyaya,,
815,Debi Prasad Mukherjee,,
816,Debi Prasanna Pattanayak,,
817,Debiprasad Chattopadhyaya,,
818,Debu Chaudhuri,,
819,Deep Joshi,,
820,Deepa Malik,,
821,Deepak B. Phatak,,
822,Deepak Parekh,,
823,Deepak Puri,,
824,Deepak Sehgal,,
825,Deepika Kumari,,
826,Deori Omem Moyong,,
827,Dev Anand,,
828,Devaki Jain,,
829,Devan Venkata Reddy,,
830,Devanur Mahadeva,,
831,Devappagowda Chinnaiah,,
832,Devarapalli Prakash Rao,,
833,Devayani,,
834,Devchand Chaggan Lal Shah,,
835,Devchand Chhaganlal Shah,,
836,Devendra Dayabhai Patel,,
837,Devendra Jhajharia,,
838,Devendra Lal,,
839,Devendra Nath Samant,,
840,Devendra Patel,,
841,Devendra Satyarthi,,
842,Devendra Sen,,
843,Devendra Swarup,,
844,Devendra Triguna,,
845,Devi Dutt Sharma,,
846,Devi Lal Samar,,
847,Devi Sahai Jindal,,
848,Devi Shetty,,
849,Devika Rani,,
850,Devindra Rahinwal,,
851,Deviprasad Dwivedi,,
852,Devki Nandan Pande,,
853,Devulapalli Krishnasastri,,
854,Dhani Prem,,
855,Dhanpati Rai Nagpaul,,
856,Dhanraj Bhagat,,
857,Dhanraj Pillay,,
858,Dhanvanthi Rama Rau,,
859,Dhanwant Singh,,
860,Dharam Pal Saini,,
861,Dharam Veer Sachdeva,,
862,Dharamchand Patni,,
863,Dharamvir Bharati,,
864,Dharma Narayan Barma,,
865,Dharma Vira,,
866,Dharmendra,,
867,Dhera Ram Shah,,
868,Dhirendra Nath Bezbaruah,,
869,Dhirendra Nath Ganguly,,
870,Dhirubhai Ambani,,
871,Dhirubhai Thaker,,
872,Dhondo Keshav Karve,,
873,Dhyan Chand,,
874,Dhyan Pal Singh,,
875,Diana Edulji,,
876,Digambar Behera,,
877,Digamber Hansda,,
878,Digamber Vasudev Joglekar,,
879,Dilbagh Singh Athwal,,
880,Dilip Chakravarty,,
881,Dilip K. Biswas,,
882,Dilip Kumar,,
883,Dilip Shanghvi,,
884,Dilip Tirkey,,
885,Dilip Vengsarkar,,
886,Dimitris C. Velissaropoulos,,
887,Din Dayal,,
888,Dina Nath Malhotra,,
889,Dinabandhu Banerjee,,
890,Dinamani Sridhar Kamat,,
891,Dinesh K. Bhargava,,
892,Dinesh Mohan,,
893,Dinesh Nandini Dalmia,,
894,Dinesh Singh,,
895,Dingko Singh,,
896,Dinkar Gangadhar Kelkar,,
897,Dinyar Contractor,,
898,Dipa Karmakar,"Hailing from Agartala in Tripura, Karmakar started her school life and education in Abhoynagar Nazrul Smriti Vidyalaya; she started practicing gymnastics when she was only 6 years old and has been coached by Soma Nandi & Bishweshwar Nandi since.When she began gymnastics, Karmakar had flat feet, an undesirable physical trait in a gymnast because it affects their performance.  Through extensive training, she was able to develop an arch in her foot.In 2008, she won the Junior Nationals in Jalpaiguri. Since 2007, Karmakar has won 77 medals, including 67 gold, in state, national and international championships. She was part of the Indian gymnastics contingent at the 2010 Commonwealth Games in Delhi.","త్రిపురలోని అగర్తలాకు చెందిన కర్మాకర్ తన పాఠశాల జీవితాన్ని, విద్యను అభోయ్నగర్ నజ్రుల్ స్మృతి విద్యాలయంలో ప్రారంభించాడు; ఈమె కేవలం 6 సంవత్సరాల వయస్సులో జిమ్నాస్టిక్స్ ప్రాక్టీస్ చేయడం ప్రారంభించింది, అప్పటి నుండి సోమ నంది & బిశ్వేశ్వర్ నందిలచే శిక్షణ పొందింది. ఈమె జిమ్నాస్టిక్స్ ప్రారంభించినప్పుడు, కర్మాకర్ చదునైన పాదాలను కలిగి ఉంది, జిమ్నాస్ట్లో అవాంఛనీయమైన శారీరక లక్షణం ఎందుకంటే అది వారి పనితీరును ప్రభావితం చేస్తుంది. విస్తృతమైన శిక్షణ ద్వారా, ఈమె తన పాదంలో ఒక వంపుని అభివృద్ధి చేయగలిగింది. 2008లో, ఈమె జల్పాయిగురిలో జరిగిన జూనియర్ నేషనల్స్లో విజేతగా నిలిచింది. 2007 నుండి, కర్మాకర్ రాష్ట్ర, జాతీయ, అంతర్జాతీయ ఛాంపియన్షిప్లలో 67 స్వర్ణాలతో సహా 77 పతకాలను గెలుచుకున్నాడు. 2010 ఢిల్లీలో జరిగిన కామన్వెల్త్ గేమ్స్లో ఈమె భారత జిమ్నాస్టిక్స్ బృందంలో భాగమైంది. "
899,Dipali Barthakur,,
900,Dipankar Banerjee,,
901,Dipankar Chatterji,,
902,Dipika Pallikal,,
903,Diwaliben Punjabhai Bhil,,
904,Doddarange Gowda,,
905,Dominique Lapierre,,
906,Donty Naranappa Krishnaia Setty,,
907,Dorairajan Balasubramanian,,
908,Doraiswamy Iyengar,,
909,Dorothy Chacko,,
910,Dr. Bhupendra Kumar Singh San'a,,
911,Dr. Chandrakant Sambhaji Pandav,,
912,Dr. Dhananjay Diwakar Sa deo,,
913,Dr. Dilip Kumar Singh,,
914,Dr. J N Pande (Posthumous),,
915,Dr. Krishna Mohan Pathi,,
916,Dr. Rattan Lal Mittal,,
917,Dr. Thiruvengadam Veeraraghavan,,
918,Draupadi Ghimiray,,
919,Dukhan Ram,,
920,Dula Bhaya Kag,,
921,Dulal Manki,,
922,Durga Das Basu,,
923,Durga Deulkar,,
924,Durga Jain,,
925,Durga Khote,,
926,Durgabai Deshmukh,,
927,Dušan Zbavitel,,
928,Dwaram Venkataswamy Naidu,,
929,Dwijen Mukhopadhyay,,
930,Dwijendra Nath Mukerjee,,
931,E. A. S. Prasanna,,
932,E. A. Siddiq,,
933,E. C. George Sudarshan,,
934,E. Sreedharan,,
935,E. Srinivasan Parthasarthy,,
936,E. T. Narayanan Mooss,,
937,Earnest Joachin Joseph Borges,,
938,Eberhard Fischer,,
939,Ebrahim Alkazi,,
940,Edith Helen Paull,,
941,Edmund Hillary,,
942,Edward Kutchat,,
943,Eknath Vasant Chitnis,,
944,Ekta Kapoor,,
945,Ela Bhatt,,
946,Ela Gandhi,,
947,Elam Endira Devi,,
948,Elangbam Nilakanta Singh#,,
949,Eledath Thaikkattu Neelakandan Mooss,,
950,Eli Ahmed,,
951,Eliza Nelson,,
952,Elizabeth Brunner,,
953,Eluvathingal Devassy Jemmis,,
954,Emani Sankara Sastry,,
955,Enamul Haque,,
956,Enuga Sreenivasulu Reddy,,
957,Erasmus Lyngdoh,,
958,Esther Abrham Solomon,,
959,Eswara Iyer Krishna Iyer,,
960,Eugene Chelyshev,,
961,Evelyn Norah Shullai,,
962,Evengeline Lazarus,,
963,Ezra Mir,,
964,Fali Sam Nariman,,
965,Faquir Chand Kohli,,
966,Fareed Zakaria,,
967,Farokh Engineer,,
968,Farokh Udwadia,,
969,Fateh Chand Badhwar,,
970,Fateh Chand Gera,,
971,Father Vallés,,
972,Fatima Ismail,,
973,Fatima Zakaria,,
974,Fayaz Ahmad Jan,,
975,Fazal Ali,,
976,Fazal Mohammad,,
977,Felisa Garbala,,
978,Fenner Brockway,,
979,Flora MacDonald,"MacDonald was born in North Sydney, Nova Scotia, the daughter of Mary Isabel Royle and George Frederick MacDonald. She was of Scottish ancestry.Her grandfather had been a clipper ship captain who sailed around Africa and South America. Her father was in charge of North Sydney’s Western Union trans-Atlantic telegraph terminus.In her youth, Macdonald trained as a secretary at Empire Business College and found work as a bank teller at the Bank of Nova Scotia. She used her savings to travel to Britain in 1950 where she got involved with a group of Scottish nationalists who stole the Stone of Scone from Westminster Abbey and brought it to Scotland.After hitchhiking through Europe, she returned to Canada and became involved in politics, working on Nova Scotia Progressive Conservative leader Robert Stanfield's campaign which won an upset victory in the 1956 provincial election.Later the same year, she was hired to work in the national office of the Progressive Conservative Party under leader John Diefenbaker, as secretary to the party's chairman, and worked on Diefenbaker's 1957 and 1958 election campaigns.In 1959, she was working as a secretary in the office of Prime Minister of Canada John Diefenbaker.She continued working for the party in various capacities but grew disillusioned with Diefenbaker and was fired by him when he learned of her support for party president Dalton Camp's campaign for a leadership review","మెక్డొనాల్డ్ నార్త్ సిడ్నీ, నోవా స్కోటియాలో మేరీ ఇసాబెల్ రాయిల్, జార్జ్ ఫ్రెడరిక్ మక్డొనాల్డ్ల కుమార్తెగా జన్మించాడు. ఈమె స్కాటిష్ వంశానికి చెందినది. ఈమె తాత ఆఫ్రికా, దక్షిణ అమెరికా చుట్టూ తిరిగే క్లిప్పర్ షిప్ కెప్టెన్. ఈమె తండ్రి నార్త్ సిడ్నీ, వెస్ట్రన్ యూనియన్ ట్రాన్స్-అట్లాంటిక్ టెలిగ్రాఫ్ టెర్మినస్కు బాధ్యత వహించారు. ఈమె యవ్వనంలో, మక్డోనాల్డ్ ఎంపైర్ బిజినెస్ కాలేజీలో సెక్రటరీగా శిక్షణ పొందింది, బ్యాంక్ ఆఫ్ నోవా స్కోటియాలో బ్యాంక్ టెల్లర్గా పని చేసింది. ఈమె తన పొదుపులను 1950లో బ్రిటన్కు వెళ్లడానికి ఉపయోగించింది, అక్కడ ఈమె వెస్ట్మిన్స్టర్ అబ్బే నుండి స్టోన్ ఆఫ్ స్కోన్ను దొంగిలించి స్కాట్లాండ్కు తీసుకువచ్చిన స్కాటిష్ జాతీయవాదుల బృందంతో పాలుపంచుకుంది. యూరప్లో ప్రయాణించిన తర్వాత, ఈమె కెనడాకు తిరిగి వచ్చి రాజకీయాల్లో పాల్గొంది, నోవా స్కోటియా ప్రోగ్రెసివ్ కన్జర్వేటివ్ నాయకుడు రాబర్ట్ స్టాన్ఫీల్డ్ ప్రచారంలో పని చేసింది, ఇది 1956 ప్రావిన్సు ఎన్నికలలో తిరుగులేని విజయాన్ని సాధించింది. అదే సంవత్సరం తరువాత, ఈమె ప్రోగ్రెసివ్ కన్జర్వేటివ్ పార్టీ, జాతీయ కార్యాలయంలో పార్టీ ఛైర్మన్కు కార్యదర్శిగా లీడర్ జాన్ డిఫెన్బేకర్ ఆధ్వర్యంలో పని చేయడానికి నియమించబడ్డారు, డిఫెన్బేకర్, 1957, 1958 ఎన్నికల ప్రచారాలలో పనిచేశారు. 1959లో, ఈమె కెనడా ప్రధాన మంత్రి జాన్ డిఫెన్బేకర్ కార్యాలయంలో కార్యదర్శిగా పని చేస్తున్నారు. ఈమె వివిధ హోదాల్లో పార్టీ కోసం పని చేస్తూనే ఉంది, కానీ డైఫెన్బేకర్పై భ్రమలు పెంచుకుంది, నాయకత్వ సమీక్ష కోసం పార్టీ అధ్యక్షుడు డాల్టన్ క్యాంప్ ప్రచారానికి ఈమె మద్దతు గురించి తెలుసుకున్నప్పుడు అతనిచే తొలగించబడింది. "
980,Francis Dore,,
981,Frank Pallone,,
982,Frank Sathyarajan Dewars,,
983,Friederike Irina,,
984,G. Aravindan,,
985,G. B. Parulkar,,
986,G. Bakthavathsalam,,
987,G. C. D. Bharti,,
988,G. D. Yadav,,
989,G. Krishna,,
990,G. Madhavan Nair,,
991,G. Muniratnam,,
992,G. N. Devy,,
993,G. N. Malviya,,
994,G. P. Chopra,,
995,G. S. Melkote,,
996,G. S. Sainani,,
997,G. S. Venkataraman,,
998,G. Sankara Kurup,,
999,G. Shankar,,
1000,G. V. Iyer Ramakrishna,,
1001,G. Venkatasubbiah,,
1002,Gabriel Chiramel,,
1003,Gadde Ramakoteswar Rao,,
1004,Gadul Singh Lama,,
1005,Gafurbhai M. Bilakhia,,
1006,Gagan Narang,,
1007,Gaganvihari Lallubhai Mehta,,
1008,Gainedi A. Narasimha Rao,,
1009,Gajam Anjaiah,,
1010,Gajam Govardhana,,
1011,Gajanan Digambar Madgulkar,,
1012,Gajendra Narayan Singh,,
1013,Gambhir Singh Mura,,
1014,Ganda Singh,,
1015,Ganesh Gobind Karkhanis,,
1016,Ganesh Kumar Mani,,
1017,Ganeshan Venkataraman,,
1018,Ganga Devi,,
1019,Ganga Prasad Birla,,
1020,Gangadhar Pantawane,,
1021,Gangadhar Pradhan,,
1022,Gangubai Hangal,,
1023,Ganpatbhai Patel,,
1024,Ganpatrao Jadhav,,
1025,Gary Ackerman,,
1026,Gaura Pant Shivani,,
1027,Gautam Gambhir,,
1028,Gautam Vaghela,,
1029,Gayatri Chakravorty Spivak,,
1030,Gayatri Sankaran,,
1031,Geet Sethi,,
1032,Geeta Chandran,,
1033,Geeta Dharmarajan,,
1034,Geeta Kapur,,
1035,Geeta Mahalik,,
1036,Geeta Zutshi,,
1037,Gemini Ganesan,,
1038,Genabhai Dargabhai Patel,,
1039,Gennadi Mikhailovich Pechinkov,,
1040,George Fernandes,,
1041,George Joseph,,
1042,George L. Hart,,
1043,George Sudarshan,,
1044,George William Gregory Bird,,
1045,George Yeo,,
1046,Gertrude Emerson Sen,,
1047,Ghanakanta Bora,,
1048,Ghananand Pande,,
1049,Ghanashyam Mishra,,
1050,Ghanshyam Das,,
1051,Ghanshyam Das Birla,,
1052,Ghanshyam Das Goyal,,
1053,Ghantasala,,
1054,Ghaus Mohammad,,
1055,Ghulam Ahmad Bandey,,
1056,Ghulam Mohammad Saznawaz,,
1057,Ghulam Mohammed Mir,,
1058,Ghulam Mohammed Sadiq,,
1059,Ghulam Mustafa Khan (singer),,
1060,Ghulam Rasool Khan,,
1061,Ghulam Rasool Santosh,,
1062,Ghulam Sadiq Khan,,
1063,Ghulam Yazdani,"Yazdani was born on 22 March 1885 in Delhi. He was educated under Rev. J. Godfrey F. Day and C.F. Andrews. The young Yazdani was also trained under Maulavi Mohammad Ishaq and Shamsul Ulama Maulavi Nazeer Ahmad. In 1903, he stood first in Aligarh Muslim University in his intermediate exams, and in 1905, he stood first in Arabic, Oriental Classics, and English in the B.A","యజ్దానీ 1885 మార్చి 22న ఢిల్లీలో జన్మించారు. ఇతను రెవ్ దగ్గర చదువుకున్నాడు. జె. గాడ్ఫ్రే ఎఫ్. డే, సి. ఎఫ్. ఆండ్రూస్. The young Yazdani was also trained under Maulavi Mohammad Ishaq and Shamsul Ulama Maulavi Nazeer Ahmad. 1903లో, ఇతను ఇంటర్మీడియట్ పరీక్షలలో అలీఘర్ ముస్లిం విశ్వవిద్యాలయంలో మొదటి స్థానంలో నిలిచాడు, 1905లో, ఇతను అరబిక్, ఓరియంటల్ క్లాసిక్స్, ఇంగ్లీషులో బిలో మొదటి స్థానంలో నిలిచాడు. ఎ. "
1064,Giani Gurmukh Singh Musafir,,
1065,Girija Devi,,
1066,Girilal Jain,,
1067,Giriraj Kishore,,
1068,Girish Bharadwaj,,
1069,Girish Chandra Saxena,,
1070,Girish Karnad,,
1071,Girish Kasaravalli,,
1072,Girish Prabhune,,
1073,Girisha Nagarajegowda,,
1074,Gisela Bonn,,
1075,Gitchandra Tongbra,,
1076,Gjanardhana Puranik Narayana Rao,,
1077,Gladys Staines,,
1078,Gloria Arieira,,
1079,Gnanananda Kavi,,
1080,Gobardhan Panika,,
1081,Gobind Behari Lal,,
1082,Godawari Dutta,,
1083,Goel Kaikobad Sorabji Shavaksha,,
1084,Gokulbhai Bhatt,,
1085,Gokuldas Shivaldas Ahuja,,
1086,Gokulotsavji Maharaj,,
1087,Gopal Chandra Dutt,,
1088,Gopal Chandra Mitra,,
1089,Gopal Chhotray,,
1090,Gopal Gurunath Bewoor,,
1091,Gopal Krishna Saraf,,
1092,Gopal Krishna Vishwakarma,,
1093,Gopal Narayan Thakkar,,
1094,Gopal Prasad Dubey,,
1095,Gopal Prasad Sinha,,
1096,Gopal Prasad Vyas,,
1097,Gopal Purushottam Phadke,,
1098,Gopala Ramanujam,,
1099,Gopalan Narasimhan,,
1100,Gopalasamy Govindarajan,,
1101,Gopaldas Neeraj,,
1102,Gopaldas Neogi Chowdhury,,
1103,Gopi Chand Mannam,,
1104,Gopi Chand Narang,,
1105,Gopi Krishna,,
1106,Gopinath Aman,,
1107,Gopinath Kaviraj,,
1108,Gopinath Mohanty,,
1109,Gopinath Pillai,,
1110,Gopiram Bargayn Burabhakat,,
1111,Gordhandas Bhagwandas Narottamdas,,
1112,Goriparthi Narasimha Raju Yadav,,
1113,Goro Koyama,,
1114,Gosasp Maneckji Sorabji Captain,,
1115,Gostha Pal,,
1116,Gottipati Brahmaiah,,
1117,Gouri Sen,,
1118,Govardan Kumari,,
1119,Goverdhan Mehta,,
1120,Govind Bhimachary Joshi,,
1121,Govind Chandra Pande,,
1122,Govind Narain,,
1123,Govind Nihalani,"Nihalani was born on 19 December 1940 in Karachi, Sindh province (now in Pakistan) and his family migrated to India during the partition of 1947. 
He started out as a cinematographer, graduating in cinematography from the Shree Jaya Chamrajendra polytechnic (the present Government Film and Television Institute) in Bangalore in 1962. He was an Assistant Cinematographer to the legendary V. K. Murthy. He was associated with all the earlier films of Shyam Benegal and with the cinematography of Richard Attenborough's Oscar-winning epic Gandhi. Nihalani and Benegal are well known for their socially relevant films.","నిహలానీ 1940 డిసెంబర్ 19న సింధ్ ప్రావిన్స్లోని కరాచీలో (ప్రస్తుతం పాకిస్థాన్లో ఉంది) జన్మించారు, అతని కుటుంబం 1947 విభజన సమయంలో భారతదేశానికి వలస వచ్చింది. ఇతను సినిమాటోగ్రాఫర్గా ప్రారంభించాడు, 1962లో బెంగళూరులోని శ్రీ జయ చామరాజేంద్ర పాలిటెక్నిక్ (ప్రస్తుత ప్రభుత్వ చలనచిత్రం, టెలివిజన్ ఇన్స్టిట్యూట్) నుండి సినిమాటోగ్రఫీలో పట్టభద్రుడయ్యాడు. ఇతను లెజెండరీ వి దగ్గర అసిస్టెంట్ సినిమాటోగ్రాఫర్. కె. మూర్తి. ఇతను శ్యామ్ బెనెగల్, అన్ని మునుపటి చిత్రాలతో, రిచర్డ్ అటెన్బరో, ఆస్కార్-విజేత ఇతిహాసం గాంధీ, సినిమాటోగ్రఫీతో సంబంధం కలిగి ఉన్నాడు. నిహలానీ, బెనెగల్ వారి సామాజిక సంబంధిత చిత్రాలకు ప్రసిద్ధి చెందారు. "
1124,Govind Pandurang Kane,,
1125,Govind Ram Hada,,
1126,Govind Ram Nirmalkar,,
1127,Govind Sakharam Sardesai,,
1128,Govind Swarup,,
1129,Govinda Pillai Unnikrishna Menon,,
1130,Govindan Sundararajan,,
1131,Govindan Vijayaraghavan,,
1132,Govindappa Venkataswamy,"Born in 1918 in a poor farming village, Venkataswamy was the eldest of five children in a farming family.  He walked two kilometres to school each day and his early lessons were written in sand from the riverbed. There were no doctors in his village, and by the age of 10 he had lost three cousins due to pregnancy-related complications. The untimely deaths spurred his decision to become a doctor. As a young man, he followed the teachings of Mahatma Gandhi, Swami Vivekananda and Sri Aurobindo. Venkataswamy earned a Bachelor of Science in chemistry in 1938 from American College, Madurai. In 1944 he received his medical degree from Stanley Medical College in Madras, graduating second in his class.  In 1951 he qualified with an MS in Ophthalmology at Government Ophthalmic Hospital, Madras. He was in medical school when his father died, leaving him the head of the family. After receiving his medical degree, Venkataswamy served as a physician with the Indian Army from 1945 to 1948","1918లో నిరుపేద వ్యవసాయ గ్రామంలో జన్మించిన వెంకటస్వామి వ్యవసాయ కుటుంబంలో ఐదుగురు సంతానంలో పెద్దవాడు. ఇతను ప్రతిరోజూ పాఠశాలకు రెండు కిలోమీటర్లు నడిచాడు, అతని ప్రారంభ పాఠాలు నదీగర్భం నుండి ఇసుకతో వ్రాయబడ్డాయి. అతని గ్రామంలో వైద్యులు లేరు, 10 సంవత్సరాల వయస్సులో ఇతను గర్భం సంబంధిత సమస్యల కారణంగా ముగ్గురు బంధువులను కోల్పోయాడు. అకాల మరణాలు అతనిని డాక్టర్ కావాలనే నిర్ణయానికి పురికొల్పాయి. యువకుడిగా, ఇతను మహాత్మా గాంధీ, స్వామి వివేకానంద, శ్రీ అరబిందో బోధనలను అనుసరించాడు. వెంకటస్వామి 1938లో మధురైలోని అమెరికన్ కాలేజీ నుండి రసాయన శాస్త్రంలో బ్యాచిలర్ ఆఫ్ సైన్స్ పట్టా పొందారు. 1944లో ఇతను మద్రాసులోని స్టాన్లీ మెడికల్ కాలేజీ నుండి తన వైద్య పట్టా పొందాడు, తన తరగతిలో రెండవ పట్టా పొందాడు. 1951లో మద్రాసులోని ప్రభుత్వ నేత్ర వైద్యశాలలో నేత్ర వైద్యంలో MS పట్టా పొందారు. అతని తండ్రి మరణించినప్పుడు ఇతను వైద్య పాఠశాలలో ఉన్నాడు, అతన్ని కుటుంబానికి అధిపతిగా విడిచిపెట్టాడు. తన వైద్య పట్టా పొందిన తరువాత, వెంకటస్వామి 1945 నుండి 1948 వరకు భారత సైన్యంలో వైద్యుడిగా పనిచేశాడు. "
1133,Govindarajan Padmanaban,,
1134,Govinddas Mannulal Shroff,,
1135,Gowri Ishwaran,,
1136,Grace Louise McCann Morley,,
1137,Grace Mary Linnel,,
1138,Granville Austin,,
1139,Grigoriy Lvovitch Bondarevsky,,
1140,Grigory Bongard-Levin,,
1141,Gubbi Veeranna,,
1142,Guduru Venkatachalam,,
1143,Gujarmal Modi,,
1144,Gul Bardhan,,
1145,Gulab Bai,,
1146,Gulabdas Broker,,
1147,Gulabo Sapera,,
1148,Gulam Mohammed Sheikh,,
1149,Gulam Qadir Lala,,
1150,Gulam Rabbani Taban,,
1151,Gulam Rusull Khan,,
1152,Gulestan Rustom Billimoria,,
1153,Gulfam Ahmed,,
1154,Gullapalli Nageswara Rao,,
1155,Gulshan Lal Tandon,,
1156,Gulshan Nanda,,
1157,Gulshan Rai,,
1158,Gulshan Rai Khatri,,
1159,Gulzar,,
1160,Gulzarilal Nanda,,
1161,Gummadi,,
1162,Gundappa Viswanath,,
1163,Gundu Bandopent Meemamsi,,
1164,Gunter Kruger,,
1165,Gunupati Venkata Krishna Reddy,,
1166,Gunvant Shah,,
1167,Gurbachan Jagat,,
1168,Gurbachan Singh Randhawa,,
1169,Gurbachan Singh Sindhu,,
1170,Gurbachan Singh Talib,,
1171,Gurcharan Singh,,
1172,Gurcharan Singh Kalkat,,
1173,Gurdev Singh Khush,,
1174,Gurdial Singh,,
1175,Gurdial Singh (mountaineer),,
1176,Gurdip Singh,,
1177,Gurdip Singh Randhawa,,
1178,Gurmayum Anita Devi,,
1179,Gurram Jashuva,,
1180,Gursaran Talwar,,
1181,Guru Aribam Surchand Sharma,,
1182,Guru Hanuman,,
1183,Guru Kunchu Kurup,,
1184,Guru Maa Kamali Soren,,
1185,Gurudas Mal,,
1186,Gurumayum Gourakishor Sharma,,
1187,Gury Marchuk,,
1188,Gyan Chand Jain,,
1189,Gyan Chandra Mishra,,
1190,Gyan Chaturvedi,,
1191,Gyan Singh,,
1192,Gyanesh Chandra Chatterjee,,
1193,H. Boniface Prabhu,,
1194,H. D. Shourie,,
1195,H. Govindrao Srinivasa Murthy,,
1196,H. K. Dua,,
1197,H. Kusum Sayani,,
1198,H. M. Desai,,
1199,H. P. S. Ahluwalia,,
1200,H. R. Nagendra,,
1201,H. R. Shah,,
1202,H. Thegtse Rinpoche,,
1203,H. V. R. Iyengar,,
1204,H. Y. Sharada Prasad,,
1205,Habib Rahman,,
1206,Habib Tanvir,,
1207,Habibullo Rajabov,,
1208,Habibur Rahman,,
1209,Hafeez Ahmed Khan,,
1210,Hafeez Contractor,,
1211,Hafiz Ali Khan,,
1212,Hafiz Mohamad Ibrahim,,
1213,Hakam Singh,,
1214,Hakim Abdul Hameed,,
1215,Hakim Syed Khaleefathullah,,
1216,Hakim Syed Zillur Rahman,,
1217,Haku Shah,,
1218,Haldhar Nag,,
1219,Hamidi Kashmiri,,
1220,Hamlet Bareh,,
1221,Hanamant Narhar 'Sudhanshu' Joshi,,
1222,Handel Manuel,,
1223,Hans Raj Hans,,
1224,Hans Raj Khanna,,
1225,Hansa Jivraj Mehta,,
1226,Hanumanbax Kanoi,,
1227,Hanumappa Sudarshan,,
1228,Haobam Ongbi Ngangbi Devi,,
1229,Har Gobind Khorana,,
1230,Har Krishna Lal Sethi,,
1231,Har Mander Singh,,
1232,Harbaksh Singh,,
1233,Harbans Singh Jolly,,
1234,Harbans Singh Wasir,,
1235,Harbhajan Singh,,
1236,Harbhajan Singh (mountaineer),,
1237,Harbhajan Singh Rissam,,
1238,Harbhajan Sinha,,
1239,Harekala Hajabba,,
1240,Hargovind Laxmishanker Trivedi,,
1241,Hari Chand Dewan,,
1242,Hari Govindrao Vartak,,
1243,Hari Kant Dang,,
1244,Hari Krishan Jain,,
1245,Hari Krishan Wattal,,
1246,Hari Narain,,
1247,Hari Prasad Jaiswal,,
1248,Hari Shankar Sharma,,
1249,Hari Shankar Singhania,,
1250,Hari Uppal,,
1251,Hari Vinayak Pataskar,,
1252,Haribhau Upadhyaya,,
1253,Haridas Siddhanta Bagish,,
1254,Haridas Thongram,,
1255,Haridwaramangalam A. K. Palanivel,,
1256,Harihar Kripalu Tripathi,,
1257,Hariharan,,
1258,Hariharan Srinivasan,,
1259,Harika Dronavalli,,
1260,Harindranath Chattopadhyay,,
1261,Hariprasad Chaurasia,,
1262,Harischandra Kashnath Karve,,
1263,Harish Chandra Sarin,,
1264,Harish Chandra Singh Rawat,,
1265,Harish Chandra Verma,,
1266,Harish Salve,,
1267,Harish-Chandra,,
1268,Harishankar Parsai,,
1269,Harishchandra Gopal Patil,,
1270,Harivansh Rai Bachchan,,
1271,Harkishan Singh,,
1272,Harnam Das Wahi,,
1273,Haroon Khan Sherwani,,
1274,Harpinder Singh Chawla,,
1275,Harsh Gupta,,
1276,Harsh Kumar,,
1277,Harsh Mahajan,,
1278,Harsh Vardhan Bahuguna,,
1279,Harshavardhan Neotia,,
1280,Harshel Sawi Luaia,,
1281,Harvinder Singh Phoolka,,
1282,Hashmat Ullah Khan,,
1283,Hasmukh Chamanlal Shah,,
1284,Hasmukh Dhirajlal Sankalia,,
1285,Hasmukhbhai Parekh,,
1286,Hassan Nasiem Siddiquie,,
1287,Hazari Prasad Dwivedi,,
1288,Heinrich von Stietencron,,
1289,Heisnam Kanhailal,,
1290,Helen,,
1291,Helen Giri,,
1292,Hema Bharali,,
1293,Hema Malini,,
1294,Hemendra Prasad Barooah,,
1295,Hemendra Singh Panwar,,
1296,Hemi Bawa,,
1297,Hemlata Gupta,,
