,Recipients,early life,early life Telugu
493,Benichandra Jamatia,,
494,Benjamin A. Gilman,,
495,Benjamin Peary Pal,,
496,Benode Behari Mukherjee,"Binod Behari Mukherjee was born in Behala, in the state of West Bengal, now recently included into Kolkata (2009 onwards) although his ancestral village in Garalgachha in Hooghly District. He taught at Visva Bharati University in Santiniketan.","బినోద్ బిహారీ ముఖర్జీ పశ్చిమ బెంగాల్ రాష్ట్రంలోని బెహలాలో జన్మించారు, ఇప్పుడు ఇటీవల కోల్కతాలో (2009 నుండి) చేరారు, అయినప్పటికీ హూగ్లీ జిల్లాలోని గరల్గచ్చలో అతని పూర్వీకుల గ్రామం. శాంతినికేతన్లోని విశ్వభారతి విశ్వవిద్యాలయంలో బోధించారు. "
497,Benoy Bhushan Ghosh,,
498,Benudhar Sharma,,
499,Bernard Peters,,
500,Bertha Gyndykes Dkhar,,
501,Bettina Baumer,,
502,Bhabani Charan Mukharji,,
503,Bhabani Charan Pattanayak,,
504,Bhabatosh Datta,,
505,Bhabendra Nath Saikia,,
506,Bhag Mehta,,
507,Bhagaban Sahu,,
508,Bhagat Puran Singh,"Bhagat Puran Singh was born in Rajewal (Rohno) Ludhiana district, Punjab. Born into a Hindu family, he was given the name Ramji Das as a child, but later in his childhood converted to Sikhism, taking the name Bhagat Puran Singh. After the death of his father, his mother encouraged him to finish the matric level of education, which would allow him to obtain a government job. His mother worked as a domestic help in the house of a doctor at Montgomery (Sahiwal), in part to pay for her son's education. Later, she moved to Lahore, where she cleaned utensils in households, sending ten rupees per month to Puran Singh, who was living in a hostel.He failed his tenth class examination, and was called back to Lahore to attend a local school. Though uninterested in his school education, he spent much time reading in the Dyal Singh Library.","భగత్ పురాణ్ సింగ్ పంజాబ్లోని లూథియానా జిల్లా రాజేవాల్ (రోహ్నో)లో జన్మించాడు. హిందూ కుటుంబంలో జన్మించిన అతనికి చిన్నతనంలో రామ్జీ దాస్ అనే పేరు పెట్టారు, కానీ తరువాత అతని చిన్నతనంలో సిక్కు మతంలోకి మారారు, భగత్ పురాన్ సింగ్ అనే పేరును స్వీకరించారు. అతని తండ్రి మరణించిన తరువాత, అతని తల్లి అతనిని మెట్రిక్ స్థాయి విద్యను పూర్తి చేయమని ప్రోత్సహించింది, అది అతనికి ప్రభుత్వ ఉద్యోగం పొందటానికి వీలు కల్పిస్తుంది. అతని తల్లి మోంట్గోమెరీ (సాహివాల్) వద్ద ఉన్న ఒక వైద్యుని ఇంట్లో తన కుమారుడి చదువుకు కొంత భాగాన్ని చెల్లించడానికి ఇంటి సహాయకురాలిగా పనిచేసింది. తరువాత, ఈమె లాహోర్కు వెళ్లింది, అక్కడ ఈమె గృహాలలో పాత్రలను శుభ్రం చేసింది, హాస్టల్లో నివసిస్తున్న పూరన్ సింగ్కు నెలకు పది రూపాయలు పంపుతుంది. ఇతను తన పదవ తరగతి పరీక్షలో విఫలమయ్యాడు, స్థానిక పాఠశాలలో చేరేందుకు లాహోర్కు తిరిగి పిలిపించబడ్డాడు. తన పాఠశాల విద్యపై ఆసక్తి లేకపోయినా, ఇతను ద్యాల్ సింగ్ లైబ్రరీలో చదవడానికి ఎక్కువ సమయం గడిపాడు. "
509,Bhagavatula Dattaguru,,
510,Bhagirathi Devi,,
511,Bhagwan Sahay,,
512,Bhagwant Javhermal Shahaney,,
513,Bhagwantrao Mandloi,,
514,Bhagwat Murmu,,
515,Bhagwat Sinha Mehta,,
516,Bhagwati Charan Verma,,
517,Bhagyashree Thipsay,,
518,Bhajan Sopori,,
519,Bhajju Shyam,,
520,Bhakta B. Rath,,
521,Bhakti Yadav,"She was born on 3 April 1926 in Ujjain in Mahidpur. She hailed from a renowned Maharashtrian family. In 1937 when education of girls was discouraged, she expressed her desire for higher studies. Her father sent her to a nearby village where she got to study till the seventh standard. Thereafter her father visited Indore to get her admitted in Ahilya Ashram School, the only girls' school in Indore in those times. The school had boarding facilities. After her 11th standard, in 1948, she joined Hollkar Science College, Indore for her BSc studies. She was topper in the college in the first year.","ఈమె 1926 ఏప్రిల్ 3న మహిద్పూర్లోని ఉజ్జయినిలో జన్మించింది. ఈమె ఒక ప్రసిద్ధ మహారాష్ట్ర కుటుంబం నుండి వచ్చింది. 1937లో బాలికల విద్యను నిరుత్సాహపరిచినప్పుడు, ఈమె ఉన్నత చదువులు చదవాలనే కోరికను వ్యక్తం చేసింది. ఈమెను ఏడో తరగతి వరకు చదివించేందుకు తండ్రి దగ్గర్లోని గ్రామానికి పంపించాడు. ఆ తర్వాత ఇండోర్లోని ఏకైక బాలికల పాఠశాల అయిన అహల్య ఆశ్రమ పాఠశాలలో ఈమెను చేర్చుకోవడానికి ఈమె తండ్రి ఇండోర్ని సందర్శించారు. పాఠశాలలో వసతి సౌకర్యాలు ఉండేవి. ఈమె 11వ తరగతి తర్వాత, 1948లో, ఈమె BSc చదువుల కోసం ఇండోర్లోని హోల్కర్ సైన్స్ కాలేజీలో చేరింది. మొదటి సంవత్సరంలో కాలేజీలో టాపర్గా నిలిచింది. "
522,Bhalchandra Babaji Dikshit,,
523,Bhalchandra Dattatray Mondhe,,
524,Bhalchandra Digambar Garware,Abasaheb Garware was born in Tasgaon in Satara district of Maharashtra on 21 December 1903. He faced poverty since his father wasted away all the family wealth and incurred large amount of debts. Due to the financial position at home he was forced to leave education after passing the then 6th Standard High School exam.,అబాసాహెబ్ గార్వారే 21 డిసెంబర్ 1903న మహారాష్ట్రలోని సతారా జిల్లాలోని తాస్గావ్లో జన్మించారు. అతని తండ్రి కుటుంబ సంపదను వృధా చేయడంతో పాటు పెద్ద మొత్తంలో అప్పులు చేయడంతో ఇతను పేదరికాన్ని ఎదుర్కొన్నాడు. ఇంట్లో ఆర్థిక పరిస్థితి కారణంగా ఇతను 6వ తరగతి హైస్కూల్ పరీక్షలో ఉత్తీర్ణత సాధించిన తర్వాత విద్యను విడిచిపెట్టవలసి వచ్చింది. 
525,Bhalchandra Nemade,,
526,Bhalchandra Nilkanth Purandare,,
527,Bhalchandra Udgaonkar,,
528,Bhalindra Singh,,
529,Bharat Bhushan,,
530,Bharat Bhushan Tyagi,,
531,Bharat Goenka,,
532,Bharat Mishra,,
533,Bharat Ram,,
534,Bharath Gopi,,
535,Bharathi Vishnuvardhan,,
536,Bharathiraja,,
537,Bharati Shivaji,,
538,Bhargavaram Viththal Varerkar,,
539,Bhaurao Krishnaji Gaikwad,,
540,Bhaurao Patil,"Karmaveer Bhaurao Patil  was born in a Marathi Jain  farming family at Kumbhoj in Kolhapur district. Bhaurao's father was a clerk in the revenue department for East India company. Bhaurao was one of the first few Jains known to have passed 8th class of secondary school. During childhood, Bhaurao was heavily influenced by Chhatrapati Shahu, the ruler of Kolhapur State, who provided a facility to Bhaurao  to stay in the palace of Kolhapur with Maharaj and study. Shahu was promoter of social equality and education of people belonging to backward castes. Eventually, his father sent him to Kolhapur for further education, where he got in contact with Satya Shodhak Movement and found other sources of inspiration, Mahatma Phule and Maharshi Vitthal Ramji Shinde.","కర్మవీర్ భౌరావ్ పాటిల్ కొల్హాపూర్ జిల్లాలోని కుంభోజ్లో మరాఠీ జైన వ్యవసాయ కుటుంబంలో జన్మించాడు. భౌరావు తండ్రి ఈస్టిండియా కంపెనీకి రెవెన్యూ డిపార్ట్మెంట్లో గుమాస్తా. సెకండరీ స్కూల్లో 8వ తరగతి ఉత్తీర్ణత సాధించిన మొదటి కొద్దిమంది జైనులలో భౌరావు ఒకరు. బాల్యంలో, కొల్హాపూర్ రాష్ట్ర పాలకుడైన ఛత్రపతి షాహూచే భౌరావు బాగా ప్రభావితమయ్యాడు, ఇతను మహారాజ్తో పాటు కొల్హాపూర్ ప్యాలెస్లో ఉండి చదువుకోవడానికి భౌరావుకు సౌకర్యాన్ని కల్పించాడు. షాహూ వెనుకబడిన కులాలకు చెందిన ప్రజల సామాజిక సమానత్వం, విద్యను ప్రోత్సహించేవారు. చివరికి, అతని తండ్రి అతన్ని తదుపరి విద్య కోసం కొల్హాపూర్కు పంపాడు, అక్కడ ఇతను సత్య శోధక్ ఉద్యమంతో పరిచయం పొందాడు, ప్రేరణ, ఇతర వనరులను కనుగొన్నాడు, మహాత్మా ఫూలే, మహర్షి విఠల్ రామ్జీ షిండే. "
541,Bhavarlal Jain,,
542,Bhawana Somaaya,,
543,Bhawani Prasad Tiwari,,
544,Bhikham Lal Atreya,,
545,Bhikhu Parekh,,
546,Bhikhubhai Khushalbhai Naik,,
547,Bhikhudan Gadhvi,,
548,Bhimsen Joshi,"Bhimsen Joshi was born on 4 February 1922 in a Kannada Deshastha Madhva Brahmin family to Gururajrao Joshi and Godavaribai at Gadag in Dharwad district that was then in the Bombay Presidency of British India. His father, Gururaj Joshi, was a school teacher. Bhimsen was the eldest among 16 siblings. He lost his mother at a young age.As a child, Joshi was fascinated with music and musical instruments like the harmonium and tanpura and would often follow processions accompanied by music bands. This exercise often tired him and he would curl up somewhere and sleep, forcing his parents to go to the police after efforts to trace him failed. Fed up, his father Gururajacharya Joshi came up with the solution, writing ""son of teacher Joshi"" on Joshi's shirts. This worked and those who found the boy sleeping would safely deposit him back to his house.","భీమ్సేన్ జోషి 1922 ఫిబ్రవరి 4న బ్రిటిష్ ఇండియాలోని బొంబాయి ప్రెసిడెన్సీలో ఉన్న ధార్వాడ్ జిల్లాలోని గడగ్లో గురురాజరావు జోషి, గోదావరిబాయి దంపతులకు కన్నడ దేశస్థ మాధ్వ బ్రాహ్మణ కుటుంబంలో జన్మించారు. అతని తండ్రి గురురాజ్ జోషి పాఠశాల ఉపాధ్యాయుడు. 16 మంది తోబుట్టువులలో భీంసేన్ పెద్దవాడు. చిన్న వయసులోనే తల్లిని కోల్పోయాడు. చిన్నతనంలో, జోషి సంగీతం, హార్మోనియం, తాన్పురా వంటి సంగీత వాయిద్యాలపై ఆకర్షితుడయ్యాడు, తరచూ సంగీత బ్యాండ్లతో కూడిన ఊరేగింపులను అనుసరించేవాడు. ఈ వ్యాయామం తరచుగా అతనికి అలసిపోతుంది, ఇతను ఎక్కడో ముడుచుకుని నిద్రపోతాడు, అతనిని కనిపెట్టే ప్రయత్నాలు విఫలమైన తర్వాత అతని తల్లిదండ్రులను పోలీసులను ఆశ్రయించవలసి వచ్చింది. విసిగిపోయిన అతని తండ్రి గురురాజాచార్య జోషి జోషి చొక్కాలపై ""గురువు జోషి కుమారుడు"" అని వ్రాసి పరిష్కారాన్ని కనుగొన్నారు. ఇది పని చేసింది, బాలుడు నిద్రిస్తున్నట్లు గుర్తించిన వారు అతనిని సురక్షితంగా అతని ఇంటికి తిరిగి జమ చేస్తారు. "
549,Bhisham Sahni,,
550,Bhishan Saroop Bansal,,
551,Bhogilal Pandya,,
552,Bhola Nath,,
553,Bhola Nath Jha,,
554,Bhola Nath Mullik,,
555,Bholabhai Patel,,
556,Bhupathiraju Somaraju,,
557,Bhupati Mohan Sen,,
558,Bhupen Hazarika,,
559,Bhupen Khakhar,"Bhupen Khakhar was born in Bombay and spent his boyhood in the area called Khetwadi with his parents and three siblings. He was the youngest of four children, and his father, Parmanand, was an engineer and was an external examiner at VJTI matunga, Mumbai. Parmanand drank heavily and died when Bhupen was only four years old. His mother Mahalaxmi was a housewife, and she soon invested all of her hopes in her youngest child.
The Khakhars were originally artisans who came from the Portuguese colony of Diu. At home they spoke Gujarati, Marathi and Hindi, but not much English. Bhupen was the first of his family to attend the University of Bombay, where he took a B.A., with Economics and Political Sciences as his special subjects. At his family's insistence he went on to take a Bachelor of Commerce from Sydenham College of Commerce and Economics and qualified as a Chartered Accountant","భూపేన్ ఖాఖర్ బొంబాయిలో జన్మించాడు, తన బాల్యం ఖేత్వాడి అనే ప్రాంతంలో తన తల్లిదండ్రులు, ముగ్గురు తోబుట్టువులతో గడిపాడు. ఇతను నలుగురు పిల్లలలో చిన్నవాడు,, అతని తండ్రి, పరమానంద్, ఇంజనీర్, ముంబైలోని VJTI మాతుంగాలో ఎక్స్టర్నల్ ఎగ్జామినర్. భూపెన్కు నాలుగేళ్ల వయసులో పరమానంద్ విపరీతంగా మద్యం తాగి చనిపోయాడు. అతని తల్లి మహాలక్ష్మి గృహిణి,, ఈమె త్వరలోనే తన చిన్న బిడ్డపై తన ఆశలన్నింటినీ పెట్టుబడి పెట్టింది. ఖాఖర్లు వాస్తవానికి పోర్చుగీస్ కాలనీ డయ్యు నుండి వచ్చిన కళాకారులు. ఇంట్లో వారు గుజరాతీ, మరాఠీ, హిందీ మాట్లాడేవారు, కానీ చాలా ఇంగ్లీష్ కాదు. బొంబాయి విశ్వవిద్యాలయానికి హాజరైన అతని కుటుంబంలో భూపేన్ మొదటి వ్యక్తి, అక్కడ ఇతను B పట్టా తీసుకున్నాడు. ఎ., ఎకనామిక్స్, పొలిటికల్ సైన్సెస్ అతని ప్రత్యేక సబ్జెక్ట్లుగా ఉన్నాయి. అతని కుటుంబం, ఒత్తిడితో ఇతను సిడెన్హామ్ కాలేజ్ ఆఫ్ కామర్స్ అండ్ ఎకనామిక్స్ నుండి బ్యాచిలర్ ఆఫ్ కామర్స్ పట్టభద్రుడయ్యాడు, చార్టర్డ్ అకౌంటెంట్గా అర్హత సాధించాడు. "
560,Bhuri Bai,"Like her contemporary Jangarh Singh Shyam, Bhuri Bai was encouraged by J Swaminathan of Bhopal's Bharat Bhavan to start using acrylic colours and paper to make paintings. Before that, she, like other members of her community, would create art on the walls of her home. Bhuri was proficient in the making of Pithora paintings.“In the village, we had to work so hard to extract colour from plants and clay. And here I was given so many shades of colour and a ready made brush!”Besides painting, Bhuri Bai is also adept at the skill of hut-making, which she learnt from her mother Jhabbu Bai. She contributed to the construction of the Bhil hut in the Indira Gandhi Rashtriya Manav Sangrahalaya or Museum of Man in Bhopal, where she resides. In fact, when Bhuri Bai first arrived in Bhopal, she was engaged as a construction labourer at Bharat Bhavan—a job that earned her Rs 6 per day. It was here that she first met Jagdish Swaminathan, who spotted her talent and encouraged her to paint. Bhuri bai started her work alongside her community artist Lado Bai.","ఈమె సమకాలీనుడైన జంగర్ సింగ్ శ్యామ్ లాగా, భూరి బాయిని భోపాల్లోని భారత్ భవన్కు చెందిన జె స్వామినాథన్ పెయింటింగ్స్ చేయడానికి యాక్రిలిక్ రంగులు, కాగితాన్ని ఉపయోగించడం ప్రారంభించమని ప్రోత్సహించారు. దీనికి ముందు, ఈమె, తన సంఘంలోని ఇతర సభ్యుల మాదిరిగానే, తన ఇంటి గోడలపై కళను సృష్టిస్తుంది. భూరి పితోరా పెయింటింగ్స్ వేయడంలో ప్రావీణ్యం సంపాదించాడు. “గ్రామంలో, మొక్కలు, మట్టి నుండి రంగును తీయడానికి మేము చాలా కష్టపడాల్సి వచ్చింది., ఇక్కడ నాకు చాలా రంగుల షేడ్స్, రెడీమేడ్ బ్రష్ ఇవ్వబడింది!"" పెయింటింగ్తో పాటు, భూరి బాయి గుడిసెలు వేయడంలో నైపుణ్యం కలిగి ఉంది, ఈమె తన తల్లి ఝబ్బుబాయి నుండి నేర్చుకున్నది. ఈమె నివసించే భోపాల్లోని ఇందిరా గాంధీ రాష్ట్రీయ మానవ్ సంగ్రహాలయ లేదా మ్యూజియం ఆఫ్ మ్యాన్లో భిల్ గుడిసె నిర్మాణానికి సహకరించింది. వాస్తవానికి, భూరి బాయి మొదటిసారి భోపాల్కు వచ్చినప్పుడు, ఈమె భారత్ భవన్లో నిర్మాణ కార్మికురాలిగా నిమగ్నమై ఉంది-ఈ ఉద్యోగం ఈమెకు రోజుకు రూ. 6 వచ్చేది. ఈమె ప్రతిభను గుర్తించి, చిత్రలేఖనానికి ప్రోత్సహించిన జగదీష్ స్వామినాథన్ను తొలిసారిగా ఇక్కడే కలిశారు. భూరి బాయి తన కమ్యూనిటీ ఆర్టిస్ట్ లాడో బాయితో కలిసి తన పనిని ప్రారంభించింది. "
561,Bhuvneshwari Kumari,"Kumari, also known as Princess Candy, was born to the royal family of Alwar in Rajasthan and is the granddaughter of Tej Singh Prabhakar Bahadur. She was educated at Delhi University.","ప్రిన్సెస్ కాండీ అని కూడా పిలువబడే కుమారి, రాజస్థాన్లోని అల్వార్ రాజకుటుంబంలో జన్మించింది, తేజ్ సింగ్ ప్రభాకర్ బహదూర్ మనవరాలు. ఈమె ఢిల్లీ యూనివర్సిటీలో చదువుకున్నారు. "
562,Bibek Debroy,,
563,Bijoy Chandra Bhagavati,,
564,Bijoy Nandan Shahi,,
565,Bikash Bhattacharjee,"Bhattacharjee was born in Kolkata 1940. At a very early age he lost his father. The consequent struggle for survival left him with a deep sense of insecurity as well as an empathy for the under-privileged, who often feature in his works.
In 1963, he graduated with a Diploma in Fine Arts from Indian College of Art and Draftsmanship.Bikash lived in Kolkata all his life.","భట్టాచార్జీ 1940లో కోల్కతాలో జన్మించారు. చాలా చిన్న వయసులోనే తండ్రిని కోల్పోయాడు. తత్ఫలితంగా మనుగడ కోసం జరిగిన పోరాటం అతనికి లోతైన అభద్రతా భావాన్ని అలాగే తన రచనలలో తరచుగా కనిపించే వెనుకబడిన వారి పట్ల సానుభూతిని కలిగించింది. 1963లో, ఇతను ఇండియన్ కాలేజ్ ఆఫ్ ఆర్ట్ అండ్ డ్రాఫ్ట్స్మాన్షిప్ నుండి ఫైన్ ఆర్ట్స్లో డిప్లొమాతో పట్టభద్రుడయ్యాడు. బికాష్ తన జీవితమంతా కోల్కతాలోనే నివసించాడు. "
566,Bikash Sinha,,
567,Bilat Paswan Vihangam,,
568,Bilkees I. Latif,,
569,Bill Gates,"Bill Gates was born in Seattle, Washington on October 28, 1955. He is the son of William H. Gates Sr. (1925–2020) and Mary Maxwell Gates (1929–1994). His ancestry includes English, German, and Irish/Scots-Irish. His father was a prominent lawyer, and his mother served on the board of directors for First Interstate BancSystem and the United Way of America. Gates's maternal grandfather was J. W. Maxwell, a national bank president. Gates has an older sister Kristi (Kristianne) and a younger sister Libby","బిల్ గేట్స్ అక్టోబర్ 28, 1955న వాషింగ్టన్లోని సీటెల్లో జన్మించారు. ఇతను విలియం హెచ్ కుమారుడు. గేట్స్ సీనియర్. (1925–2020), మేరీ మాక్స్వెల్ గేట్స్ (1929–1994). అతని వంశంలో ఇంగ్లీష్, జర్మన్, ఐరిష్/స్కాట్స్-ఐరిష్ ఉన్నాయి. అతని తండ్రి ప్రముఖ న్యాయవాది,, అతని తల్లి ఫస్ట్ ఇంటర్స్టేట్ బ్యాంక్సిస్టమ్, యునైటెడ్ వే ఆఫ్ అమెరికా కోసం డైరెక్టర్ల బోర్డులో పనిచేశారు. గేట్స్ తల్లితండ్రులు జె. W. మాక్స్వెల్, జాతీయ బ్యాంకు అధ్యక్షుడు. గేట్స్కి ఒక అక్క క్రిస్టి (క్రిస్టియాన్), ఒక చెల్లెలు లిబ్బి ఉన్నారు. "
570,Billy Arjan Singh,"Kunwar ""Billy"" Arjan Singh was born in Gorakhpur on 15 August 1917 as the second son of Kunwar Jasbir Singh, CIE (1887–1942), a member of the royal Ahluwalia dynasty of Kapurthala. His grandfather was Raja Harnam Singh and his uncle was Raja Maharaj Singh. Rajkumari Amrit Kaur was his aunt and his elder brother was Air Vice-Marshal Kunwar Jaswant Singh, PVSM (1915–1963). In 1940, Singh was commissioned as a Second Lieutenant in the British Indian Army and was posted to the south of Iraq. Upon his return to India he purchased a farm in the remote district of Lakhimpur Kheri and built himself a home – named in honour of his father – Jasbir Nagar. He settled down to a life of farming and hunting. Nearly ten years later, he also acquired an estate on the borders of the forestry reserve at Dudhwa. This came to be known as Tiger Haven and it is there that he lived for most of the rest of his life.","కున్వర్ ""బిల్లీ"" అర్జన్ సింగ్ గోరఖ్పూర్లో 1917 ఆగస్టు 15న కపుర్తలాలోని రాజ అహ్లువాలియా రాజవంశానికి చెందిన CIE (1887–1942) కున్వర్ జస్బీర్ సింగ్కి రెండవ కుమారుడిగా జన్మించాడు. అతని తాత రాజా హర్నామ్ సింగ్, అతని మేనమామ రాజా మహారాజ్ సింగ్. రాజకుమారి అమృత్ కౌర్ అతని అత్త, అతని అన్నయ్య ఎయిర్ వైస్-మార్షల్ కున్వర్ జస్వంత్ సింగ్, PVSM (1915-1963). 1940లో, సింగ్ బ్రిటీష్ ఇండియన్ ఆర్మీలో సెకండ్ లెఫ్టినెంట్గా నియమించబడ్డాడు, ఇరాక్కి దక్షిణాన నియమించబడ్డాడు. ఇతను భారతదేశానికి తిరిగి వచ్చిన తరువాత, ఇతను మారుమూల జిల్లా లఖింపూర్ ఖేరీలో ఒక పొలాన్ని కొనుగోలు చేశాడు, తన తండ్రి గౌరవార్థం - జస్బీర్ నగర్ పేరు పెట్టాడు. ఇతను వ్యవసాయం, వేట జీవితంతో స్థిరపడ్డాడు. దాదాపు పదేళ్ల తర్వాత, ఇతను దుధ్వాలోని ఫారెస్ట్రీ రిజర్వ్ సరిహద్దులో ఒక ఎస్టేట్ను కూడా సంపాదించాడు. ఇది టైగర్ హెవెన్ అని పిలువబడింది, ఇతను తన మిగిలిన జీవితమంతా అక్కడే జీవించాడు. "
571,Bimal Krishna Matilal,,
572,Bimal Kumar Bachhawat,,
573,Bimal Kumar Jain,,
574,Bimal Kumar Roy,,
575,Bimal Patel,,
576,Bimal Prashad Jain,,
577,Bimala Prasad Chaliha,,
578,Biman Bihari Das,,
579,Bimla Poddar,,
580,Bina Agarwal,"Agarwal's parents were Suraj Mal and Shyama Devi Agarwal, Agarwal named a book prize in their honour. She earned her B.A. and M.A. from the University of Cambridge, and her doctorate in Economics from the Delhi School of Economics, University of Delhi, her dissertation was Mechanization in Indian Agriculture: An Analytical Study Based on the Punjab.","అగర్వాల్ తల్లిదండ్రులు సూరజ్ మాల్, శ్యామా దేవి అగర్వాల్, అగర్వాల్ వారి గౌరవార్థం ఒక పుస్తక బహుమతిని ప్రకటించారు. ఈమె బి సంపాదించింది. ఎ., M. ఎ. కేంబ్రిడ్జ్ విశ్వవిద్యాలయం నుండి,, ఢిల్లీ స్కూల్ ఆఫ్ ఎకనామిక్స్, ఢిల్లీ విశ్వవిద్యాలయం నుండి ఎకనామిక్స్లో ఈమె డాక్టరేట్, ఈమె ప్రవచనం మెకనైజేషన్ ఇన్ ఇండియన్ అగ్రికల్చర్: యాన్ అనలిటికల్ స్టడీ ఆధారిత పంజాబ్. "
581,Bina Das,,
582,Binapani Mohanty,,
583,Binay Ranjan Sen,,
584,Bindeshwar Pathak,,
585,Bindeshwari Prasad Verma,"Bindeshwari Prasad Verma was born in a Zamindar Upper Caste Kayastha Family. He was against tribal culture or Dravidian principles which led to massacres and riots all over the country in the name of 'freedom struggle'. He was against hijacking the Independence movement for the profit of a few affluent classes of India. As the direct descendant of King Alexander The Great and Queen Mary of UK, he faced the brunt of Mohandas Karamchand Gandhi for establishing British rule in India. As the King Brahma of India, he was persecuted for supporting Kingship in the name of Lord Rama. He was jailed for supporting monarchy in India. He was very brilliant in his studies. He topped the L.L.B","బిందేశ్వరి ప్రసాద్ వర్మ జమీందార్ ఉన్నత కుల కాయస్థ కుటుంబంలో జన్మించారు. ఇతను 'స్వాతంత్ర్య పోరాటం' పేరుతో దేశవ్యాప్తంగా మారణకాండలు, అల్లర్లకు దారితీసిన గిరిజన సంస్కృతి లేదా ద్రావిడ సూత్రాలకు వ్యతిరేకం. భారతదేశంలోని కొన్ని సంపన్న వర్గాల ప్రయోజనాల కోసం స్వాతంత్ర్య ఉద్యమాన్ని హైజాక్ చేయడాన్ని ఆయన వ్యతిరేకించారు. UK రాజు అలెగ్జాండర్ ది గ్రేట్, క్వీన్ మేరీ, ప్రత్యక్ష వారసుడిగా, ఇతను భారతదేశంలో బ్రిటిష్ పాలనను స్థాపించడానికి మోహన్దాస్ కరంచంద్ గాంధీ, భారాన్ని ఎదుర్కొన్నాడు. భారతదేశం, రాజు బ్రహ్మగా, ఇతను రాముడి పేరుతో రాజ్యాధికారానికి మద్దతు ఇచ్చినందుకు హింసించబడ్డాడు. భారతదేశంలో రాచరికానికి మద్దతు ఇచ్చినందుకు ఇతను జైలు పాలయ్యాడు. చదువులో చాలా తెలివైనవాడు. ఎల్లో అగ్రస్థానంలో నిలిచాడు. ఎల్. బి. "
586,Bindhyabasini Devi,,
587,Binny Yanga,,
588,Binod Kanungo,,
589,Bipan Chandra,,
590,Bipin Ganatra,,
591,Bir Bhan Bhatia,,
592,Biren De,,
593,Biren Kumar Basak,,
594,Birendra Nath Datta,"He was born on 1 March 1935 at Nagaon, Assam to Kalpanath Datta, a school teacher and Mandakini Datta. Their original home is in Panera village, near Baihata Chariali.
He started his education at Chenikuthi L.P. School at Guwahati and then studied at Goalpara. In 1933 Datta secured ranks among the top 10 in both Matriculation and I.Sc examinations under Gauhati University. Then he came to Visva Bharati, Santiniketan to study Bachelor of Arts and later studied Master of Arts from Gauhati University in Economics.","ఇతను 1935 మార్చి 1న అస్సాంలోని నాగాన్లో పాఠశాల ఉపాధ్యాయుడు, మందాకిని దత్తా దంపతులకు జన్మించాడు. వారి అసలు ఇల్లు బైహతా చరియాలీకి సమీపంలోని పనేరా గ్రామంలో ఉంది. ఇతను తన విద్యను చెనికుతి ఎల్లో ప్రారంభించాడు. పి. గౌహతిలో పాఠశాల ఆపై గోల్పరాలో చదివారు. 1933లో మెట్రిక్యులేషన్, I రెండింటిలోనూ దత్తా టాప్ 10లో ర్యాంకులు సాధించాడు. గౌహతి విశ్వవిద్యాలయం క్రింద Sc పరీక్షలు. ఇతను బ్యాచిలర్ ఆఫ్ ఆర్ట్స్ చదవడానికి విశ్వభారతి, శాంతినికేతన్కు వచ్చాడు, తరువాత గౌహతి విశ్వవిద్యాలయం నుండి ఎకనామిక్స్లో మాస్టర్ ఆఫ్ ఆర్ట్స్ అభ్యసించాడు. "
595,Birendra Nath Ganguli,,
596,Birendranath Sircar,"B. N. Sircar was born in Bhagalpur to the then Advocate-General of Bengal, Sir N. N. Sircar. After completing his study at Hindu School, Kolkata, he studied Engineering at the University of London and on returning to India he was asked to build a cinema. The project caused him to develop a keen interest in film and he proceeded to build a cinema for the screening of Bengali-language films. Called Chitra, this was opened in Calcutta by Subhas Chandra Bose on 30 December 1930 and was followed by the construction of New Cinema, which showed Hindi films. He then decided to involve himself in making of two silent films.","బి. ఎన్. సిర్కార్ భాగల్పూర్లో అప్పటి బెంగాల్ అడ్వకేట్ జనరల్ సర్ ఎన్కు జన్మించారు. ఎన్. సిర్కార్. కోల్కతాలోని హిందూ పాఠశాలలో తన చదువును పూర్తి చేసిన తర్వాత, ఇతను లండన్ విశ్వవిద్యాలయంలో ఇంజినీరింగ్ చదివాడు, భారతదేశానికి తిరిగి వచ్చిన తర్వాత ఇతను సినిమా నిర్మించమని అడిగాడు. ఈ ప్రాజెక్ట్ అతనికి చలనచిత్రంపై ఆసక్తిని పెంచడానికి కారణమైంది, ఇతను బెంగాలీ-భాషా చిత్రాల ప్రదర్శన కోసం ఒక సినిమాని నిర్మించడం ప్రారంభించాడు. చిత్ర అని పిలవబడే దీనిని 30 డిసెంబర్ 1930న సుభాష్ చంద్రబోస్ కలకత్తాలో ప్రారంభించాడు, హిందీ చిత్రాలను ప్రదర్శించే న్యూ సినిమా నిర్మాణం జరిగింది. ఆ తర్వాత రెండు మూకీ చిత్రాల నిర్మాణంలో తనని తాను పాలుపంచుకోవాలని నిర్ణయించుకున్నాడు. "
