,Recipients,political career,political career Telugu
1236,Harbhajan Singh (mountaineer),,
1237,Harbhajan Singh Rissam,,
1238,Harbhajan Sinha,,
1239,Harekala Hajabba,,
1240,Hargovind Laxmishanker Trivedi,,
1241,Hari Chand Dewan,,
1242,Hari Govindrao Vartak,,
1243,Hari Kant Dang,,
1244,Hari Krishan Jain,,
1245,Hari Krishan Wattal,,
1246,Hari Narain,,
1247,Hari Prasad Jaiswal,,
1248,Hari Shankar Sharma,,
1249,Hari Shankar Singhania,,
1250,Hari Uppal,,
1251,Hari Vinayak Pataskar,,
1252,Haribhau Upadhyaya,,
1253,Haridas Siddhanta Bagish,,
1254,Haridas Thongram,,
1255,Haridwaramangalam A. K. Palanivel,,
1256,Harihar Kripalu Tripathi,,
1257,Hariharan,,
1258,Hariharan Srinivasan,,
1259,Harika Dronavalli,,
1260,Harindranath Chattopadhyay,,
1261,Hariprasad Chaurasia,,
1262,Harischandra Kashnath Karve,,
1263,Harish Chandra Sarin,,
1264,Harish Chandra Singh Rawat,,
1265,Harish Chandra Verma,,
1266,Harish Salve,,
1267,Harish-Chandra,,
1268,Harishankar Parsai,,
1269,Harishchandra Gopal Patil,,
1270,Harivansh Rai Bachchan,,
1271,Harkishan Singh,,
1272,Harnam Das Wahi,,
1273,Haroon Khan Sherwani,,
1274,Harpinder Singh Chawla,,
1275,Harsh Gupta,,
1276,Harsh Kumar,,
1277,Harsh Mahajan,,
1278,Harsh Vardhan Bahuguna,,
1279,Harshavardhan Neotia,,
1280,Harshel Sawi Luaia,,
1281,Harvinder Singh Phoolka,,
1282,Hashmat Ullah Khan,,
1283,Hasmukh Chamanlal Shah,,
1284,Hasmukh Dhirajlal Sankalia,,
1285,Hasmukhbhai Parekh,,
1286,Hassan Nasiem Siddiquie,,
1287,Hazari Prasad Dwivedi,,
1288,Heinrich von Stietencron,,
1289,Heisnam Kanhailal,,
1290,Helen,,
1291,Helen Giri,,
1292,Hema Bharali,,
1293,Hema Malini,"In 1999, Malini campaigned for the Bharatiya Janata Party (BJP) candidate, Vinod Khanna, a former Bollywood actor, in the Lok Sabha Elections in Gurdaspur, Punjab. In February 2004, Malini officially joined the BJP. From 2003 to 2009, she served as an MP to the upper house – the Rajya Sabha, having been nominated by the then President of India, Dr. A.P.J. Abdul Kalam. In March 2010, Malini was made general secretary of the BJP, and in February 2011, she was recommended by Ananth Kumar, the party general secretary. In the 2014 general elections for the Lok Sabha, Malini defeated the Mathura incumbent, Jayant Chaudhary (RLD) by 3,30,743 votes. Malini was then elected to the Lok Sabha","1999లో, పంజాబ్లోని గురుదాస్పూర్లో లోక్సభ ఎన్నికల్లో భారతీయ జనతా పార్టీ (బిజెపి) అభ్యర్థి వినోద్ ఖన్నా, మాజీ బాలీవుడ్ నటుడు, మాలిని తరపున ప్రచారం చేశారు. ఫిబ్రవరి 2004లో, మాలిని అధికారికంగా బిజెపిలో చేరారు. 2003 నుండి 2009 వరకు, ఈమె ఎగువ సభకు - రాజ్యసభకు ఎంపీగా పనిచేశారు, అప్పటి భారత రాష్ట్రపతి డాక్టర్చే నామినేట్ చేయబడింది. ఎ. పి. జె. అబ్దుల్ కలాం |. మార్చి 2010లో, మాలిని బీజేపీ ప్రధాన కార్యదర్శిగా నియమితులయ్యారు, ఫిబ్రవరి 2011లో పార్టీ ప్రధాన కార్యదర్శి అనంత్ కుమార్ ఈమెను సిఫార్సు చేశారు. 2014 లోక్సభ సార్వత్రిక ఎన్నికల్లో మధుర అధికార అభ్యర్థి జయంత్ చౌదరి (ఆర్ఎల్డి)పై మాలిని 3, 30, 743 ఓట్ల తేడాతో విజయం సాధించారు. ఆ తర్వాత మాలిని లోక్సభకు ఎన్నికయ్యారు. "
1294,Hemendra Prasad Barooah,,
1295,Hemendra Singh Panwar,,
1296,Hemi Bawa,,
1297,Hemlata Gupta,,
1298,Henning Holck-Larsen,,
1299,Herbert Alexandrovich Yefremov,,
1300,Herbert Fischer,,
1301,Hermann Kulke,,
1302,Hermenegild Santapau,,
1303,Hilda Mary Lazarus,,
1304,Hildamit Lepcha,,
1305,Himangshu Mohan Choudhury,,
1306,Himanshu Kumar Banerjee,,
1307,Himmata Ram Bhambhu,,
1308,Hira Lall Sibal,,
1309,Hirabai Barodekar,,
1310,Hiralal Yadav,,
1311,Hirebettu Sadananda Kamath,,
1312,Hirendranath Mukherjee,,
1313,Hisam-ud-din Usta,,
1314,Homai Vyarawalla,,
1315,Homi Cawas Sethnas,,
1316,Homi J. H. Taleyarkhan,,
1317,Homi Jehangir Bhabha,,
1318,Homi K. Bhabha,,
1319,Homi Nusserwanji Sethna,,
1320,Homi Sethna,,
1321,Horace Alexander,,
1322,Hormasji Maneckji Seervai,,
1323,Hormazdiar Jamshedi Muncherji Desai,,
1324,Hosagrahar Chandrashekhariah Visvesvaraya,,
1325,Hosei Norota,,
1326,Hosur Narasimhaiah,,
1327,Hrangaia,,
1328,Hridaynath Mangeshkar,,
1329,Hrishikesh Mukherjee,,
1330,Huang Baosheng,,
1331,Hui Lan Zhang,,
1332,Hukmdev Narayan Yadav,,
1333,Hukumchand Patidar,,
1334,Humayun Mirza,,
1335,Humpy Koneru,,
1336,Hun Many,,
1337,Hundraj Lial Ram Dukhayal Manik,,
1338,Hussain Ahmad Madani,,
1339,I Nyoman Nuarta,,
1340,I. G. Patel,,
1341,I. V. Subba Rao,,
1342,Ibrahim Sutar,,
1343,Ignace Tirkey,,
1344,Ijwant Singh,,
1345,Ilaiyaraaja,,
1346,Ileana Citaristi,,
1347,Illias Ali,,
1348,Imitiaz Qureshi,,
1349,Immaneni Sathyamurthy,,
1350,Imran Shah,,
1351,Inder Mohan,,
1352,Inder Sharma,,
1353,Inderjit Kaur Barthakur,,
1354,Inderjit Singh Gill,,
1355,Indira Chakravarty,,
1356,Indira Hinduja,,
1357,Indira Jaising,,
1358,Indira Miri,,
1359,Indira Nath,,
1360,Indira P. P. Bora,,
1361,Indra Dassanayake,,
1362,Indra Kumar Gupta,,
1363,Indra Nooyi,,
1364,Indrani Rahman,,
1365,Indu Bhushan Sinha,,
1366,Indu Jain,,
1367,Indumati Chimanlal Sheth,,
1368,Iravatham Mahadevan,,
1369,Irfan Habib,,
1370,Irrfan Khan,,
1371,Irshad Mirza,,
1372,Irwin Allan Sealy,,
1373,Isaac Santra,,
1374,Isher Judge Ahluwalia,,
1375,Ishrat Ali Siddiqui,,
1376,Ishwar Chandra Gupta,,
1377,Ishwarbhai Jivaram Patel,,
1378,Ishwari Prasad,,
1379,Ismail Ahmed Cachalia,,
1380,Ismail Merchant,,
1381,Ismat Chughtai,,
1382,Ismaïl Omar Guelleh,,
1383,Ivy Khan,,
1384,Iyyanki Venkata Ramanayya,,
1385,J. A. K. Tareen,,
1386,J. Hareendran Nair,,
1387,J. L. Kaul,,
1388,J. Malsawma,,
1389,J. N. Chaudhry,,
1390,J. N. Saksena,,
1391,J. R. D. Tata,,
1392,J. R. Gangaramani,,
1393,J. S. Grewal,,
1394,J. S. Guleria,,
1395,J. S. Mahashabde,,
1396,J. S. Rajput,,
1397,J. S. Titiyal,,
1398,Jabbar Patel,,
1399,Jack Gibson,,
1400,Jacob Chandy,,
1401,Jacob Cherian,,
1402,Jacques Blamont,,
1403,Jadav Payeng,,
1404,Jadeng Buana,,
1405,Jadunath Supakar,,
1406,Jafar Ali Khan,,
1407,Jag Parvesh Chandra,,
1408,Jagadish Chandra Halder,,
1409,Jagadish Shukla,,
1410,Jagan Nath Kaul,,
1411,Jagannath Krishna Kate,,
1412,Jagat Ram,,
1413,Jagat Singh Mehta,,
1414,Jagdamba Devi,,
1415,Jagdish Bhagwati,,
1416,Jagdish Chandra Kapur,,
1417,Jagdish Chandra Mittal,,
1418,Jagdish Chaturvedi,,
1419,Jagdish Chaudhary,,
1420,Jagdish Kashibhai Patel,,
1421,Jagdish Lal,,
1422,Jagdish Lal Ahuja,,
1423,Jagdish Mitra Pahwa,,
1424,Jagdish Prasad Parikh,,
1425,Jagdish Prasad Singh,,
1426,Jagdish Sheth,,
1427,Jaggayya,"Jaggayya was active in politics right from his student days and was allied with the socialist group within the Congress party. When the group was disbanded, he joined Jayaprakash Narayan's Praja Socialist Party, but returned to Congress in 1956, heeding the call of Jawaharlal Nehru. In 1967, he was elected as a member of the fourth Lok Sabha, the lower house of the Parliament of India from the constituency of Ongole on a Congress Party ticket. He was the first Indian film actor to be elected as a member of parliament.","జగ్గయ్య తన విద్యార్థి దశ నుండి రాజకీయాల్లో చురుకుగా ఉన్నారు, కాంగ్రెస్ పార్టీలోని సోషలిస్ట్ గ్రూపుతో పొత్తు పెట్టుకున్నారు. సమూహం రద్దు చేయబడినప్పుడు, ఇతను జయప్రకాష్ నారాయణ్, ప్రజా సోషలిస్ట్ పార్టీలో చేరాడు, అయితే 1956లో జవహర్లాల్ నెహ్రూ పిలుపు మేరకు తిరిగి కాంగ్రెస్లోకి వచ్చాడు. 1967లో, ఇతను కాంగ్రెస్ పార్టీ టిక్కెట్పై ఒంగోలు నియోజకవర్గం నుండి భారత పార్లమెంటు దిగువ సభ అయిన నాల్గవ లోక్సభ సభ్యునిగా ఎన్నికయ్యాడు. పార్లమెంటు సభ్యునిగా ఎన్నికైన తొలి భారతీయ సినీ నటుడు. "
1428,Jaggi Vasudev,,
1429,Jagjit Singh,,
1430,Jagjit Singh Aurora,,
1431,Jagjit Singh Chopra,,
1432,Jagjit Singh Hara,,
1433,Jagmohan,,
1434,Jagmohan Lal Karoli,,
1435,Jagmohan Sursagar,,
1436,Jahnu Barua,,
1437,Jai Bhagwan Chaudhary,,
1438,Jai Bhagwan Goyal,,
1439,Jai Hormusjee Vakil,,
1440,Jai Krishna,,
1441,Jai Pal Mittal,,
1442,Jai Pal Singh,,
1443,Jai Prakash Agarwal,,
1444,Jai Prakash Lekhiwal,,
1445,Jai Rattan Bhalla,,
1446,Jai Singh Pal Yadav,,
1447,Jaikishan Dahyabhai Panchal,,
1448,Jainendra Kumar Jain,,
1449,Jaishankar Bhojak,,
1450,Jaiveer Agarwal,,
1451,Jal Gawashaw Paymaster,,
1452,Jal Minocher Mehta,,
1453,Jal R. Patel,,
1454,Jalakantapuram Ramaswamy Krishnamoorthy,,
1455,Jaman Lal Sharma,,
1456,Jamesh Dokhuma,,
1457,Jamini Roy,,
1458,Jamshed Jiji Irani,,
1459,Jamshed Vazifdar,,
1460,Jamshyd Godrej,,
1461,Jamuna Tudu,,
1462,Janak Palta McGilligan,,
1463,Janaki Ammal,,
1464,Janaky Athi Nahappan,,
1465,Jankibai Bajaj,,
1466,Jasbir Singh Bajaj,,
1467,Jasdev Singh,,
1468,Jashbhai Shankarbhaiu Patel,,
1469,Jasjit Singh,,
1470,Jaspal Bhatti,,
1471,Jaspal Rana,"Shortly after the Asian Games, Rana entered into the realm of politics. He was then a member of the ruling party, Bhartiya Janta Party and contested in Lok Sabha elections from Tehri. In the 2009 Lok Sabha Elections he lost to Vijay Bahuguna of Congress. Later in the year 2012, he joined INC and is presently an active member of the party in Uttarakhand.","ఆసియా క్రీడల తర్వాత రానా రాజకీయ రంగ ప్రవేశం చేశాడు. ఇతను అప్పుడు అధికార పార్టీ, భారతీయ జనతా పార్టీ సభ్యుడు, తెహ్రీ నుండి లోక్సభ ఎన్నికలలో పోటీ చేశాడు. 2009 లోక్సభ ఎన్నికల్లో కాంగ్రెస్ అభ్యర్థి విజయ్ బహుగుణ చేతిలో ఓడిపోయారు. తరువాత 2012 సంవత్సరంలో, ఇతను INCలో చేరాడు, ప్రస్తుతం ఉత్తరాఖండ్లో పార్టీలో క్రియాశీల సభ్యునిగా ఉన్నారు. "
1472,Jasraj,,
1473,Jasraj Motiram,,
1474,Jasu Patel,,
1475,Jaswantrai Jayantilal Anjaria,,
1476,Jatin Das,,
1477,Jatin Goswami,,
1478,Jatindra Mohan Dutta,,
1479,Jatish Chandra Bhattacharyya,,
1480,Javare Gowda,,
1481,Javed Ahmed Tak,,
1482,Javed Akhtar,,
1483,Jawahar Lal Kaul,,
1484,Jawahar Wattal,,
1485,Jaya Arunachalam,,
1486,Jaya Bachchan,,
1487,Jayakanthan,,
1488,Jayakumari Chikkala,,
1489,Jayalakhshmi K. S.,,
1490,Jayant Narlikar,,
1491,Jayant Pandurang Naik,,
1492,Jayanta Kumar Ghosh,,
1493,Jayanta Mahapatra,,
1494,Jayantha Kumar Bagchi,,
1495,Jayanto Nath Chaudhuri,,
1496,Jayaram,,
1497,Jayaraman Gowrishankar,,
1498,Jaymala Shiledar,,
1499,Jeahangir Ghandy,,
1500,Jean Riboud,,
1501,Jean-Claude Carrière,,
1502,Jeelani Bano,,
1503,Jeev Milkha Singh,,
1504,Jeffrey Sachs,,
1505,Jehangir Sabavala,,
1506,Jehangir Shapurji Bhownagary,,
1507,Jerusha Jhirad,,
1508,Jhabarmal Sharma,,
1509,Jharna Dhara Chowdhury,,
1510,Jhulan Goswami,,
1511,Ji Xianlin,,
1512,Jigme Dorji Wangchuck,,
1513,Jinvijay,,
1514,Jitender Singh Shunty,,
1515,Jitendra Abhisheki,,
1516,Jitendra Haripal,,
1517,Jitendra Kumar Singh,,
1518,Jitendra Mohan Hans,,
1519,Jitendra Nath Goswami,,
1520,Jitendra Udhampuri,,
1521,Jitu Rai,,
1522,Jivanlal Moti Lal Thakore,,
1523,Jivraj Narayan Mehta,"''' Doctor of Mahatma Gandhi '''
He was briefly the personal doctor to Mahatma Gandhi after returning to India and joined the independence movement.He was twice incarcerated (1938 and 1942) by the British government for his role in Gandhi's Satyagraha movement. After independence in 1947, he held various public offices. He served as the first ""Dewan"" (Prime Minister) of the erstwhile Baroda state in free India sworn-in on 4 September 1948, director general of health services and secretary to the ministry of health in the central government during the partition period, minister of public works, finance, industry and prohibition for the then Bombay state.


''' Chief minister '''
He was the first chief minister of the newly formed Gujarat state from April 1960 to September 1963. Later he also served as the Indian high commissioner to the United Kingdom from 1963 to 1966.","''' డాక్టర్ ఆఫ్ మహాత్మా గాంధీ '''ఇతను భారతదేశానికి తిరిగి వచ్చిన తర్వాత, స్వాతంత్ర్య ఉద్యమంలో చేరిన తర్వాత మహాత్మా గాంధీకి కొంతకాలం వ్యక్తిగత వైద్యుడు. గాంధీ సత్యాగ్రహ ఉద్యమంలో అతని పాత్రకు బ్రిటిష్ ప్రభుత్వం రెండుసార్లు (1938, 1942) నిర్బంధించబడ్డాడు. 1947లో స్వాతంత్ర్యం వచ్చిన తరువాత, ఇతను వివిధ ప్రభుత్వ కార్యాలయాలను నిర్వహించాడు. ఇతను స్వేచ్ఛా భారతదేశంలోని పూర్వ బరోడా రాష్ట్రానికి మొదటి ""దివాన్"" (ప్రధానమంత్రి) గా 4 సెప్టెంబర్ 1948న ప్రమాణ స్వీకారం చేశారు, ఆరోగ్య సేవల డైరెక్టర్ జనరల్, విభజన కాలంలో కేంద్ర ప్రభుత్వంలో ఆరోగ్య మంత్రిత్వ శాఖ కార్యదర్శి, మంత్రి పబ్లిక్ వర్క్స్, ఫైనాన్స్, ఇండస్ట్రీ, అప్పటి బొంబాయి రాష్ట్రానికి నిషేధం. '''ముఖ్యమంత్రి '''ఆయన కొత్తగా ఏర్పడిన గుజరాత్ రాష్ట్రానికి ఏప్రిల్ 1960 నుండి సెప్టెంబర్ 1963 వరకు మొదటి ముఖ్యమంత్రి. తరువాత ఇతను 1963 నుండి 1966 వరకు యునైటెడ్ కింగ్డమ్కు భారతీయ హైకమిషనర్గా కూడా పనిచేశాడు. "
1524,Jivya Soma Mashe,,
1525,Jiwan Lal Jairamdas,,
1526,Jiwan Singh Umranangal,,
1527,Jnan Chandra Ghosh,,
1528,Jnan Prakash Ghosh,,
1529,Jnanendra Nath Mukherjee,,
1530,Jockin Arputham,,
1531,Jodh Singh,,
1532,Jogendra Nath Phukan,,
1533,Jogesh Chandra Banerjee,,
1534,Jogesh Chandra De,,
1535,Jogesh Pati,,
1536,Joginder Paul Birdi,,
1537,Joginder Singh,,
1538,Joginder Singh Dhillon,,
1539,Jogindra Lal Gupta,,
1540,John Arthur King Martyn,,
1541,John Ebnezar,,
1542,John Kenneth Galbraith,,
1543,John Martin Nelson,,
1544,John Mathai,,
1545,John Ralston Marr,,
1546,John Richardson (bishop of Car Nicobar),,
1547,John T. Chambers,,
1548,Jonnalagadda Gurappa Chetty,,
1549,Joravarsinh Jadav,,
1550,Jose Chacko Periappuram,,
1551,Jose Ma Joey Concepcion III,,
1552,Joseph Allen Stein,,
1553,Joseph Durai Raj,,
1554,Joseph H. Hulse,,
1555,Joseph H. Pereira,,
1556,Joseph Harold,,
1557,Josh Malihabadi,,
1558,Josh Malsiyani,,
1559,José Pereira,,
1560,Jothi Venkatachalam,,
1561,Joy Michael,,
1562,Joyasree Goswami Mahanta,,
1563,Jugal Kishore,,
1564,Jugal Kishore Choudhury,,
1565,Julio Ribeiro,,
1566,Julius Silverman,,
1567,Juthika Roy,,
1568,Jyeshtharaj Joshi,,
1569,Jyoti Bhatt,,
1570,Jyoti Bhushan Banerji,,
1571,Jyoti Kumar Sinha,,
1572,Jyotindra Nath Dixit,,
1573,Jyotirmoyee Sikdar,,
1574,Jyotish Chandra Ray,,
1575,K K Ramachandra Pulavar,,
1576,K Kesavasamy,,
1577,K. A. Abraham,,
1578,K. A. Nilakanta Sastri,,
1579,K. Asungba Sangtam,,
1580,K. B. Lall,,
1581,K. B. Sundarambal,,
1582,K. Balachander,,
1583,K. C. Banerjee,,
1584,K. C. Johorey,,
1585,K. C. Reddy,,
1586,K. C. Sengupta,,
1587,K. C. Sivasankaran,,
1588,K. Covilagam Kutti Ettan Raja,,
1589,K. G. Jayan,,
1590,K. G. Ramanathan,,
1591,K. G. Subramanyan,,
1592,K. I. Varaprasad Reddy,,
1593,K. Ibomcha Sharma,,
1594,K. J. Yesudas,,
1595,K. K. Aggarwal,,
1596,K. K. Muhammed,,
1597,K. K. Talwar,,
1598,K. K. Venugopal,,
1599,K. Kripal Singh,,
1600,K. M. Beenamol,,
1601,K. M. Cherian,,
1602,K. M. Cherian (journalist),,
1603,K. M. George,,
1604,K. M. Mammen Mappillai,,
1605,K. M. Mathew,,
1606,K. N. Dandayudhapani Pillai,,
1607,K. N. Raj,,
1608,K. N. Shankara,,
1609,K. Narayanan,,
1610,K. P. Haridas,,
1611,K. P. Kesava Menon,,
1612,K. P. Mathur,,
1613,K. P. P. Nambiar,,
1614,K. P. Saxena,,
1615,K. P. Udayabhanu,,
1616,K. Paddayya,,
1617,K. Padmanabhaiah,,
1618,K. Parasaran,,
1619,K. R. Chakravorty,,
1620,K. R. Palaniswamy,,
1621,K. R. Ramanathan,,
1622,K. Radhakrishnan,,
1623,K. Raghavan,,
1624,K. S. Chandrasekharan,,
1625,K. S. Chithra,,
1626,K. S. Narayanaswamy,,
1627,K. S. Nissar Ahmed,,
1628,K. Sankaran Nair,,
1629,K. Shankar Pillai,,
1630,K. Shivaram Karanth,,
1631,K. Srinath Reddy,,
1632,K. Sukumaran,,
1633,K. T. Dholakia,,
1634,K. T. Thomas,,
1635,K. Ullas Karanth,,
1636,K. V. Kamath,,
1637,K. V. Narayanaswamy,,
1638,K. V. S. J. Peter,,
1639,K. V. Sampath Kumar,,
1640,K. Vardachari Thiruvengadam,,
1641,K. Venkatalakshamma,,
1642,K. Venkataraman,,
1643,K. VijayRaghavan,,
1644,K. Viswanath,,
1645,K. Y. Venkatesh,,
1646,K.S.A. Khader Ghulam Mohideen,,
1647,Kader Khan,,
1648,Kadiyala Ramachandra,,
1649,Kadri Gopalnath,,
1650,Kaifi Azmi,,
1651,Kaikhushru Ruttonji Shroff,,
1652,Kailas Nath Kaul,,
1653,Kailasam Raghavendra Rao,,
1654,Kailash Chand,,
1655,Kailash Chandra Agrawal,,
1656,Kailash Chandra Meher,,
1657,Kailash Kher,,
1658,Kailash Madbaiya,,
1659,Kailash Sankhala,,
1660,Kaithapram Damodaran Namboothiri,,
1661,Kajol,,
1662,Kaka Hathrasi,,
1663,Kakarla Subba Rao,,
1664,Kalabati Devi,,
1665,Kalamandalam Gopi,,
1666,Kalamandalam Krishnan Nair,,
1667,Kalamandalam Kshemavathy,,
1668,Kalamandalam Satyabhama,,
1669,Kalamandalam Sivan Namboodiri,,
1670,Kalanidhi Narayanan,,
1671,Kalbe Sadiq,,
1672,Kalee Shabi Mahaboob,,
1673,Kaleem Ullah Khan,,
1674,Kalidas Gupta Riza,,
1675,Kalim Aajiz,,
1676,Kalindi Charan Panigrahi,,
1677,Kallam Anji Reddy,,
1678,Kallur Subba Rao,,
1679,Kalluri Gopal Rao,,
1680,Kaloji Narayana Rao,,
1681,Kalpana Saroj,,
1682,Kalpathy Ram Iyer Doraiswamy,,
1683,Kalu Lal Shrimali,,
1684,Kalyan Banerjee,,
1685,Kalyan Dev,,
1686,Kalyan Singh Gupta,,
1687,Kalyan Singh Rawat,,
1688,Kalyan Sundaram,,
1689,Kalyanam Raghuramaiah,,
1690,Kalyanji Virji Shah,,
1691,Kalyanji Vithalbhai Mehta,,
1692,Kamal Haasan,"He formed the centrist party Makkal Needhi Maiam (MNM), a regional political party in Tamil Nadu. He formally announced the party's formation on 21 February 2018 in Madurai. The party's flag displays six joined hands in a circle in alternate red and white colours with a white star at its centre in a black background. Haasan began his political journey from late President A. P. J. Abdul Kalam’s residence and his memorial at Rameswaram. His party contested in 37 seats in 2019 Indian general election and lost. Makkal Needhi Maiam's vote share in the 2019 Lok Sabha election was 3.72% (in the seats it contested)","He formed the centrist party Makkal Needhi Maiam (MNM), a regional political party in Tamil Nadu. 2018 ఫిబ్రవరి 21న మదురైలో ఆయన పార్టీ ఏర్పాటును అధికారికంగా ప్రకటించారు. పార్టీ జెండా నలుపు నేపథ్యంలో దాని మధ్యలో తెల్లటి నక్షత్రంతో ప్రత్యామ్నాయ ఎరుపు, తెలుపు రంగులలో వృత్తాకారంలో ఆరు చేతులు జోడించబడి ఉంటుంది. హాసన్ తన రాజకీయ ప్రయాణాన్ని దివంగత రాష్ట్రపతి నుండి ప్రారంభించారు. పి. జె. అబ్దుల్ కలాం నివాసం, రామేశ్వరంలో ఆయన స్మారకం. 2019 భారత సార్వత్రిక ఎన్నికల్లో ఆయన పార్టీ 37 స్థానాల్లో పోటీ చేసి ఓడిపోయింది. 2019 లోక్సభ ఎన్నికల్లో మక్కల్ నీది మయ్యమ్ ఓట్ల శాతం 3. 72% (పోటీ చేసిన సీట్లలో). "
1693,Kamal Krishna Sinha,,
1694,Kamal Kumar Sethi,,
1695,Kamal Manti Naskar,,
1696,Kamal Ranadive,,
1697,Kamala Pujhari,,
1698,Kamalabai Hospet,,
1699,Kamaladevi Chattopadhyay,,
1700,Kamalendumati Shah,,
1701,Kamaljit Sandhu,,
1702,Kamaljit Singh Paul,,
1703,Kameshwar Brahma,,
1704,Kameshwar Prasad,,
1705,Kamini A. Rao,,
1706,Kamleshwar,,
1707,Kanak Rele,,
1708,Kanaka Raju,,
1709,Kanaka Srinivasan,,
1710,Kandathil Mammen Philip,,
1711,Kangana Ranaut,,
1712,Kanhai Chitrakar,,
1713,Kanhaiya Lal Nandan,,
1714,Kanhaiyalal Sethia,,
1715,Kanhaya Lal Pokhriyal,,
1716,Kanhiyalal Prabhakar Mishra,,
1717,Kanika Banerjee,,
1718,Kankanhalli Vasudevachary,,
1719,Kanta Saroop Krishen,,
1720,Kanta Tyagi,,
1721,Kantibhai Baldevbhai Patel,,
1722,Kantilal Hastimal Sancheti,,
1723,Kanubhai Hasmukhbhai Tailor,,
1724,Kanuri Lakshmana Rao,"He was elected as a member of parliament from Vijayawada constituency for the first time in 1961. He was elected as member of parliament three times from the Vijayawada constituency. On 20 July 1963, Rao was sworn in as a minister for Irrigation and Electricity in the union government. Under his regime as union minister for water resources, Rao designed many irrigation and hydro-electric projects. Nagarjuna Sagar Dam, the world's longest masonry dam on River Krishna in Guntur district of Andhra Pradesh and Nalgonda District of Telangana is to his credit. Rao worked as union minister in Jawahar Lal Nehru, Lal Bahadur Sastry and Indira Gandhi's cabinet.","1961లో తొలిసారిగా విజయవాడ నియోజకవర్గం నుంచి పార్లమెంటు సభ్యునిగా ఎన్నికయ్యారు. విజయవాడ నియోజకవర్గం నుంచి మూడుసార్లు పార్లమెంటు సభ్యుడిగా ఎన్నికయ్యారు. 20 జూలై 1963న, రావు కేంద్ర ప్రభుత్వంలో నీటిపారుదల, విద్యుత్ శాఖ మంత్రిగా ప్రమాణ స్వీకారం చేశారు. తన హయాంలో కేంద్ర జలవనరుల శాఖ మంత్రిగా, రావు అనేక నీటిపారుదల, జల-విద్యుత్ ప్రాజెక్టులకు రూపకల్పన చేశారు. ఆంధ్రప్రదేశ్లోని గుంటూరు జిల్లా, తెలంగాణలోని నల్గొండ జిల్లాలో కృష్ణా నదిపై ప్రపంచంలోనే అతి పొడవైన రాతి డ్యామ్ నాగార్జున సాగర్ డ్యామ్ అతని ఘనత. జవహర్ లాల్ నెహ్రూ, లాల్ బహదూర్ శాస్త్రి, ఇందిరా గాంధీ మంత్రివర్గంలో రావు కేంద్ర మంత్రిగా పనిచేశారు. "
1725,Kanwal Sibal,,
1726,Kanwal Singh Chauhan,,
1727,Kanwaljit Singh Bains,,
1728,Kanwar Natwar Singh,"In 1984, after resigning from the Indian Foreign Service, Singh joined the Congress party and was elected to the 8th Lok Sabha from Bharatpur constituency in Rajasthan. In 1985, he was sworn in as a minister of state (who is a minister, but one level below a cabinet minister) and allotted the portfolios of steel, coal and mines, and agriculture. In 1986, he became minister of state for external affairs. In that capacity, he was elected President of the UN Conference on Disarmament and Development held in New York in 1987, and also led the Indian delegation to the 42nd Session of the UN General Assembly.
Singh remained a minister of state for external affairs until the Congress party lost power after being defeated in the general elections of 1989. In those elections, he contested and lost the Mathura seat in Uttar Pradesh. The Congress party returned to power after the elections of 1991, with P.V. Narasimha Rao as Prime Minister since Rajiv Gandhi has lately been assassinated. At this time, Singh was not an MP and could not be a minister","1984లో, ఇండియన్ ఫారిన్ సర్వీస్కు రాజీనామా చేసిన తర్వాత, సింగ్ కాంగ్రెస్ పార్టీలో చేరారు, రాజస్థాన్లోని భరత్పూర్ నియోజకవర్గం నుండి 8వ లోక్సభకు ఎన్నికయ్యారు. 1985లో, ఇతను రాష్ట్ర మంత్రిగా ప్రమాణ స్వీకారం చేసాడు (ఇతను మంత్రి, కానీ క్యాబినెట్ మంత్రి కంటే ఒక స్థాయి తక్కువ), ఉక్కు, బొగ్గు, గనులు, వ్యవసాయ శాఖలను కేటాయించారు. 1986లో ఆయన విదేశాంగ శాఖ సహాయ మంత్రి అయ్యారు. ఆ హోదాలో, ఇతను 1987లో న్యూయార్క్లో జరిగిన UN కాన్ఫరెన్స్ ఆన్ నిరాయుధీకరణ, అభివృద్ధి అధ్యక్షుడిగా ఎన్నికయ్యాడు, UN జనరల్ అసెంబ్లీ, 42వ సెషన్కు భారత ప్రతినిధి బృందానికి కూడా నాయకత్వం వహించాడు. 1989 సార్వత్రిక ఎన్నికల్లో కాంగ్రెస్ పార్టీ ఓడిపోవడంతో అధికారాన్ని కోల్పోయే వరకు సింగ్ విదేశాంగ శాఖ సహాయ మంత్రిగా కొనసాగారు. ఆ ఎన్నికల్లో ఉత్తరప్రదేశ్లోని మధుర స్థానంలో పోటీ చేసి ఓడిపోయారు. 1991 ఎన్నికల తర్వాత కాంగ్రెస్ పార్టీ తిరిగి అధికారంలోకి వచ్చింది, పి. వి. రాజీవ్ గాంధీ హత్యకు గురైనప్పటి నుండి నరసింహారావు ప్రధానమంత్రిగా ఉన్నారు. ఈ సమయంలో, సింగ్ ఎంపీ కాదు, మంత్రి కూడా కాలేదు. "
1729,Kanwar Pal Singh Gill,,
1730,Kanwar Sain,,
1731,Kapil Dev,,
1732,Kapil Deva Dvivedi,,
