,Recipients,recognition,recognition Telugu
1183,Guru Kunchu Kurup,,
1184,Guru Maa Kamali Soren,,
1185,Gurudas Mal,,
1186,Gurumayum Gourakishor Sharma,,
1187,Gury Marchuk,,
1188,Gyan Chand Jain,,
1189,Gyan Chandra Mishra,,
1190,Gyan Chaturvedi,,
1191,Gyan Singh,,
1192,Gyanesh Chandra Chatterjee,,
1193,H. Boniface Prabhu,,
1194,H. D. Shourie,,
1195,H. Govindrao Srinivasa Murthy,,
1196,H. K. Dua,,
1197,H. Kusum Sayani,,
1198,H. M. Desai,,
1199,H. P. S. Ahluwalia,,
1200,H. R. Nagendra,,
1201,H. R. Shah,,
1202,H. Thegtse Rinpoche,,
1203,H. V. R. Iyengar,,
1204,H. Y. Sharada Prasad,,
1205,Habib Rahman,,
1206,Habib Tanvir,,
1207,Habibullo Rajabov,,
1208,Habibur Rahman,,
1209,Hafeez Ahmed Khan,,
1210,Hafeez Contractor,,
1211,Hafiz Ali Khan,,
1212,Hafiz Mohamad Ibrahim,,
1213,Hakam Singh,,
1214,Hakim Abdul Hameed,,
1215,Hakim Syed Khaleefathullah,,
1216,Hakim Syed Zillur Rahman,,
1217,Haku Shah,,
1218,Haldhar Nag,,
1219,Hamidi Kashmiri,,
1220,Hamlet Bareh,,
1221,Hanamant Narhar 'Sudhanshu' Joshi,,
1222,Handel Manuel,,
1223,Hans Raj Hans,,
1224,Hans Raj Khanna,,
1225,Hansa Jivraj Mehta,,
1226,Hanumanbax Kanoi,,
1227,Hanumappa Sudarshan,,
1228,Haobam Ongbi Ngangbi Devi,,
1229,Har Gobind Khorana,,
1230,Har Krishna Lal Sethi,,
1231,Har Mander Singh,,
1232,Harbaksh Singh,,
1233,Harbans Singh Jolly,,
1234,Harbans Singh Wasir,,
1235,Harbhajan Singh,,
1236,Harbhajan Singh (mountaineer),,
1237,Harbhajan Singh Rissam,,
1238,Harbhajan Sinha,,
1239,Harekala Hajabba,,
1240,Hargovind Laxmishanker Trivedi,"Trivedi was a Fellow of the Royal College of Physicians of Canada (FRCP(C)). In 2006, the Institute of Transplantation Sciences was renamed Dr. H. L. Trivedi Institute of Transplantation Sciences in his honour. He was awarded an honorary Doctor of Science (D. Sc.) degree by King George's Medical University in 2009. He was felicitated as a Nagar Ratna by Ahmedabad Municipal Corporation in 2014.He was honoured by the Government of India in 2015 with the Padma Shri, the fourth highest Indian civilian award","త్రివేది రాయల్ కాలేజ్ ఆఫ్ ఫిజిషియన్స్ ఆఫ్ కెనడా (FRCP(C))కి సహచరుడు. 2006లో, ఇన్స్టిట్యూట్ ఆఫ్ ట్రాన్స్ప్లాంటేషన్ సైన్సెస్ పేరును డా. హెచ్. ఎల్. అతని గౌరవార్థం త్రివేది ఇన్స్టిట్యూట్ ఆఫ్ ట్రాన్స్ప్లాంటేషన్ సైన్సెస్. అతనికి గౌరవ డాక్టర్ ఆఫ్ సైన్స్ (డి. Sc. 2009లో కింగ్ జార్జ్ మెడికల్ యూనివర్సిటీ ద్వారా డిగ్రీ. 2014లో అహ్మదాబాద్ మునిసిపల్ కార్పొరేషన్ ఆయనను నాగరత్నగా సత్కరించింది. నాల్గవ అత్యున్నత భారతీయ పౌర పురస్కారమైన పద్మశ్రీతో 2015లో భారత ప్రభుత్వం ఆయనను సత్కరించింది. "
1241,Hari Chand Dewan,,
1242,Hari Govindrao Vartak,,
1243,Hari Kant Dang,,
1244,Hari Krishan Jain,,
1245,Hari Krishan Wattal,,
1246,Hari Narain,,
1247,Hari Prasad Jaiswal,,
1248,Hari Shankar Sharma,,
1249,Hari Shankar Singhania,,
1250,Hari Uppal,,
1251,Hari Vinayak Pataskar,,
1252,Haribhau Upadhyaya,,
1253,Haridas Siddhanta Bagish,,
1254,Haridas Thongram,,
1255,Haridwaramangalam A. K. Palanivel,,
1256,Harihar Kripalu Tripathi,,
1257,Hariharan,,
1258,Hariharan Srinivasan,,
1259,Harika Dronavalli,,
1260,Harindranath Chattopadhyay,,
1261,Hariprasad Chaurasia,,
1262,Harischandra Kashnath Karve,,
1263,Harish Chandra Sarin,,
1264,Harish Chandra Singh Rawat,,
1265,Harish Chandra Verma,,
1266,Harish Salve,,
1267,Harish-Chandra,,
1268,Harishankar Parsai,,
1269,Harishchandra Gopal Patil,,
1270,Harivansh Rai Bachchan,,
1271,Harkishan Singh,,
1272,Harnam Das Wahi,,
1273,Haroon Khan Sherwani,,
1274,Harpinder Singh Chawla,,
1275,Harsh Gupta,,
1276,Harsh Kumar,,
1277,Harsh Mahajan,,
1278,Harsh Vardhan Bahuguna,,
1279,Harshavardhan Neotia,,
1280,Harshel Sawi Luaia,,
1281,Harvinder Singh Phoolka,,
1282,Hashmat Ullah Khan,,
1283,Hasmukh Chamanlal Shah,,
1284,Hasmukh Dhirajlal Sankalia,,
1285,Hasmukhbhai Parekh,,
1286,Hassan Nasiem Siddiquie,,
1287,Hazari Prasad Dwivedi,,
1288,Heinrich von Stietencron,,
1289,Heisnam Kanhailal,,
1290,Helen,,
1291,Helen Giri,,
1292,Hema Bharali,,
1293,Hema Malini,,
1294,Hemendra Prasad Barooah,,
1295,Hemendra Singh Panwar,,
1296,Hemi Bawa,,
1297,Hemlata Gupta,,
1298,Henning Holck-Larsen,,
1299,Herbert Alexandrovich Yefremov,,
1300,Herbert Fischer,,
1301,Hermann Kulke,,
1302,Hermenegild Santapau,,
1303,Hilda Mary Lazarus,,
1304,Hildamit Lepcha,,
1305,Himangshu Mohan Choudhury,,
1306,Himanshu Kumar Banerjee,,
1307,Himmata Ram Bhambhu,,
1308,Hira Lall Sibal,,
1309,Hirabai Barodekar,,
1310,Hiralal Yadav,,
1311,Hirebettu Sadananda Kamath,,
1312,Hirendranath Mukherjee,,
1313,Hisam-ud-din Usta,,
1314,Homai Vyarawalla,,
1315,Homi Cawas Sethnas,,
1316,Homi J. H. Taleyarkhan,,
1317,Homi Jehangir Bhabha,,
1318,Homi K. Bhabha,,
1319,Homi Nusserwanji Sethna,,
1320,Homi Sethna,,
1321,Horace Alexander,,
1322,Hormasji Maneckji Seervai,,
1323,Hormazdiar Jamshedi Muncherji Desai,,
1324,Hosagrahar Chandrashekhariah Visvesvaraya,,
1325,Hosei Norota,,
1326,Hosur Narasimhaiah,,
1327,Hrangaia,,
1328,Hridaynath Mangeshkar,,
1329,Hrishikesh Mukherjee,,
1330,Huang Baosheng,,
1331,Hui Lan Zhang,,
1332,Hukmdev Narayan Yadav,,
1333,Hukumchand Patidar,,
1334,Humayun Mirza,,
1335,Humpy Koneru,,
1336,Hun Many,,
1337,Hundraj Lial Ram Dukhayal Manik,,
1338,Hussain Ahmad Madani,,
1339,I Nyoman Nuarta,,
1340,I. G. Patel,,
1341,I. V. Subba Rao,,
1342,Ibrahim Sutar,,
1343,Ignace Tirkey,,
1344,Ijwant Singh,,
1345,Ilaiyaraaja,,
1346,Ileana Citaristi,,
1347,Illias Ali,,
1348,Imitiaz Qureshi,,
1349,Immaneni Sathyamurthy,,
1350,Imran Shah,,
1351,Inder Mohan,,
1352,Inder Sharma,,
1353,Inderjit Kaur Barthakur,,
1354,Inderjit Singh Gill,,
1355,Indira Chakravarty,,
1356,Indira Hinduja,,
1357,Indira Jaising,,
1358,Indira Miri,,
1359,Indira Nath,,
1360,Indira P. P. Bora,,
1361,Indra Dassanayake,,
1362,Indra Kumar Gupta,,
1363,Indra Nooyi,,
1364,Indrani Rahman,,
1365,Indu Bhushan Sinha,,
1366,Indu Jain,,
1367,Indumati Chimanlal Sheth,,
1368,Iravatham Mahadevan,,
1369,Irfan Habib,,
1370,Irrfan Khan,,
1371,Irshad Mirza,,
1372,Irwin Allan Sealy,,
1373,Isaac Santra,,
1374,Isher Judge Ahluwalia,,
1375,Ishrat Ali Siddiqui,,
1376,Ishwar Chandra Gupta,,
1377,Ishwarbhai Jivaram Patel,,
1378,Ishwari Prasad,,
1379,Ismail Ahmed Cachalia,,
1380,Ismail Merchant,,
1381,Ismat Chughtai,,
1382,Ismaïl Omar Guelleh,,
1383,Ivy Khan,,
1384,Iyyanki Venkata Ramanayya,,
1385,J. A. K. Tareen,,
1386,J. Hareendran Nair,,
1387,J. L. Kaul,,
1388,J. Malsawma,,
1389,J. N. Chaudhry,,
1390,J. N. Saksena,,
1391,J. R. D. Tata,,
1392,J. R. Gangaramani,,
1393,J. S. Grewal,,
1394,J. S. Guleria,,
1395,J. S. Mahashabde,,
1396,J. S. Rajput,,
1397,J. S. Titiyal,,
1398,Jabbar Patel,,
1399,Jack Gibson,,
1400,Jacob Chandy,,
1401,Jacob Cherian,,
1402,Jacques Blamont,,
1403,Jadav Payeng,,
1404,Jadeng Buana,,
1405,Jadunath Supakar,,
1406,Jafar Ali Khan,,
1407,Jag Parvesh Chandra,,
1408,Jagadish Chandra Halder,,
1409,Jagadish Shukla,,
1410,Jagan Nath Kaul,,
1411,Jagannath Krishna Kate,,
1412,Jagat Ram,,
1413,Jagat Singh Mehta,,
1414,Jagdamba Devi,,
1415,Jagdish Bhagwati,,
1416,Jagdish Chandra Kapur,,
1417,Jagdish Chandra Mittal,,
1418,Jagdish Chaturvedi,,
1419,Jagdish Chaudhary,,
1420,Jagdish Kashibhai Patel,,
1421,Jagdish Lal,,
1422,Jagdish Lal Ahuja,"Ahuja was conferred the Padma Shri, fourth highest civilian award of India, in the field of social work on 26 January 2020.",అహుజాకు 26 జనవరి 2020న సామాజిక సేవా రంగంలో భారతదేశపు నాల్గవ అత్యున్నత పౌర పురస్కారం పద్మశ్రీ లభించింది. 
1423,Jagdish Mitra Pahwa,,
1424,Jagdish Prasad Parikh,,
1425,Jagdish Prasad Singh,,
1426,Jagdish Sheth,,
1427,Jaggayya,,
1428,Jaggi Vasudev,,
1429,Jagjit Singh,,
1430,Jagjit Singh Aurora,,
1431,Jagjit Singh Chopra,,
1432,Jagjit Singh Hara,,
1433,Jagmohan,,
1434,Jagmohan Lal Karoli,,
1435,Jagmohan Sursagar,,
1436,Jahnu Barua,,
1437,Jai Bhagwan Chaudhary,,
1438,Jai Bhagwan Goyal,,
1439,Jai Hormusjee Vakil,,
1440,Jai Krishna,,
1441,Jai Pal Mittal,,
1442,Jai Pal Singh,,
1443,Jai Prakash Agarwal,,
1444,Jai Prakash Lekhiwal,,
1445,Jai Rattan Bhalla,,
1446,Jai Singh Pal Yadav,,
1447,Jaikishan Dahyabhai Panchal,,
1448,Jainendra Kumar Jain,,
1449,Jaishankar Bhojak,"He received the Ranjitram Suvarna Chandrak in 1951; which is considered the highest literary award in Gujarati literature. In 1957, the President of India Rajendra Prasad presented him with the highest Indian recognition given to practicing artists - the President's award, now called the Sangeet Natak Akademi award for drama direction. In 1963, he was elected chairman for the Department of Arts at Gujarati Sahitya Parishad. He was felicitated by Gujarat Rajya Sangeet Nrutya Akademi in 1967. He was awarded  Padma Bhushan, the third highest civilian award, by the Government of India in 1971.","ఇతను 1951లో రంజిత్రం సువర్ణ చంద్రక్ను అందుకున్నాడు; ఇది గుజరాతీ సాహిత్యంలో అత్యున్నత సాహిత్య పురస్కారంగా పరిగణించబడుతుంది. 1957లో, భారత రాష్ట్రపతి రాజేంద్ర ప్రసాద్ ఆయనకు అభ్యాస కళాకారులకు ఇచ్చే అత్యున్నత భారతీయ గుర్తింపును అందించారు - రాష్ట్రపతి అవార్డు, ఇప్పుడు నాటక దర్శకత్వం కోసం సంగీత నాటక అకాడమీ అవార్డు అని పిలుస్తారు. 1963లో గుజరాతీ సాహిత్య పరిషత్లో ఆర్ట్స్ విభాగానికి ఛైర్మన్గా ఎన్నికయ్యారు. 1967లో గుజరాత్ రాజ్య సంగీత నృత్య అకాడమీ ఆయనను సత్కరించింది. అతనికి 1971లో భారత ప్రభుత్వంచే పద్మభూషణ్, మూడవ అత్యున్నత పౌర పురస్కారం లభించింది. "
1450,Jaiveer Agarwal,,
1451,Jal Gawashaw Paymaster,,
1452,Jal Minocher Mehta,,
1453,Jal R. Patel,,
1454,Jalakantapuram Ramaswamy Krishnamoorthy,,
1455,Jaman Lal Sharma,,
1456,Jamesh Dokhuma,,
1457,Jamini Roy,,
1458,Jamshed Jiji Irani,,
1459,Jamshed Vazifdar,,
1460,Jamshyd Godrej,,
1461,Jamuna Tudu,,
1462,Janak Palta McGilligan,"The Government of India in 2015 awarded her the Padma Shri, the fourth highest Indian civilian award.
SCI Order of Excellence 2016
Green Hero by TERRI (India)2017)
Rajmata Vijaraje Sindhiya Social Service Award by Government of Madhya Pradesh 2008
Manav Seva Award
Sadbhavana Samman
Paryavaran Mitra Puraskar",భారత ప్రభుత్వం 2015లో ఈమెకు నాల్గవ అత్యున్నత భారతీయ పౌర పురస్కారమైన పద్మశ్రీని ప్రదానం చేసింది. SCI ఆర్డర్ ఆఫ్ ఎక్సలెన్స్ 2016 TERRI (ఇండియా) ద్వారా గ్రీన్ హీరో 2017) మధ్యప్రదేశ్ ప్రభుత్వంచే రాజమాత విజరాజే సింధియా సామాజిక సేవా పురస్కారం 2008మానవ్ సేవా అవార్డు సద్భావన సమ్మాన్ పర్యవరణ్ మిత్ర పురస్కారం. 
1463,Janaki Ammal,,
1464,Janaky Athi Nahappan,,
1465,Jankibai Bajaj,,
1466,Jasbir Singh Bajaj,,
1467,Jasdev Singh,,
1468,Jashbhai Shankarbhaiu Patel,,
1469,Jasjit Singh,,
1470,Jaspal Bhatti,,
1471,Jaspal Rana,,
1472,Jasraj,,
1473,Jasraj Motiram,,
1474,Jasu Patel,,
1475,Jaswantrai Jayantilal Anjaria,,
1476,Jatin Das,,
1477,Jatin Goswami,,
1478,Jatindra Mohan Dutta,,
1479,Jatish Chandra Bhattacharyya,,
1480,Javare Gowda,,
1481,Javed Ahmed Tak,,
1482,Javed Akhtar,,
1483,Jawahar Lal Kaul,,
1484,Jawahar Wattal,,
1485,Jaya Arunachalam,,
1486,Jaya Bachchan,,
1487,Jayakanthan,,
1488,Jayakumari Chikkala,,
1489,Jayalakhshmi K. S.,,
1490,Jayant Narlikar,,
1491,Jayant Pandurang Naik,,
1492,Jayanta Kumar Ghosh,,
1493,Jayanta Mahapatra,,
1494,Jayantha Kumar Bagchi,,
1495,Jayanto Nath Chaudhuri,,
1496,Jayaram,,
1497,Jayaraman Gowrishankar,,
1498,Jaymala Shiledar,,
1499,Jeahangir Ghandy,,
1500,Jean Riboud,,
1501,Jean-Claude Carrière,,
1502,Jeelani Bano,,
1503,Jeev Milkha Singh,,
1504,Jeffrey Sachs,,
1505,Jehangir Sabavala,,
1506,Jehangir Shapurji Bhownagary,,
1507,Jerusha Jhirad,,
1508,Jhabarmal Sharma,,
1509,Jharna Dhara Chowdhury,,
1510,Jhulan Goswami,,
1511,Ji Xianlin,,
1512,Jigme Dorji Wangchuck,,
1513,Jinvijay,"He was awarded the Padma Shri, the fourth highest civilian award in India, in 1961 for his contributions in field of literature and education.","సాహిత్యం, విద్యా రంగంలో ఆయన చేసిన కృషికి 1961లో భారతదేశంలో నాల్గవ అత్యున్నత పౌర పురస్కారం అయిన పద్మశ్రీని అందుకున్నారు. "
1514,Jitender Singh Shunty,,
1515,Jitendra Abhisheki,,
1516,Jitendra Haripal,,
1517,Jitendra Kumar Singh,,
1518,Jitendra Mohan Hans,,
1519,Jitendra Nath Goswami,,
1520,Jitendra Udhampuri,,
1521,Jitu Rai,,
1522,Jivanlal Moti Lal Thakore,,
1523,Jivraj Narayan Mehta,,
1524,Jivya Soma Mashe,,
1525,Jiwan Lal Jairamdas,,
1526,Jiwan Singh Umranangal,,
1527,Jnan Chandra Ghosh,,
1528,Jnan Prakash Ghosh,,
1529,Jnanendra Nath Mukherjee,,
1530,Jockin Arputham,,
1531,Jodh Singh,,
1532,Jogendra Nath Phukan,,
1533,Jogesh Chandra Banerjee,,
1534,Jogesh Chandra De,,
1535,Jogesh Pati,"Pati was awarded the Dirac Medal for his seminal contributions to a ""Quest for Unification"" in the year 2000 along with Howard Georgi and Helen Quinn.
In 2013, Pati was conferred the honor of Padma Bhushan, the 3rd highest civilian award from the Govt. of India.","2000 సంవత్సరంలో హోవార్డ్ జార్జి, హెలెన్ క్విన్లతో కలిసి ""క్వెస్ట్ ఫర్ యూనిఫికేషన్""లో తన ప్రాథమిక సహకారం కోసం పతికి డిరాక్ మెడల్ లభించింది. 2013లో, పతికి ప్రభుత్వం నుండి 3వ అత్యున్నత పౌర పురస్కారమైన పద్మ భూషణ్ గౌరవం లభించింది. భారతదేశం ,. "
1536,Joginder Paul Birdi,,
1537,Joginder Singh,,
1538,Joginder Singh Dhillon,,
1539,Jogindra Lal Gupta,,
1540,John Arthur King Martyn,,
1541,John Ebnezar,,
1542,John Kenneth Galbraith,,
1543,John Martin Nelson,,
1544,John Mathai,,
1545,John Ralston Marr,,
1546,John Richardson (bishop of Car Nicobar),,
1547,John T. Chambers,,
1548,Jonnalagadda Gurappa Chetty,,
1549,Joravarsinh Jadav,"Jadav was awarded the Meghani Suvarna Chandrak in 1978 by the Loksanskriti Sodh Sansthan for his work Lokjivanna Moti. The Gujarat Sahitya Akademi awarded a prize for his Loksanskritima Pashuo. Aapna Kasabio Volume I received the first prize from the NCERT, and Doshino Deekro Bayadi Lavyo received a prize from the Government of Gujarat.In 2019, Jadav was awarded the Padma Shri, the fourth highest civilian honour from the Government of India, for his contributions to the field of art.","జాదవ్ లోక్జీవన్న మోతీ పనికి లోక్సంస్కృతి సోద్ సంస్థాన్ 1978లో మేఘని సువర్ణ చంద్రక్ అవార్డును అందుకున్నారు. గుజరాత్ సాహిత్య అకాడమీ అతని లోకసంస్కృతిమ పశువోకు బహుమతిని అందజేసింది. ఆప్నా కసాబియో వాల్యూమ్ I NCERT నుండి మొదటి బహుమతిని అందుకుంది, దోషినో డీక్రో బయాది లావ్యో గుజరాత్ ప్రభుత్వం నుండి బహుమతిని అందుకుంది. 2019లో, జాదవ్ కళా రంగానికి చేసిన సేవలకు గాను భారత ప్రభుత్వం నుండి నాల్గవ అత్యున్నత పౌర పురస్కారమైన పద్మశ్రీని పొందారు. "
1550,Jose Chacko Periappuram,,
1551,Jose Ma Joey Concepcion III,,
1552,Joseph Allen Stein,,
1553,Joseph Durai Raj,,
1554,Joseph H. Hulse,,
1555,Joseph H. Pereira,,
1556,Joseph Harold,,
1557,Josh Malihabadi,,
1558,Josh Malsiyani,,
1559,José Pereira,"In 2012, the Government of India conferred the Padma Bhushan, the highest civilian award on India, on Pereira in recognition of his work in the field of Indian history and literature. He is considered to be the only Goan to be conferred
this award while being non-resident in India.","2012లో, భారతదేశ చరిత్ర, సాహిత్య రంగంలో పెరీరా చేసిన కృషికి గుర్తింపుగా భారత ప్రభుత్వం భారతదేశ అత్యున్నత పౌర పురస్కారం పద్మభూషణ్ను ప్రదానం చేసింది. భారతదేశంలో నాన్-రెసిడెంట్గా ఉన్నప్పుడు ఈ అవార్డును పొందిన ఏకైక గోవా వ్యక్తిగా పరిగణించబడ్డాడు. "
1560,Jothi Venkatachalam,,
1561,Joy Michael,,
1562,Joyasree Goswami Mahanta,,
1563,Jugal Kishore,,
1564,Jugal Kishore Choudhury,,
1565,Julio Ribeiro,,
1566,Julius Silverman,,
1567,Juthika Roy,,
1568,Jyeshtharaj Joshi,,
1569,Jyoti Bhatt,"Gold Medal, International Biennale of Prints Italy.
A top prize, World Photo Contest, at Fotokina, Germany. (1978)
Grand Prix, 13th Annual Photo contest for Asia and Pacific, UNESCO, Japan. (1989)
President’s Gold Plaque and National Award, 1956.,
National Award, 1963, at the Annual Art Exhibitions of L.K.Akademi, New Delhi).
Awarded a special ‘Gaurav Puraskar by Gujarat State L.K.Akademi","గోల్డ్ మెడల్, ఇంటర్నేషనల్ బినాలే ఆఫ్ ప్రింట్స్ ఇటలీ. జర్మనీలోని ఫోటోకినాలో ప్రపంచ ఫోటో కాంటెస్ట్లో అగ్ర బహుమతి. (1978)గ్రాండ్ ప్రిక్స్, ఆసియా, పసిఫిక్ కోసం 13వ వార్షిక ఫోటో పోటీ, యునెస్కో, జపాన్. (1989) రాష్ట్రపతి బంగారు ఫలకం, జాతీయ అవార్డు, 1956., జాతీయ అవార్డు, 1963, ఎల్, వార్షిక ఆర్ట్ ఎగ్జిబిషన్స్లో. కె. అకాడమీ, న్యూఢిల్లీ). గుజరాత్ రాష్ట్రం ఎల్ ద్వారా ప్రత్యేక ‘గౌరవ్ పురస్కార్’ను ప్రదానం చేసింది. కె. అకాడమీ. "
1570,Jyoti Bhushan Banerji,,
1571,Jyoti Kumar Sinha,,
1572,Jyotindra Nath Dixit,,
1573,Jyotirmoyee Sikdar,,
1574,Jyotish Chandra Ray,,
1575,K K Ramachandra Pulavar,,
1576,K Kesavasamy,,
1577,K. A. Abraham,,
1578,K. A. Nilakanta Sastri,,
1579,K. Asungba Sangtam,,
1580,K. B. Lall,,
1581,K. B. Sundarambal,,
1582,K. Balachander,,
1583,K. C. Banerjee,,
1584,K. C. Johorey,,
1585,K. C. Reddy,,
1586,K. C. Sengupta,,
1587,K. C. Sivasankaran,,
1588,K. Covilagam Kutti Ettan Raja,,
1589,K. G. Jayan,,
1590,K. G. Ramanathan,,
1591,K. G. Subramanyan,,
1592,K. I. Varaprasad Reddy,,
1593,K. Ibomcha Sharma,,
1594,K. J. Yesudas,,
1595,K. K. Aggarwal,,
1596,K. K. Muhammed,,
1597,K. K. Talwar,,
1598,K. K. Venugopal,,
1599,K. Kripal Singh,,
1600,K. M. Beenamol,,
1601,K. M. Cherian,,
1602,K. M. Cherian (journalist),,
1603,K. M. George,,
1604,K. M. Mammen Mappillai,,
1605,K. M. Mathew,,
1606,K. N. Dandayudhapani Pillai,,
1607,K. N. Raj,,
1608,K. N. Shankara,,
1609,K. Narayanan,,
1610,K. P. Haridas,,
1611,K. P. Kesava Menon,,
1612,K. P. Mathur,,
1613,K. P. P. Nambiar,,
1614,K. P. Saxena,,
1615,K. P. Udayabhanu,,
1616,K. Paddayya,,
1617,K. Padmanabhaiah,,
1618,K. Parasaran,,
1619,K. R. Chakravorty,,
1620,K. R. Palaniswamy,,
1621,K. R. Ramanathan,,
1622,K. Radhakrishnan,,
1623,K. Raghavan,,
1624,K. S. Chandrasekharan,,
1625,K. S. Chithra,,
1626,K. S. Narayanaswamy,,
1627,K. S. Nissar Ahmed,,
1628,K. Sankaran Nair,,
1629,K. Shankar Pillai,,
1630,K. Shivaram Karanth,,
1631,K. Srinath Reddy,,
1632,K. Sukumaran,,
1633,K. T. Dholakia,,
1634,K. T. Thomas,,
1635,K. Ullas Karanth,,
1636,K. V. Kamath,,
1637,K. V. Narayanaswamy,"President of India's Padma Shri, 1976
Central Sangeet Natak Academi Award, 1976
Fulbright Scholar and visiting professor at University of California, San Diego, 1984–85
Madras Music Academy's Sangita Kalanidhi Award, 1986.
The Fine Arts Society's Sangeetha Kalasikhamani award (1989)","భారత రాష్ట్రపతి పద్మశ్రీ, 1976 కేంద్ర సంగీత నాటక అకాడమీ అవార్డు, 1976 ఫుల్బ్రైట్ స్కాలర్, యూనివర్శిటీ ఆఫ్ కాలిఫోర్నియా, శాన్ డియాగోలో విజిటింగ్ ప్రొఫెసర్, 1984–85 మద్రాస్ మ్యూజిక్ అకాడమీ, సంగీత కళానిధి అవార్డు, 1986. ఫైన్ ఆర్ట్స్ సొసైటీ, సంగీత కళాశిఖామణి అవార్డు (1989). "
1638,K. V. S. J. Peter,,
1639,K. V. Sampath Kumar,,
1640,K. Vardachari Thiruvengadam,,
1641,K. Venkatalakshamma,,
1642,K. Venkataraman,,
1643,K. VijayRaghavan,,
1644,K. Viswanath,"During his early career, Viswanath was associated with Adurthi Subba Rao on National Award-winning films such as Mooga Manasulu (1964) and Doctor Chakravarthy (1964). Viswanath scripted Sudigundalu (1968), and directed works such as Aatma Gowravam (1965), O Seeta Katha (1974) and Jeevana Jyothi (1975) which garnered the state Nandi Awards, and were screened at the Asian and African film Festival at Tashkent.Viswanath's classic blockbusters Sankarabharanam (1979) and Sagara Sangamam (1983) were included among CNN-IBN's list of one hundred greatest Indian films of all time.
His directorial works Sankarabharanam and Saptapadi have garnered the National Film Award for Best Popular Film Providing Wholesome Entertainment and Best Feature Film on National Integration, respectively. Sankarabharanam, was premiered at the 8th International Film Festival of India, the Tashkent Film Festival, and the Moscow International Film Festival held in May 1980. Viswanath also won the Prize of the Public at the Besançon Film Festival of France in the year 1981.Viswanath's Swati Mutyam was India's official entry to the 59th Academy Awards. Swati Mutyam, Sagara Sangamam and Sirivennela were premiered at the Asia Pacific Film Festival. Swayam Krushi was premiered to special mention at the Moscow International Film Festival.Sankarabharanam, Sagara Sangamam, Sruthilayalu, Swarnakamalam and Swati Kiranam were screened in the Indian Panorama section at International Film Festival of India, Ann Arbor Film Festival, and AISFM Film Festival","During his early career, Viswanath was associated with Adurthi Subba Rao on National Award-winning films such as Mooga Manasulu (1964) and Doctor Chakravarthy (1964). విశ్వనాథ్ సుడిగుండాలు (1968),, దర్శకత్వం వహించిన ఆత్మగౌరవం (1965), ఓ సీత కథ (1974), జీవన జ్యోతి (1975) వంటి చిత్రాలకు దర్శకత్వం వహించారు, ఇవి రాష్ట్ర నంది అవార్డులను గెలుచుకున్నాయి, తాష్కెంట్లోని ఆసియా, ఆఫ్రికా చలనచిత్రోత్సవంలో ప్రదర్శించబడ్డాయి. విశ్వనాథ్, క్లాసిక్ బ్లాక్ బస్టర్స్ శంకరాభరణం (1979), సాగర సంగమం (1983) CNN-IBN, ఆల్ టైమ్ వంద గొప్ప భారతీయ చిత్రాల జాబితాలో చేర్చబడ్డాయి. అతని దర్శకత్వ రచనలు శంకరాభరణం, సప్తపది వరుసగా సంపూర్ణ వినోదాన్ని అందించే ఉత్తమ ప్రజాదరణ పొందిన చలనచిత్రంగా, జాతీయ సమగ్రతపై ఉత్తమ చలనచిత్రంగా జాతీయ చలనచిత్ర అవార్డును పొందాయి. శంకరాభరణం, మే 1980లో జరిగిన 8వ ఇంటర్నేషనల్ ఫిల్మ్ ఫెస్టివల్ ఆఫ్ ఇండియా, తాష్కెంట్ ఫిల్మ్ ఫెస్టివల్, మాస్కో ఇంటర్నేషనల్ ఫిల్మ్ ఫెస్టివల్లో ప్రదర్శించబడింది. 1981లో ఫ్రాన్స్లోని బెసాన్కాన్ ఫిల్మ్ ఫెస్టివల్లో విశ్వనాథ్ పబ్లిక్ ప్రైజ్ కూడా గెలుచుకున్నారు. విశ్వనాథ్, స్వాతి ముత్యం 59వ అకాడమీ అవార్డులకు భారతదేశం, అధికారిక ప్రవేశం. Swati Mutyam, Sagara Sangamam and Sirivennela were premiered at the Asia Pacific Film Festival. స్వయం క్రుషి మాస్కో ఇంటర్నేషనల్ ఫిల్మ్ ఫెస్టివల్లో ప్రత్యేకంగా ప్రస్తావనకు వచ్చింది. Sankarabharanam, Sagara Sangamam, Sruthilayalu, Swarnakamalam and Swati Kiranam were screened in the Indian Panorama section at International Film Festival of India, Ann Arbor Film Festival, and AISFM Film Festival. "
1645,K. Y. Venkatesh,,
1646,K.S.A. Khader Ghulam Mohideen,,
1647,Kader Khan,,
1648,Kadiyala Ramachandra,,
1649,Kadri Gopalnath,,
1650,Kaifi Azmi,,
1651,Kaikhushru Ruttonji Shroff,,
1652,Kailas Nath Kaul,,
1653,Kailasam Raghavendra Rao,,
1654,Kailash Chand,,
1655,Kailash Chandra Agrawal,,
1656,Kailash Chandra Meher,,
1657,Kailash Kher,,
1658,Kailash Madbaiya,,
1659,Kailash Sankhala,,
1660,Kaithapram Damodaran Namboothiri,,
1661,Kajol,,
1662,Kaka Hathrasi,,
1663,Kakarla Subba Rao,,
1664,Kalabati Devi,,
1665,Kalamandalam Gopi,,
1666,Kalamandalam Krishnan Nair,,
1667,Kalamandalam Kshemavathy,,
1668,Kalamandalam Satyabhama,,
1669,Kalamandalam Sivan Namboodiri,,
