,Recipients,honours,honours Telugu
1128,Govind Swarup,,
1129,Govinda Pillai Unnikrishna Menon,,
1130,Govindan Sundararajan,,
1131,Govindan Vijayaraghavan,,
1132,Govindappa Venkataswamy,,
1133,Govindarajan Padmanaban,,
1134,Govinddas Mannulal Shroff,,
1135,Gowri Ishwaran,,
1136,Grace Louise McCann Morley,,
1137,Grace Mary Linnel,,
1138,Granville Austin,,
1139,Grigoriy Lvovitch Bondarevsky,,
1140,Grigory Bongard-Levin,,
1141,Gubbi Veeranna,,
1142,Guduru Venkatachalam,,
1143,Gujarmal Modi,,
1144,Gul Bardhan,,
1145,Gulab Bai,,
1146,Gulabdas Broker,,
1147,Gulabo Sapera,,
1148,Gulam Mohammed Sheikh,,
1149,Gulam Qadir Lala,,
1150,Gulam Rabbani Taban,,
1151,Gulam Rusull Khan,,
1152,Gulestan Rustom Billimoria,,
1153,Gulfam Ahmed,,
1154,Gullapalli Nageswara Rao,,
1155,Gulshan Lal Tandon,,
1156,Gulshan Nanda,,
1157,Gulshan Rai,,
1158,Gulshan Rai Khatri,,
1159,Gulzar,,
1160,Gulzarilal Nanda,,
1161,Gummadi,,
1162,Gundappa Viswanath,,
1163,Gundu Bandopent Meemamsi,,
1164,Gunter Kruger,,
1165,Gunupati Venkata Krishna Reddy,,
1166,Gunvant Shah,,
1167,Gurbachan Jagat,,
1168,Gurbachan Singh Randhawa,,
1169,Gurbachan Singh Sindhu,,
1170,Gurbachan Singh Talib,,
1171,Gurcharan Singh,,
1172,Gurcharan Singh Kalkat,,
1173,Gurdev Singh Khush,,
1174,Gurdial Singh,,
1175,Gurdial Singh (mountaineer),,
1176,Gurdip Singh,,
1177,Gurdip Singh Randhawa,,
1178,Gurmayum Anita Devi,,
1179,Gurram Jashuva,,
1180,Gursaran Talwar,,
1181,Guru Aribam Surchand Sharma,,
1182,Guru Hanuman,,
1183,Guru Kunchu Kurup,,
1184,Guru Maa Kamali Soren,,
1185,Gurudas Mal,,
1186,Gurumayum Gourakishor Sharma,,
1187,Gury Marchuk,,
1188,Gyan Chand Jain,,
1189,Gyan Chandra Mishra,,
1190,Gyan Chaturvedi,,
1191,Gyan Singh,,
1192,Gyanesh Chandra Chatterjee,,
1193,H. Boniface Prabhu,,
1194,H. D. Shourie,,
1195,H. Govindrao Srinivasa Murthy,,
1196,H. K. Dua,,
1197,H. Kusum Sayani,,
1198,H. M. Desai,,
1199,H. P. S. Ahluwalia,,
1200,H. R. Nagendra,,
1201,H. R. Shah,,
1202,H. Thegtse Rinpoche,,
1203,H. V. R. Iyengar,,
1204,H. Y. Sharada Prasad,,
1205,Habib Rahman,,
1206,Habib Tanvir,,
1207,Habibullo Rajabov,,
1208,Habibur Rahman,,
1209,Hafeez Ahmed Khan,,
1210,Hafeez Contractor,,
1211,Hafiz Ali Khan,,
1212,Hafiz Mohamad Ibrahim,,
1213,Hakam Singh,,
1214,Hakim Abdul Hameed,,
1215,Hakim Syed Khaleefathullah,,
1216,Hakim Syed Zillur Rahman,,
1217,Haku Shah,,
1218,Haldhar Nag,,
1219,Hamidi Kashmiri,,
1220,Hamlet Bareh,,
1221,Hanamant Narhar 'Sudhanshu' Joshi,,
1222,Handel Manuel,,
1223,Hans Raj Hans,,
1224,Hans Raj Khanna,,
1225,Hansa Jivraj Mehta,,
1226,Hanumanbax Kanoi,,
1227,Hanumappa Sudarshan,,
1228,Haobam Ongbi Ngangbi Devi,,
1229,Har Gobind Khorana,,
1230,Har Krishna Lal Sethi,,
1231,Har Mander Singh,,
1232,Harbaksh Singh,,
1233,Harbans Singh Jolly,,
1234,Harbans Singh Wasir,,
1235,Harbhajan Singh,,
1236,Harbhajan Singh (mountaineer),,
1237,Harbhajan Singh Rissam,,
1238,Harbhajan Sinha,,
1239,Harekala Hajabba,,
1240,Hargovind Laxmishanker Trivedi,,
1241,Hari Chand Dewan,,
1242,Hari Govindrao Vartak,,
1243,Hari Kant Dang,,
1244,Hari Krishan Jain,,
1245,Hari Krishan Wattal,,
1246,Hari Narain,,
1247,Hari Prasad Jaiswal,,
1248,Hari Shankar Sharma,,
1249,Hari Shankar Singhania,,
1250,Hari Uppal,,
1251,Hari Vinayak Pataskar,,
1252,Haribhau Upadhyaya,,
1253,Haridas Siddhanta Bagish,,
1254,Haridas Thongram,,
1255,Haridwaramangalam A. K. Palanivel,,
1256,Harihar Kripalu Tripathi,,
1257,Hariharan,,
1258,Hariharan Srinivasan,,
1259,Harika Dronavalli,,
1260,Harindranath Chattopadhyay,,
1261,Hariprasad Chaurasia,,
1262,Harischandra Kashnath Karve,,
1263,Harish Chandra Sarin,,
1264,Harish Chandra Singh Rawat,,
1265,Harish Chandra Verma,,
1266,Harish Salve,,
1267,Harish-Chandra,,
1268,Harishankar Parsai,,
1269,Harishchandra Gopal Patil,,
1270,Harivansh Rai Bachchan,,
1271,Harkishan Singh,,
1272,Harnam Das Wahi,,
1273,Haroon Khan Sherwani,,
1274,Harpinder Singh Chawla,,
1275,Harsh Gupta,,
1276,Harsh Kumar,,
1277,Harsh Mahajan,,
1278,Harsh Vardhan Bahuguna,,
1279,Harshavardhan Neotia,,
1280,Harshel Sawi Luaia,,
1281,Harvinder Singh Phoolka,,
1282,Hashmat Ullah Khan,,
1283,Hasmukh Chamanlal Shah,,
1284,Hasmukh Dhirajlal Sankalia,,
1285,Hasmukhbhai Parekh,,
1286,Hassan Nasiem Siddiquie,,
1287,Hazari Prasad Dwivedi,,
1288,Heinrich von Stietencron,,
1289,Heisnam Kanhailal,,
1290,Helen,,
1291,Helen Giri,,
1292,Hema Bharali,,
1293,Hema Malini,,
1294,Hemendra Prasad Barooah,,
1295,Hemendra Singh Panwar,,
1296,Hemi Bawa,,
1297,Hemlata Gupta,,
1298,Henning Holck-Larsen,,
1299,Herbert Alexandrovich Yefremov,,
1300,Herbert Fischer,,
1301,Hermann Kulke,,
1302,Hermenegild Santapau,,
1303,Hilda Mary Lazarus,,
1304,Hildamit Lepcha,,
1305,Himangshu Mohan Choudhury,,
1306,Himanshu Kumar Banerjee,,
1307,Himmata Ram Bhambhu,,
1308,Hira Lall Sibal,,
1309,Hirabai Barodekar,"Hirabai's work in Hindustani music fetched her many prestigious accolades. She was awarded with the Sangeet Nātak Akādemi Award in 1965 and the Padma Bhushan Award in 1970. She was also awarded Vishnudas Bhave Award for her contribution to theater.She was chosen to sing the national song, Vande Mataram, from the Red Fort in India's capital Delhi on the day India received its independence from the British Raj (15 August 1947). She visited China and the East African countries as a part of an Indian delegation in 1953.She was titled ""Gaan kokila"" (Nightingale of India) by Sarojini Naidu. An annual music festival is held in Mumbai by her disciple Prabha Atre by the name Sureshbabu – Hirabai Smruti Sangeet Samaroh since 1992, which has become one of the major festivals of music in the country.","హిందుస్థానీ సంగీతంలో హీరాబాయి చేసిన పని ఈమెకు అనేక ప్రతిష్టాత్మకమైన ప్రశంసలు అందుకుంది. ఈమెకు 1965లో సంగీత నాటక అకాడమీ అవార్డు, 1970లో పద్మభూషణ్ అవార్డు లభించింది. నాటక రంగానికి ఈమె చేసిన కృషికి గాను ఈమెకు విష్ణుదాస్ భావే అవార్డు కూడా లభించింది. బ్రిటీష్ రాజ్ నుండి భారతదేశం స్వాతంత్ర్యం పొందిన రోజు (15 ఆగస్టు 1947) భారత రాజధాని ఢిల్లీలోని ఎర్రకోట నుండి జాతీయ గీతం, వందేమాతరం పాడటానికి ఈమె ఎంపికైంది. ఈమె 1953లో భారత ప్రతినిధి బృందంలో భాగంగా చైనా, తూర్పు ఆఫ్రికా దేశాలను సందర్శించారు. ఈమెకు సరోజినీ నాయుడు ""గాన్ కోకిల"" (నైటింగేల్ ఆఫ్ ఇండియా) అని బిరుదు ఇచ్చారు. 1992 నుండి ఈమె శిష్యురాలు ప్రభా ఆత్రే ముంబయిలో సురేశ్బాబు - హీరాబాయి స్మ్రుతి సంగీత్ సమరోహ్ పేరుతో వార్షిక సంగీత ఉత్సవం నిర్వహిస్తారు, ఇది దేశంలోని సంగీత ప్రధాన ఉత్సవాల్లో ఒకటిగా మారింది. "
1310,Hiralal Yadav,"Padma Shri in 2019 from the Government of India
Yash Bharti Award in 2015 from the Government of Uttar Pradesh
Tagore Akademi Award in 2011 from the Sangeet Natak Akademi
Sangeet Natak Akademi Award in 1993-94 from the Sangeet Natak Akademi",1993-94లో సంగీత నాటక అకాడమీ నుండి 1993-94లో సంగీత నాటక అకాడమీ అవార్డు నుండి 2011లో ఉత్తర ప్రదేశ్ ప్రభుత్వం నుండి 2015లో భారత ప్రభుత్వం యశ్ భారతి అవార్డు 2019లో పద్మశ్రీ. 
1311,Hirebettu Sadananda Kamath,,
1312,Hirendranath Mukherjee,,
1313,Hisam-ud-din Usta,,
1314,Homai Vyarawalla,,
1315,Homi Cawas Sethnas,,
1316,Homi J. H. Taleyarkhan,,
1317,Homi Jehangir Bhabha,,
1318,Homi K. Bhabha,,
1319,Homi Nusserwanji Sethna,,
1320,Homi Sethna,,
1321,Horace Alexander,,
1322,Hormasji Maneckji Seervai,,
1323,Hormazdiar Jamshedi Muncherji Desai,,
1324,Hosagrahar Chandrashekhariah Visvesvaraya,,
1325,Hosei Norota,,
1326,Hosur Narasimhaiah,,
1327,Hrangaia,,
1328,Hridaynath Mangeshkar,,
1329,Hrishikesh Mukherjee,,
1330,Huang Baosheng,,
1331,Hui Lan Zhang,,
1332,Hukmdev Narayan Yadav,,
1333,Hukumchand Patidar,,
1334,Humayun Mirza,,
1335,Humpy Koneru,,
1336,Hun Many,,
1337,Hundraj Lial Ram Dukhayal Manik,,
1338,Hussain Ahmad Madani,,
1339,I Nyoman Nuarta,,
1340,I. G. Patel,,
1341,I. V. Subba Rao,,
1342,Ibrahim Sutar,,
1343,Ignace Tirkey,,
1344,Ijwant Singh,,
1345,Ilaiyaraaja,,
1346,Ileana Citaristi,,
1347,Illias Ali,,
1348,Imitiaz Qureshi,,
1349,Immaneni Sathyamurthy,,
1350,Imran Shah,,
1351,Inder Mohan,,
1352,Inder Sharma,,
1353,Inderjit Kaur Barthakur,,
1354,Inderjit Singh Gill,,
1355,Indira Chakravarty,,
1356,Indira Hinduja,,
1357,Indira Jaising,,
1358,Indira Miri,,
1359,Indira Nath,,
1360,Indira P. P. Bora,,
1361,Indra Dassanayake,"In 1983, Indra was awarded the ""Saraswathie Award"" by the greatest Hindi poetess named Mahadevi Varma at the World Hindi Convention held at New Delhi for the outstanding service rendered to the development of Hindi Language in Sri Lanka and extending the bilateral cultural ties between two countries. 
In 2007, Indra was awarded the prestigious Dr. George Grierson Award by Her Excellency the President of India Mrs Prathibha Patel Pratibha Patil for the distinguished service rendered on the propagation of Hindi Language in Sri Lanka.  This award was given to her for the year 2005 during the World Hindi Conference in New Delhi on 18 December 2007.
In 2018, she was conferred with the ""Doctor Of Literature"" by the University Kelaniya, Sri Lanka for representing academic symposiums for 50 years, held in different countries and not only engaging in the educational excursions doing language exploration and globally acquiring academic accomplishments but also fully utilising her acquired expertise for the betterment of the entire university system.  
In 2020, on the Republic Day of India, she was honoured with the prestigious Padma Shri award, by the Government of India, for her contribution to North Indian Literature & Education in Hindi.  It was also the first instance where a Sri Lankan was honoured with the prestigious award since 2002.","1983లో, శ్రీలంకలో హిందీ భాషా అభివృద్ధికి, ఇరువురి మధ్య ద్వైపాక్షిక సాంస్కృతిక సంబంధాలను విస్తరించడానికి అందించిన విశిష్ట సేవలకు గాను న్యూఢిల్లీలో జరిగిన ప్రపంచ హిందీ సదస్సులో మహాదేవి వర్మ అనే గొప్ప హిందీ కవయిత్రి ఇంద్రాకు ""సరస్వతి అవార్డు"" లభించింది. దేశాలు. 2007లో ఇంద్ర ప్రతిష్టాత్మక డా. శ్రీలంకలో హిందీ భాషా ప్రచారంలో విశిష్ట సేవలందించినందుకు భారత రాష్ట్రపతి శ్రీమతి ప్రతిభా పటేల్ ప్రతిభా పాటిల్చే జార్జ్ గ్రియర్సన్ అవార్డు. 18 డిసెంబర్ 2007న న్యూఢిల్లీలో జరిగిన ప్రపంచ హిందీ సదస్సు సందర్భంగా 2005 సంవత్సరానికిగానూ ఈ అవార్డును ఈమెకు అందించారు. 2018లో, శ్రీలంకలోని కెలానియా విశ్వవిద్యాలయం వారు 50 సంవత్సరాలుగా వివిధ దేశాల్లో నిర్వహించిన అకడమిక్ సింపోజియమ్లకు ప్రాతినిధ్యం వహించినందుకు, విద్యా విహారయాత్రలలో భాషా అన్వేషణ, ప్రపంచవ్యాప్తంగా విద్యాపరమైన విజయాలు సాధించడం ద్వారా ఈమెకు ""డాక్టర్ ఆఫ్ లిటరేచర్"" బిరుదును అందించారు. ఈమె సంపాదించిన నైపుణ్యాన్ని మొత్తం విశ్వవిద్యాలయ వ్యవస్థ, మెరుగుదలకు పూర్తిగా ఉపయోగించడం. 2020లో, భారత గణతంత్ర దినోత్సవం నాడు, హిందీలో ఉత్తర భారత సాహిత్యం & విద్యకు ఈమె చేసిన కృషికి భారత ప్రభుత్వం ప్రతిష్టాత్మక పద్మశ్రీ అవార్డుతో సత్కరించింది. 2002 తర్వాత శ్రీలంకకు ప్రతిష్టాత్మకమైన అవార్డు లభించిన తొలి ఉదాహరణ కూడా ఇదే. "
1362,Indra Kumar Gupta,,
1363,Indra Nooyi,,
1364,Indrani Rahman,,
1365,Indu Bhushan Sinha,,
1366,Indu Jain,,
1367,Indumati Chimanlal Sheth,,
1368,Iravatham Mahadevan,,
1369,Irfan Habib,"Among the first six Jawaharlal Nehru Fellowships, 1968.
Watumull Prize of American Historical Association, 1982. (Jointly with Tapan Raychaudhuri).
Padma Bhushan, Government of India, 2005.
Ibn Sina Memorial Lecture, 2009.
Honorary doctorate (D.Litt) by University of Calicut, 2010.
Yash Bharti, 2016
Honorary Fellow, New College, Oxford, 2021.","మొదటి ఆరు జవహర్లాల్ నెహ్రూ ఫెలోషిప్లలో, 1968. వాటుముల్ ప్రైజ్ ఆఫ్ అమెరికన్ హిస్టారికల్ అసోసియేషన్, 1982. (తపన్ రాయ్చౌధురితో కలిసి). పద్మ భూషణ్, భారత ప్రభుత్వం, 2005. ఇబ్న్ సినా మెమోరియల్ లెక్చర్, 2009. గౌరవ డాక్టరేట్ (డి. లిట్) కాలికట్ విశ్వవిద్యాలయం ద్వారా, 2010. యశ్ భారతి, 2016 గౌరవ సహచరుడు, న్యూ కాలేజ్, ఆక్స్ఫర్డ్, 2021. "
1370,Irrfan Khan,,
1371,Irshad Mirza,,
1372,Irwin Allan Sealy,,
1373,Isaac Santra,,
1374,Isher Judge Ahluwalia,,
1375,Ishrat Ali Siddiqui,,
1376,Ishwar Chandra Gupta,,
1377,Ishwarbhai Jivaram Patel,,
1378,Ishwari Prasad,,
1379,Ismail Ahmed Cachalia,,
1380,Ismail Merchant,,
1381,Ismat Chughtai,,
1382,Ismaïl Omar Guelleh,,
1383,Ivy Khan,,
1384,Iyyanki Venkata Ramanayya,,
1385,J. A. K. Tareen,,
1386,J. Hareendran Nair,,
1387,J. L. Kaul,,
1388,J. Malsawma,,
1389,J. N. Chaudhry,,
1390,J. N. Saksena,,
1391,J. R. D. Tata,,
1392,J. R. Gangaramani,,
1393,J. S. Grewal,,
1394,J. S. Guleria,,
1395,J. S. Mahashabde,,
1396,J. S. Rajput,,
1397,J. S. Titiyal,,
1398,Jabbar Patel,,
1399,Jack Gibson,,
1400,Jacob Chandy,,
1401,Jacob Cherian,,
1402,Jacques Blamont,,
1403,Jadav Payeng,"Jadav Payeng was honoured at a public function arranged by the School of Environmental Sciences, Jawaharlal Nehru University on 22 April 2012 for his achievement. He shared his experience of creating a forest in an interactive session, where Magsaysay Award winner Rajendra Singh and JNU vice-chancellor Sudhir Kumar Sopory were present. Sopory named Jadav Payeng as the ""Forest Man of India"". In the month of October 2013, he was honoured at the Indian Institute of Forest Management during their annual event Coalescence. In 2015, he was honoured with Padma Shri, the fourth highest civilian award in India. He received honorary doctorate degree from Assam Agricultural University and Kaziranga University for his contributions.","జాదవ్ పాయెంగ్ సాధించిన విజయానికి గాను 22 ఏప్రిల్ 2012న జవహర్లాల్ నెహ్రూ విశ్వవిద్యాలయంలోని స్కూల్ ఆఫ్ ఎన్విరాన్మెంటల్ సైన్సెస్ ఏర్పాటు చేసిన బహిరంగ కార్యక్రమంలో ఆయనను సత్కరించారు. మెగసెసే అవార్డు గ్రహీత రాజేంద్ర సింగ్, JNU వైస్ ఛాన్సలర్ సుధీర్ కుమార్ సోపోరీ హాజరైన ఇంటరాక్టివ్ సెషన్లో ఇతను అడవిని సృష్టించిన అనుభవాన్ని పంచుకున్నాడు. జాదవ్ పాయెంగ్ను ""ఫారెస్ట్ మ్యాన్ ఆఫ్ ఇండియా""గా సోపోరీ పేర్కొన్నాడు. అక్టోబర్ 2013 నెలలో, ఇతను ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ ఫారెస్ట్ మేనేజ్మెంట్ వారి వార్షిక ఈవెంట్ కోలెసెన్స్ సందర్భంగా గౌరవించబడ్డాడు. 2015లో, ఇతను భారతదేశంలో నాల్గవ అత్యున్నత పౌర పురస్కారమైన పద్మశ్రీతో సత్కరించబడ్డాడు. అసోం అగ్రికల్చరల్ యూనివర్శిటీ, కజిరంగా విశ్వవిద్యాలయం నుండి ఆయన చేసిన కృషికి గౌరవ డాక్టరేట్ పట్టా అందుకున్నారు. "
1404,Jadeng Buana,,
1405,Jadunath Supakar,,
1406,Jafar Ali Khan,,
1407,Jag Parvesh Chandra,,
1408,Jagadish Chandra Halder,,
1409,Jagadish Shukla,,
1410,Jagan Nath Kaul,,
1411,Jagannath Krishna Kate,,
1412,Jagat Ram,,
1413,Jagat Singh Mehta,,
1414,Jagdamba Devi,,
1415,Jagdish Bhagwati,,
1416,Jagdish Chandra Kapur,,
1417,Jagdish Chandra Mittal,,
1418,Jagdish Chaturvedi,,
1419,Jagdish Chaudhary,,
1420,Jagdish Kashibhai Patel,,
1421,Jagdish Lal,,
1422,Jagdish Lal Ahuja,,
1423,Jagdish Mitra Pahwa,,
1424,Jagdish Prasad Parikh,,
1425,Jagdish Prasad Singh,,
1426,Jagdish Sheth,,
1427,Jaggayya,,
1428,Jaggi Vasudev,,
1429,Jagjit Singh,,
1430,Jagjit Singh Aurora,,
1431,Jagjit Singh Chopra,,
1432,Jagjit Singh Hara,,
1433,Jagmohan,,
1434,Jagmohan Lal Karoli,,
1435,Jagmohan Sursagar,,
1436,Jahnu Barua,,
1437,Jai Bhagwan Chaudhary,,
1438,Jai Bhagwan Goyal,,
1439,Jai Hormusjee Vakil,,
1440,Jai Krishna,,
1441,Jai Pal Mittal,,
1442,Jai Pal Singh,,
1443,Jai Prakash Agarwal,,
1444,Jai Prakash Lekhiwal,,
1445,Jai Rattan Bhalla,,
1446,Jai Singh Pal Yadav,,
1447,Jaikishan Dahyabhai Panchal,,
1448,Jainendra Kumar Jain,,
1449,Jaishankar Bhojak,,
1450,Jaiveer Agarwal,,
1451,Jal Gawashaw Paymaster,,
1452,Jal Minocher Mehta,,
1453,Jal R. Patel,,
1454,Jalakantapuram Ramaswamy Krishnamoorthy,,
1455,Jaman Lal Sharma,,
1456,Jamesh Dokhuma,,
1457,Jamini Roy,,
1458,Jamshed Jiji Irani,,
1459,Jamshed Vazifdar,,
1460,Jamshyd Godrej,,
1461,Jamuna Tudu,,
1462,Janak Palta McGilligan,,
1463,Janaki Ammal,,
1464,Janaky Athi Nahappan,,
1465,Jankibai Bajaj,,
1466,Jasbir Singh Bajaj,,
1467,Jasdev Singh,,
1468,Jashbhai Shankarbhaiu Patel,,
1469,Jasjit Singh,,
1470,Jaspal Bhatti,,
1471,Jaspal Rana,,
1472,Jasraj,,
1473,Jasraj Motiram,,
1474,Jasu Patel,,
1475,Jaswantrai Jayantilal Anjaria,,
1476,Jatin Das,,
1477,Jatin Goswami,,
1478,Jatindra Mohan Dutta,,
1479,Jatish Chandra Bhattacharyya,,
1480,Javare Gowda,,
1481,Javed Ahmed Tak,,
1482,Javed Akhtar,,
1483,Jawahar Lal Kaul,,
1484,Jawahar Wattal,,
1485,Jaya Arunachalam,,
1486,Jaya Bachchan,,
1487,Jayakanthan,,
1488,Jayakumari Chikkala,,
1489,Jayalakhshmi K. S.,,
1490,Jayant Narlikar,"Narlikar has received many national and international awards and honorary doctorates. India's second-highest civilian honour, Padma Vibhushan, was awarded to him in 2004 for his research work. Prior to this, in 1965, he was conferred Padma Bhushan. He was awarded 'Rashtra Bhushan' in 1981 by FIE Foundation, Ichalkaranji. He received Maharashtra Bhushan Award for the year 2010. He is a recipient of Bhatnagar Award, M.P. Birla Award, and the Prix Jules Janssen of the Société astronomique de France (French Astronomical Society). He is an Associate of the Royal Astronomical Society of London, and a Fellow of the three Indian National Science Academies and the Third World Academy of Sciences. Apart from his scientific research, Narlikar has been well known as a communicator of science through his books, articles, and radio & television programs","నార్లికర్ అనేక జాతీయ, అంతర్జాతీయ అవార్డులు, గౌరవ డాక్టరేట్లను అందుకున్నారు. భారతదేశం, రెండవ అత్యున్నత పౌర పురస్కారం, పద్మవిభూషణ్, అతని పరిశోధనా పనికి 2004లో అతనికి లభించింది. దీనికి ముందు 1965లో పద్మభూషణ్తో సత్కరించారు. 1981లో ఇచల్కరంజిలోని ఎఫ్ఐఈ ఫౌండేషన్చే 'రాష్ట్ర భూషణ్' అవార్డు పొందారు. ఇతను 2010 సంవత్సరానికి మహారాష్ట్ర భూషణ్ అవార్డును అందుకున్నాడు. ఇతను భట్నాగర్ అవార్డు గ్రహీత, ఎం. పి. బిర్లా అవార్డు, ఫ్రెంచ్ ఆస్ట్రోనామికల్ సొసైటీ, జూల్స్ జాన్సెన్ ప్రైజ్. ఇతను రాయల్ ఆస్ట్రోనామికల్ సొసైటీ ఆఫ్ లండన్కు అసోసియేట్,, మూడు ఇండియన్ నేషనల్ సైన్స్ అకాడమీలు, థర్డ్ వరల్డ్ అకాడమీ ఆఫ్ సైన్సెస్లో ఫెలో. తన శాస్త్రీయ పరిశోధనతో పాటు, నార్లికర్ తన పుస్తకాలు, వ్యాసాలు, రేడియో & టెలివిజన్ కార్యక్రమాల ద్వారా సైన్స్ కమ్యూనికేషన్గా ప్రసిద్ధి చెందారు. "
1491,Jayant Pandurang Naik,,
1492,Jayanta Kumar Ghosh,,
1493,Jayanta Mahapatra,,
1494,Jayantha Kumar Bagchi,,
1495,Jayanto Nath Chaudhuri,,
1496,Jayaram,,
1497,Jayaraman Gowrishankar,,
1498,Jaymala Shiledar,,
1499,Jeahangir Ghandy,,
1500,Jean Riboud,,
1501,Jean-Claude Carrière,,
1502,Jeelani Bano,,
1503,Jeev Milkha Singh,,
1504,Jeffrey Sachs,,
1505,Jehangir Sabavala,,
1506,Jehangir Shapurji Bhownagary,,
1507,Jerusha Jhirad,"In 1945, Jhirad was awarded an MBE by the British government. In 1947, she was elected a Fellow of the Royal College of Obstetricians and Gynaecologists. In 1966, she was awarded the Padma Shri. The Venusian crater Jhirad was named after her.","1945లో, జిరాద్కు బ్రిటిష్ ప్రభుత్వం MBEని ప్రదానం చేసింది. 1947లో, ఈమె రాయల్ కాలేజ్ ఆఫ్ అబ్స్టెట్రిషియన్స్ అండ్ గైనకాలజిస్ట్స్ ఫెలోగా ఎన్నికైంది. 1966లో ఈమెకు పద్మశ్రీ పురస్కారం లభించింది. ఈమె పేరు మీద శుక్ర బిలం జిరాడ్ అని పేరు పెట్టారు. "
1508,Jhabarmal Sharma,,
1509,Jharna Dhara Chowdhury,,
1510,Jhulan Goswami,,
1511,Ji Xianlin,,
1512,Jigme Dorji Wangchuck,"''' National honours '''
 Bhutan:
 Grand Master of the Royal Order of Bhutan (Druk Thuksey = Son of the Heart of the Thunder Dragon, 1966).


''' Foreign honours '''
 Bangladesh:
 Recipient of the Bangladesh Liberation War Honour (Posthumous) (27/03/2012)
 India:
 Recipient of the Padma Vibhushan (26/01/1954)
 United Kingdom:
 Recipient of the King George V Silver Jubilee Medal (06/05/1935)
 Recipient of the King George VI Coronation Medal (12/05/1937)","''' జాతీయ గౌరవాలు ''' భూటాన్: గ్రాండ్ మాస్టర్ ఆఫ్ ది రాయల్ ఆర్డర్ ఆఫ్ భూటాన్ (డ్రుక్ తుక్సే = సన్ ఆఫ్ ది హార్ట్ ఆఫ్ ది థండర్ డ్రాగన్, 1966). ''' విదేశీ గౌరవాలు ''' బంగ్లాదేశ్: బంగ్లాదేశ్ లిబరేషన్ వార్ గౌరవం (మరణానంతరం) (27/03/2012) భారతదేశం: పద్మ విభూషణ్ గ్రహీత (26/01/1954) యునైటెడ్ కింగ్డమ్: కింగ్ జార్జ్ V గ్రహీత సిల్వర్ జూబ్లీ మెడల్ (06/05/1935) కింగ్ జార్జ్ VI పట్టాభిషేక పతకం గ్రహీత (12/05/1937). "
1513,Jinvijay,,
1514,Jitender Singh Shunty,,
1515,Jitendra Abhisheki,,
1516,Jitendra Haripal,,
1517,Jitendra Kumar Singh,,
1518,Jitendra Mohan Hans,,
1519,Jitendra Nath Goswami,,
1520,Jitendra Udhampuri,,
1521,Jitu Rai,,
1522,Jivanlal Moti Lal Thakore,,
1523,Jivraj Narayan Mehta,,
1524,Jivya Soma Mashe,,
1525,Jiwan Lal Jairamdas,,
1526,Jiwan Singh Umranangal,,
1527,Jnan Chandra Ghosh,,
1528,Jnan Prakash Ghosh,,
1529,Jnanendra Nath Mukherjee,,
1530,Jockin Arputham,,
1531,Jodh Singh,,
1532,Jogendra Nath Phukan,,
1533,Jogesh Chandra Banerjee,,
1534,Jogesh Chandra De,,
1535,Jogesh Pati,,
1536,Joginder Paul Birdi,,
1537,Joginder Singh,,
1538,Joginder Singh Dhillon,,
1539,Jogindra Lal Gupta,,
1540,John Arthur King Martyn,,
1541,John Ebnezar,,
1542,John Kenneth Galbraith,,
1543,John Martin Nelson,,
1544,John Mathai,,
1545,John Ralston Marr,,
1546,John Richardson (bishop of Car Nicobar),,
1547,John T. Chambers,,
1548,Jonnalagadda Gurappa Chetty,,
1549,Joravarsinh Jadav,,
1550,Jose Chacko Periappuram,,
1551,Jose Ma Joey Concepcion III,,
1552,Joseph Allen Stein,,
1553,Joseph Durai Raj,,
1554,Joseph H. Hulse,,
1555,Joseph H. Pereira,,
1556,Joseph Harold,,
1557,Josh Malihabadi,,
1558,Josh Malsiyani,,
1559,José Pereira,,
1560,Jothi Venkatachalam,,
1561,Joy Michael,,
1562,Joyasree Goswami Mahanta,,
1563,Jugal Kishore,,
1564,Jugal Kishore Choudhury,,
1565,Julio Ribeiro,,
1566,Julius Silverman,,
1567,Juthika Roy,,
1568,Jyeshtharaj Joshi,,
1569,Jyoti Bhatt,,
1570,Jyoti Bhushan Banerji,,
1571,Jyoti Kumar Sinha,,
1572,Jyotindra Nath Dixit,,
1573,Jyotirmoyee Sikdar,,
1574,Jyotish Chandra Ray,,
1575,K K Ramachandra Pulavar,,
1576,K Kesavasamy,,
1577,K. A. Abraham,,
1578,K. A. Nilakanta Sastri,,
1579,K. Asungba Sangtam,,
1580,K. B. Lall,,
