,Recipients,positions,positions Telugu
992,G. N. Devy,,
993,G. N. Malviya,,
994,G. P. Chopra,,
995,G. S. Melkote,,
996,G. S. Sainani,,
997,G. S. Venkataraman,,
998,G. Sankara Kurup,,
999,G. Shankar,,
1000,G. V. Iyer Ramakrishna,,
1001,G. Venkatasubbiah,,
1002,Gabriel Chiramel,,
1003,Gadde Ramakoteswar Rao,,
1004,Gadul Singh Lama,,
1005,Gafurbhai M. Bilakhia,,
1006,Gagan Narang,,
1007,Gaganvihari Lallubhai Mehta,,
1008,Gainedi A. Narasimha Rao,,
1009,Gajam Anjaiah,,
1010,Gajam Govardhana,,
1011,Gajanan Digambar Madgulkar,,
1012,Gajendra Narayan Singh,,
1013,Gambhir Singh Mura,,
1014,Ganda Singh,,
1015,Ganesh Gobind Karkhanis,,
1016,Ganesh Kumar Mani,"Mani started his career as a faculty member at the Christian Medical College and Hospital, Vellore and moved as the Specialist Surgeon to the Indian Railways Southern Railway HQ Hospital in Perambur in the south Indian state of Tamil Nadu, in 1984. He worked there till 1989 when he returned to Delhi as the Chief Cardiac Surgeon and Director of Cardiac Surgery at the Batra Hospital and Medical Research Centre, a position he held till 1995. The next move was as the Senior Cardiothoracic Consultant of the Apollo Hospital, Indraprastha, a 700 bedded tertiary care hospital in the Indian capital, working there from 1996 to 2003. He has also worked as the visiting consultant at hospitals such as Saroj Hospital, Delhi (2001-2003), Gandhi Medical College, Bhopal (2003), Delhi Heart and Lung Institute (2003-2009), Golden Heart Institute of the Jaipur Golden Hospital (2005-2009), the Mool Chand Hospital, Delhi (2008-2009) and as the Director of the Pushpanjali Institute of Cardiac Sciences and Crosslay Remedies.In 2013, Mani moved to Saket City Hospital, Delhi and is the Chairman, Cardiothoracic Vascular Surgery, there. He is also the Managing Director of Mani Heart Care, a facility he founded in 1990.Ganesh Mani is a former member of the executive council of the Delhi Medical Council (1998-2004), a former member of the Medical Advisory Board Chronic Care Foundation (2003-2010) and is the President of the Health Education And Research Trust, Delhi and a National Committee member of the Indian Healthcare Federation.","మణి క్రిస్టియన్ మెడికల్ కాలేజ్ అండ్ హాస్పిటల్, వెల్లూర్లో ఫ్యాకల్టీ మెంబర్గా తన వృత్తిని ప్రారంభించి, 1984లో దక్షిణ భారతదేశంలోని తమిళనాడులోని పెరంబూర్లోని ఇండియన్ రైల్వేస్ సదరన్ రైల్వే హెచ్క్యూ హాస్పిటల్కు స్పెషలిస్ట్ సర్జన్గా మారారు. బాత్రా హాస్పిటల్ అండ్ మెడికల్ రీసెర్చ్ సెంటర్లో చీఫ్ కార్డియాక్ సర్జన్, కార్డియాక్ సర్జరీ డైరెక్టర్గా ఢిల్లీకి తిరిగి వచ్చిన తర్వాత 1989 వరకు ఇతను అక్కడ పనిచేశాడు, ఈ పదవిలో ఇతను 1995 వరకు కొనసాగాడు. అపోలో హాస్పిటల్, ఇంద్రప్రస్థ, సీనియర్ కార్డియోథొరాసిక్ కన్సల్టెంట్గా తదుపరి చర్య, భారత రాజధానిలో 700 పడకల తృతీయ సంరక్షణ ఆసుపత్రి, 1996 నుండి 2003 వరకు అక్కడ పనిచేశారు. ఇతను సరోజ్ హాస్పిటల్, ఢిల్లీ (2001-2003), గాంధీ మెడికల్ కాలేజ్, భోపాల్ (2003), ఢిల్లీ హార్ట్ అండ్ లంగ్ ఇన్స్టిట్యూట్ (2003-2009), జైపూర్ గోల్డెన్ హాస్పిటల్, గోల్డెన్ హార్ట్ ఇన్స్టిట్యూట్ వంటి ఆసుపత్రులలో విజిటింగ్ కన్సల్టెంట్గా కూడా పనిచేశాడు. (2005-2009), మూల్ చంద్ హాస్పిటల్, ఢిల్లీ (2008-2009), పుష్పాంజలి ఇన్స్టిట్యూట్ ఆఫ్ కార్డియాక్ సైన్సెస్ అండ్ క్రాస్లే రెమెడీస్ డైరెక్టర్గా. 2013లో, మణి ఢిల్లీలోని సాకేత్ సిటీ ఆసుపత్రికి వెళ్లారు, అక్కడ కార్డియోథొరాసిక్ వాస్కులర్ సర్జరీకి ఛైర్మన్గా ఉన్నారు. ఇతను 1990లో స్థాపించిన మణి హార్ట్ కేర్, మేనేజింగ్ డైరెక్టర్ కూడా. గణేష్ మణి ఢిల్లీ మెడికల్ కౌన్సిల్ (1998-2004) ఎగ్జిక్యూటివ్ కౌన్సిల్ మాజీ సభ్యుడు, మెడికల్ అడ్వైజరీ బోర్డ్ క్రానిక్ కేర్ ఫౌండేషన్ (2003-2010) మాజీ సభ్యుడు, ఢిల్లీలోని హెల్త్ ఎడ్యుకేషన్ అండ్ రీసెర్చ్ ట్రస్ట్ అధ్యక్షుడు., ఇండియన్ హెల్త్కేర్ ఫెడరేషన్, జాతీయ కమిటీ సభ్యుడు. "
1017,Ganeshan Venkataraman,,
1018,Ganga Devi,,
1019,Ganga Prasad Birla,,
1020,Gangadhar Pantawane,,
1021,Gangadhar Pradhan,,
1022,Gangubai Hangal,,
1023,Ganpatbhai Patel,,
1024,Ganpatrao Jadhav,,
1025,Gary Ackerman,,
1026,Gaura Pant Shivani,,
1027,Gautam Gambhir,,
1028,Gautam Vaghela,,
1029,Gayatri Chakravorty Spivak,,
1030,Gayatri Sankaran,,
1031,Geet Sethi,,
1032,Geeta Chandran,,
1033,Geeta Dharmarajan,,
1034,Geeta Kapur,,
1035,Geeta Mahalik,"Founder Director - Geeta's Upasana
Member - Expert Committee on Odissi dance - Ministry of Culture
Member - General Council - Sangeet Natak Akademi
Member - General Council - Odisha Sangeet Natak Akademi",వ్యవస్థాపక డైరెక్టర్ - గీత ఉపాసన సభ్యుడు - ఒడిస్సీ నృత్యంపై నిపుణుల కమిటీ - సాంస్కృతిక మంత్రిత్వ శాఖ సభ్యుడు - జనరల్ కౌన్సిల్ - సంగీత నాటక అకాడమీ సభ్యుడు - జనరల్ కౌన్సిల్ - ఒడిషా సంగీత నాటక అకాడమీ. 
1036,Geeta Zutshi,,
1037,Gemini Ganesan,,
1038,Genabhai Dargabhai Patel,,
1039,Gennadi Mikhailovich Pechinkov,,
1040,George Fernandes,,
1041,George Joseph,,
1042,George L. Hart,,
1043,George Sudarshan,,
1044,George William Gregory Bird,,
1045,George Yeo,,
1046,Gertrude Emerson Sen,,
1047,Ghanakanta Bora,,
1048,Ghananand Pande,,
1049,Ghanashyam Mishra,,
1050,Ghanshyam Das,,
1051,Ghanshyam Das Birla,,
1052,Ghanshyam Das Goyal,,
1053,Ghantasala,,
1054,Ghaus Mohammad,,
1055,Ghulam Ahmad Bandey,,
1056,Ghulam Mohammad Saznawaz,,
1057,Ghulam Mohammed Mir,,
1058,Ghulam Mohammed Sadiq,,
1059,Ghulam Mustafa Khan (singer),,
1060,Ghulam Rasool Khan,,
1061,Ghulam Rasool Santosh,,
1062,Ghulam Sadiq Khan,,
1063,Ghulam Yazdani,,
1064,Giani Gurmukh Singh Musafir,,
1065,Girija Devi,,
1066,Girilal Jain,,
1067,Giriraj Kishore,,
1068,Girish Bharadwaj,,
1069,Girish Chandra Saxena,,
1070,Girish Karnad,,
1071,Girish Kasaravalli,,
1072,Girish Prabhune,,
1073,Girisha Nagarajegowda,,
1074,Gisela Bonn,,
1075,Gitchandra Tongbra,,
1076,Gjanardhana Puranik Narayana Rao,,
1077,Gladys Staines,,
1078,Gloria Arieira,,
1079,Gnanananda Kavi,,
1080,Gobardhan Panika,,
1081,Gobind Behari Lal,,
1082,Godawari Dutta,,
1083,Goel Kaikobad Sorabji Shavaksha,,
1084,Gokulbhai Bhatt,,
1085,Gokuldas Shivaldas Ahuja,,
1086,Gokulotsavji Maharaj,,
1087,Gopal Chandra Dutt,,
1088,Gopal Chandra Mitra,,
1089,Gopal Chhotray,,
1090,Gopal Gurunath Bewoor,,
1091,Gopal Krishna Saraf,,
1092,Gopal Krishna Vishwakarma,"Director General of Health Services, Government of India – 1986 to1992
Chairman – Tuberculosis Association of India (TAI)
Honorary Orthopaedic surgeon to the President of India","డైరెక్టర్ జనరల్ ఆఫ్ హెల్త్ సర్వీసెస్, భారత ప్రభుత్వం – 1986 నుండి 1992 వరకు చైర్మన్ – ట్యూబర్క్యులోసిస్ అసోసియేషన్ ఆఫ్ ఇండియా (TAI) భారత రాష్ట్రపతికి గౌరవ ఆర్థోపెడిక్ సర్జన్. "
1093,Gopal Narayan Thakkar,,
1094,Gopal Prasad Dubey,,
1095,Gopal Prasad Sinha,,
1096,Gopal Prasad Vyas,,
1097,Gopal Purushottam Phadke,,
1098,Gopala Ramanujam,,
1099,Gopalan Narasimhan,,
1100,Gopalasamy Govindarajan,,
1101,Gopaldas Neeraj,,
1102,Gopaldas Neogi Chowdhury,,
1103,Gopi Chand Mannam,,
1104,Gopi Chand Narang,,
1105,Gopi Krishna,,
1106,Gopinath Aman,,
1107,Gopinath Kaviraj,,
1108,Gopinath Mohanty,,
1109,Gopinath Pillai,,
1110,Gopiram Bargayn Burabhakat,,
1111,Gordhandas Bhagwandas Narottamdas,,
1112,Goriparthi Narasimha Raju Yadav,,
1113,Goro Koyama,,
1114,Gosasp Maneckji Sorabji Captain,,
1115,Gostha Pal,,
1116,Gottipati Brahmaiah,,
1117,Gouri Sen,,
1118,Govardan Kumari,,
1119,Goverdhan Mehta,"Chairman, Board of Governors, Indian Institute of Technology Jodhpur
Chairman, National Accreditation Board for Education & Training, Quality Council of India
President of Indian National Science Academy.
Fellow of the Royal Society.
Foreign member of the Russian Academy of Sciences.
Physical Sciences Jury member, Infosys Prize (2012–2015)
President of IUPAC.
Director of the Indian Institute of Science (1998–2005) and vice-chancellor of the University of Hyderabad (1994–1998).
National Research Professor.
Member, board of directors of the Institute of Life Sciences.","ఛైర్మన్, బోర్డ్ ఆఫ్ గవర్నర్స్, ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీ జోధ్పూర్ ఛైర్మన్, నేషనల్ అక్రిడిటేషన్ బోర్డ్ ఫర్ ఎడ్యుకేషన్ & ట్రైనింగ్, క్వాలిటీ కౌన్సిల్ ఆఫ్ ఇండియా ఇండియన్ నేషనల్ సైన్స్ అకాడమీ అధ్యక్షుడు. రాయల్ సొసైటీ సహచరుడు. రష్యన్ అకాడమీ ఆఫ్ సైన్సెస్, విదేశీ సభ్యుడు. ఫిజికల్ సైన్సెస్ జ్యూరీ సభ్యుడు, ఇన్ఫోసిస్ ప్రైజ్ (2012–2015) IUPAC ప్రెసిడెంట్. ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ సైన్స్ డైరెక్టర్ (1998–2005), యూనివర్సిటీ ఆఫ్ హైదరాబాద్ వైస్-ఛాన్సలర్ (1994–1998). నేషనల్ రీసెర్చ్ ప్రొఫెసర్. ఇన్స్టిట్యూట్ ఆఫ్ లైఫ్ సైన్సెస్, డైరెక్టర్ల బోర్డు సభ్యుడు. "
1120,Govind Bhimachary Joshi,,
1121,Govind Chandra Pande,,
1122,Govind Narain,,
1123,Govind Nihalani,,
1124,Govind Pandurang Kane,,
1125,Govind Ram Hada,,
1126,Govind Ram Nirmalkar,,
1127,Govind Sakharam Sardesai,,
1128,Govind Swarup,,
1129,Govinda Pillai Unnikrishna Menon,,
1130,Govindan Sundararajan,,
1131,Govindan Vijayaraghavan,,
1132,Govindappa Venkataswamy,,
1133,Govindarajan Padmanaban,,
1134,Govinddas Mannulal Shroff,,
1135,Gowri Ishwaran,,
1136,Grace Louise McCann Morley,,
1137,Grace Mary Linnel,,
1138,Granville Austin,,
1139,Grigoriy Lvovitch Bondarevsky,,
1140,Grigory Bongard-Levin,,
1141,Gubbi Veeranna,,
1142,Guduru Venkatachalam,,
1143,Gujarmal Modi,,
1144,Gul Bardhan,,
1145,Gulab Bai,,
1146,Gulabdas Broker,,
1147,Gulabo Sapera,,
1148,Gulam Mohammed Sheikh,,
1149,Gulam Qadir Lala,,
1150,Gulam Rabbani Taban,,
1151,Gulam Rusull Khan,,
1152,Gulestan Rustom Billimoria,,
1153,Gulfam Ahmed,,
1154,Gullapalli Nageswara Rao,,
1155,Gulshan Lal Tandon,,
1156,Gulshan Nanda,,
1157,Gulshan Rai,,
1158,Gulshan Rai Khatri,,
1159,Gulzar,,
1160,Gulzarilal Nanda,,
1161,Gummadi,,
1162,Gundappa Viswanath,,
1163,Gundu Bandopent Meemamsi,,
1164,Gunter Kruger,,
1165,Gunupati Venkata Krishna Reddy,,
1166,Gunvant Shah,,
1167,Gurbachan Jagat,,
1168,Gurbachan Singh Randhawa,,
1169,Gurbachan Singh Sindhu,,
1170,Gurbachan Singh Talib,,
1171,Gurcharan Singh,,
1172,Gurcharan Singh Kalkat,,
1173,Gurdev Singh Khush,,
1174,Gurdial Singh,,
1175,Gurdial Singh (mountaineer),,
1176,Gurdip Singh,,
1177,Gurdip Singh Randhawa,,
1178,Gurmayum Anita Devi,,
1179,Gurram Jashuva,,
1180,Gursaran Talwar,,
1181,Guru Aribam Surchand Sharma,,
1182,Guru Hanuman,,
1183,Guru Kunchu Kurup,,
1184,Guru Maa Kamali Soren,,
1185,Gurudas Mal,,
1186,Gurumayum Gourakishor Sharma,,
1187,Gury Marchuk,,
1188,Gyan Chand Jain,,
1189,Gyan Chandra Mishra,,
1190,Gyan Chaturvedi,,
1191,Gyan Singh,,
1192,Gyanesh Chandra Chatterjee,,
1193,H. Boniface Prabhu,,
1194,H. D. Shourie,,
1195,H. Govindrao Srinivasa Murthy,,
1196,H. K. Dua,,
1197,H. Kusum Sayani,,
1198,H. M. Desai,,
1199,H. P. S. Ahluwalia,"Chairman – Indian Spinal Injuries Centre.
Chairman – Planning Committee of Persons with Disability of 12 year plan and Chairman of the committee of drafting country report.
Former president – Indian Mountaineering Foundation.
Former president – Delhi Mountaineering Association.
Former chairman – Special Ability Trust (created to assist young achievers with disabilities with *fellowships and scholarships).
Former chairman – Youth Exploring Society (with its chapters in Ireland, West Germany and Italy).
Former chairman – Rehabilitation Council of India (a statutory body under the Ministry of Social Justice & Empowerment).
Member – Indira Gandhi Memorial Trust.
Member – Planning Commission – Steering committee of the Social Welfare and other special groups.
Member – National Consultation on National Policy for PwD","ఛైర్మన్ - ఇండియన్ స్పైనల్ ఇంజూరీస్ సెంటర్. ఛైర్మన్ - 12 సంవత్సరాల ప్రణాళిక, వైకల్యం ఉన్న వ్యక్తుల ప్రణాళిక కమిటీ, దేశ నివేదికను రూపొందించే కమిటీ ఛైర్మన్. మాజీ అధ్యక్షుడు - ఇండియన్ మౌంటెనీరింగ్ ఫౌండేషన్. మాజీ అధ్యక్షుడు - ఢిల్లీ పర్వతారోహణ సంఘం. మాజీ ఛైర్మన్ – స్పెషల్ ఎబిలిటీ ట్రస్ట్ (వికలాంగులైన యువ సాధకులకు *ఫెలోషిప్లు, స్కాలర్షిప్లతో సహాయం చేయడానికి సృష్టించబడింది). మాజీ ఛైర్మన్ - యూత్ ఎక్స్ప్లోరింగ్ సొసైటీ (ఐర్లాండ్, పశ్చిమ జర్మనీ, ఇటలీలో దాని అధ్యాయాలతో). మాజీ ఛైర్మన్ - రిహాబిలిటేషన్ కౌన్సిల్ ఆఫ్ ఇండియా (సామాజిక న్యాయం & సాధికారత మంత్రిత్వ శాఖ కింద ఒక చట్టబద్ధమైన సంస్థ). సభ్యురాలు - ఇందిరా గాంధీ మెమోరియల్ ట్రస్ట్. సభ్యుడు – ప్రణాళికా సంఘం – సాంఘిక సంక్షేమం, ఇతర ప్రత్యేక సమూహాల స్టీరింగ్ కమిటీ. సభ్యుడు – PwD కోసం జాతీయ విధానంపై జాతీయ సంప్రదింపులు. "
1200,H. R. Nagendra,,
1201,H. R. Shah,,
1202,H. Thegtse Rinpoche,,
1203,H. V. R. Iyengar,,
1204,H. Y. Sharada Prasad,,
1205,Habib Rahman,,
1206,Habib Tanvir,,
1207,Habibullo Rajabov,,
1208,Habibur Rahman,,
1209,Hafeez Ahmed Khan,,
1210,Hafeez Contractor,,
1211,Hafiz Ali Khan,,
1212,Hafiz Mohamad Ibrahim,,
1213,Hakam Singh,,
1214,Hakim Abdul Hameed,,
1215,Hakim Syed Khaleefathullah,"Hakim Khaleefathullah was the Honorary Physician to President of India from 1987 to 1991. He serves as the Member of the Governing Body of the Central Council for Research in Unani Medicine, New Delhi and is also the Chairman of its Clinical Research subcommittee. He was a Member of the Ayurvedic, Siddha and Unani Drugs Technical Advisory Board, Government of India  and holds many other positions.
Professor - Government Unani Medical College, Chennai
President, Central Council of Indian Medicine (1984-1995)
Vice President - Unani Committee of the Central Council of Indian Medicine
Member, Governing Body, National Institute of Unani Medicine, Bangalore (1986-1997)
Founder member and Chairman, Executive Board, Central Council for Research in Unani Medicine - Government of India(1996-1999)
Member of the Central Council for Health and Family Welfare (1999-2001)
Chairman, Unani Pharmacopoeia Committee, Ministry of Health and Family Welfare, Government of India (1998-2002)
Founder Director - Central Council of Research in Unani Medicine (CCRUM) -","హకీమ్ ఖలీఫతుల్లా 1987 నుండి 1991 వరకు భారత రాష్ట్రపతికి గౌరవ వైద్యుడు. ఇతను న్యూ ఢిల్లీలోని యునాని మెడిసిన్లో సెంట్రల్ కౌన్సిల్ ఫర్ రీసెర్చ్, పాలకమండలి సభ్యునిగా పనిచేస్తున్నాడు, దాని క్లినికల్ రీసెర్చ్ సబ్కమిటీకి ఛైర్మన్గా కూడా ఉన్నారు. ఇతను భారత ప్రభుత్వ ఆయుర్వేద, సిద్ధ, యునాని డ్రగ్స్ టెక్నికల్ అడ్వైజరీ బోర్డు సభ్యుడు, అనేక ఇతర పదవులను కలిగి ఉన్నారు. ప్రొఫెసర్ - గవర్నమెంట్ యునాని మెడికల్ కాలేజ్, చెన్నై ప్రెసిడెంట్, సెంట్రల్ కౌన్సిల్ ఆఫ్ ఇండియన్ మెడిసిన్ (1984-1995) వైస్ ప్రెసిడెంట్ - సెంట్రల్ కౌన్సిల్ ఆఫ్ ఇండియన్ మెడిసిన్ సభ్యుడు, గవర్నింగ్ బాడీ, నేషనల్ ఇన్స్టిట్యూట్ ఆఫ్ యునాని మెడిసిన్, బెంగళూరు (1986-1997) వ్యవస్థాపక సభ్యుడు, చైర్మన్, ఎగ్జిక్యూటివ్ బోర్డ్, సెంట్రల్ కౌన్సిల్ ఫర్ రీసెర్చ్ ఇన్ యునాని మెడిసిన్ - భారత ప్రభుత్వం (1996-1999) సెంట్రల్ కౌన్సిల్ ఫర్ హెల్త్ అండ్ ఫ్యామిలీ వెల్ఫేర్ సభ్యుడు (1999-2001)చైర్మన్, యునాని ఫార్మకోపోయియా కమిటీ, ఆరోగ్య, కుటుంబ సంక్షేమ మంత్రిత్వ శాఖ, ప్రభుత్వం భారతదేశం (1998-2002) వ్యవస్థాపక డైరెక్టర్ - సెంట్రల్ కౌన్సిల్ ఆఫ్ రీసెర్చ్ ఇన్ యునాని మెడిసిన్ (CCRUM) -. "
1216,Hakim Syed Zillur Rahman,,
1217,Haku Shah,,
1218,Haldhar Nag,,
1219,Hamidi Kashmiri,,
1220,Hamlet Bareh,,
1221,Hanamant Narhar 'Sudhanshu' Joshi,,
1222,Handel Manuel,,
1223,Hans Raj Hans,,
1224,Hans Raj Khanna,,
1225,Hansa Jivraj Mehta,,
1226,Hanumanbax Kanoi,,
1227,Hanumappa Sudarshan,,
1228,Haobam Ongbi Ngangbi Devi,,
1229,Har Gobind Khorana,,
1230,Har Krishna Lal Sethi,,
1231,Har Mander Singh,,
1232,Harbaksh Singh,,
1233,Harbans Singh Jolly,,
1234,Harbans Singh Wasir,,
1235,Harbhajan Singh,,
1236,Harbhajan Singh (mountaineer),,
1237,Harbhajan Singh Rissam,,
1238,Harbhajan Sinha,,
1239,Harekala Hajabba,,
1240,Hargovind Laxmishanker Trivedi,,
1241,Hari Chand Dewan,,
1242,Hari Govindrao Vartak,,
1243,Hari Kant Dang,,
1244,Hari Krishan Jain,,
1245,Hari Krishan Wattal,,
1246,Hari Narain,,
1247,Hari Prasad Jaiswal,,
1248,Hari Shankar Sharma,,
1249,Hari Shankar Singhania,,
1250,Hari Uppal,,
1251,Hari Vinayak Pataskar,,
1252,Haribhau Upadhyaya,,
1253,Haridas Siddhanta Bagish,,
1254,Haridas Thongram,,
1255,Haridwaramangalam A. K. Palanivel,,
1256,Harihar Kripalu Tripathi,,
1257,Hariharan,,
1258,Hariharan Srinivasan,,
1259,Harika Dronavalli,,
1260,Harindranath Chattopadhyay,,
1261,Hariprasad Chaurasia,,
1262,Harischandra Kashnath Karve,,
1263,Harish Chandra Sarin,,
1264,Harish Chandra Singh Rawat,,
1265,Harish Chandra Verma,,
1266,Harish Salve,,
1267,Harish-Chandra,,
1268,Harishankar Parsai,,
1269,Harishchandra Gopal Patil,,
1270,Harivansh Rai Bachchan,,
1271,Harkishan Singh,,
1272,Harnam Das Wahi,,
1273,Haroon Khan Sherwani,,
1274,Harpinder Singh Chawla,,
1275,Harsh Gupta,,
1276,Harsh Kumar,,
1277,Harsh Mahajan,,
1278,Harsh Vardhan Bahuguna,,
1279,Harshavardhan Neotia,,
1280,Harshel Sawi Luaia,,
1281,Harvinder Singh Phoolka,,
1282,Hashmat Ullah Khan,,
1283,Hasmukh Chamanlal Shah,,
1284,Hasmukh Dhirajlal Sankalia,,
1285,Hasmukhbhai Parekh,,
1286,Hassan Nasiem Siddiquie,,
1287,Hazari Prasad Dwivedi,,
1288,Heinrich von Stietencron,,
1289,Heisnam Kanhailal,,
1290,Helen,,
1291,Helen Giri,,
1292,Hema Bharali,,
1293,Hema Malini,,
1294,Hemendra Prasad Barooah,"Hemendra Barooah has served in many positions. Besides heading his business concerns such as B&A Ltd and B&A Packings, he has also served as the Chairman of the Bengal Chamber of Commerce and Industry. He was also a member of the Tea Board during the period 1963 - 1973. He was also the Chairman of the Eastern chapter of the State Bank of India, the Director of Indian Airlines Corporation, member of the Central Advisory Council for Industrial Development, New Delhi and the Chairman of the Tea Research Association.","హేమేంద్ర బరూహ్ అనేక హోదాల్లో పనిచేశారు. B&A Ltd, B&A ప్యాకింగ్స్ వంటి తన వ్యాపార ఆందోళనలకు నాయకత్వం వహించడంతో పాటు, ఇతను బెంగాల్ ఛాంబర్ ఆఫ్ కామర్స్ అండ్ ఇండస్ట్రీ ఛైర్మన్గా కూడా పనిచేశాడు. ఇతను 1963 - 1973 కాలంలో టీ బోర్డు సభ్యుడు కూడా. ఇతను స్టేట్ బ్యాంక్ ఆఫ్ ఇండియా తూర్పు చాప్టర్ చైర్మన్, ఇండియన్ ఎయిర్లైన్స్ కార్పొరేషన్ డైరెక్టర్, సెంట్రల్ అడ్వైజరీ కౌన్సిల్ ఫర్ ఇండస్ట్రియల్ డెవలప్మెంట్, న్యూఢిల్లీ సభ్యుడు, టీ రీసెర్చ్ అసోసియేషన్ ఛైర్మన్గా కూడా ఉన్నారు. "
1295,Hemendra Singh Panwar,,
1296,Hemi Bawa,,
1297,Hemlata Gupta,,
1298,Henning Holck-Larsen,,
1299,Herbert Alexandrovich Yefremov,,
1300,Herbert Fischer,,
1301,Hermann Kulke,,
1302,Hermenegild Santapau,,
1303,Hilda Mary Lazarus,,
1304,Hildamit Lepcha,,
1305,Himangshu Mohan Choudhury,,
1306,Himanshu Kumar Banerjee,,
1307,Himmata Ram Bhambhu,,
1308,Hira Lall Sibal,,
1309,Hirabai Barodekar,,
1310,Hiralal Yadav,,
1311,Hirebettu Sadananda Kamath,,
1312,Hirendranath Mukherjee,,
1313,Hisam-ud-din Usta,,
1314,Homai Vyarawalla,,
1315,Homi Cawas Sethnas,,
1316,Homi J. H. Taleyarkhan,,
1317,Homi Jehangir Bhabha,,
1318,Homi K. Bhabha,,
1319,Homi Nusserwanji Sethna,,
1320,Homi Sethna,,
1321,Horace Alexander,,
1322,Hormasji Maneckji Seervai,,
1323,Hormazdiar Jamshedi Muncherji Desai,,
1324,Hosagrahar Chandrashekhariah Visvesvaraya,,
1325,Hosei Norota,,
1326,Hosur Narasimhaiah,,
1327,Hrangaia,,
1328,Hridaynath Mangeshkar,,
1329,Hrishikesh Mukherjee,,
1330,Huang Baosheng,,
1331,Hui Lan Zhang,,
1332,Hukmdev Narayan Yadav,,
1333,Hukumchand Patidar,,
1334,Humayun Mirza,,
1335,Humpy Koneru,,
1336,Hun Many,,
1337,Hundraj Lial Ram Dukhayal Manik,,
1338,Hussain Ahmad Madani,,
1339,I Nyoman Nuarta,,
1340,I. G. Patel,,
1341,I. V. Subba Rao,,
1342,Ibrahim Sutar,,
1343,Ignace Tirkey,,
1344,Ijwant Singh,,
1345,Ilaiyaraaja,,
1346,Ileana Citaristi,,
1347,Illias Ali,,
1348,Imitiaz Qureshi,,
1349,Immaneni Sathyamurthy,,
1350,Imran Shah,,
1351,Inder Mohan,,
1352,Inder Sharma,,
1353,Inderjit Kaur Barthakur,,
1354,Inderjit Singh Gill,,
1355,Indira Chakravarty,,
1356,Indira Hinduja,,
1357,Indira Jaising,,
1358,Indira Miri,,
1359,Indira Nath,,
1360,Indira P. P. Bora,,
1361,Indra Dassanayake,,
1362,Indra Kumar Gupta,,
1363,Indra Nooyi,,
1364,Indrani Rahman,,
1365,Indu Bhushan Sinha,,
1366,Indu Jain,,
1367,Indumati Chimanlal Sheth,,
1368,Iravatham Mahadevan,,
1369,Irfan Habib,"He was Coordinator/Chairman of the Centre for Advanced Studies, AMU from 1975–77 and 1984–94. He was Chairman of the Indian Council of Historical Research during 1986–90. He was the general secretary, Sectional President, and then the General President of the Indian History Congress (1981).","ఇతను 1975–77, 1984–94 వరకు సెంటర్ ఫర్ అడ్వాన్స్డ్ స్టడీస్, AMU కోఆర్డినేటర్/ఛైర్మన్గా ఉన్నారు. ఇతను 1986-90 సమయంలో ఇండియన్ కౌన్సిల్ ఆఫ్ హిస్టారికల్ రీసెర్చ్ ఛైర్మన్గా ఉన్నాడు. ఇతను ఇండియన్ హిస్టరీ కాంగ్రెస్ (1981) జనరల్ సెక్రటరీ, సెక్షనల్ ప్రెసిడెంట్, జనరల్ ప్రెసిడెంట్. "
1370,Irrfan Khan,,
1371,Irshad Mirza,,
1372,Irwin Allan Sealy,,
1373,Isaac Santra,,
1374,Isher Judge Ahluwalia,,
1375,Ishrat Ali Siddiqui,,
1376,Ishwar Chandra Gupta,,
1377,Ishwarbhai Jivaram Patel,,
1378,Ishwari Prasad,,
1379,Ismail Ahmed Cachalia,,
1380,Ismail Merchant,,
1381,Ismat Chughtai,,
1382,Ismaïl Omar Guelleh,,
1383,Ivy Khan,,
1384,Iyyanki Venkata Ramanayya,,
1385,J. A. K. Tareen,,
1386,J. Hareendran Nair,,
1387,J. L. Kaul,,
1388,J. Malsawma,,
1389,J. N. Chaudhry,,
1390,J. N. Saksena,,
1391,J. R. D. Tata,,
1392,J. R. Gangaramani,,
1393,J. S. Grewal,,
1394,J. S. Guleria,,
1395,J. S. Mahashabde,,
1396,J. S. Rajput,,
