,Recipients,family,family Telugu
1013,Gambhir Singh Mura,,
1014,Ganda Singh,,
1015,Ganesh Gobind Karkhanis,,
1016,Ganesh Kumar Mani,,
1017,Ganeshan Venkataraman,,
1018,Ganga Devi,,
1019,Ganga Prasad Birla,,
1020,Gangadhar Pantawane,,
1021,Gangadhar Pradhan,,
1022,Gangubai Hangal,,
1023,Ganpatbhai Patel,,
1024,Ganpatrao Jadhav,,
1025,Gary Ackerman,,
1026,Gaura Pant Shivani,"Shivani was married to Shuk Deo Pant, a teacher who worked in the Education Department of Uttar Pradesh, which led to the family travelling to various places including Allahabad and Priory Lodge in Nainital, before settling in Lucknow, where she stayed till her last days. She had four children, seven grandchildren and three great-grandchildren.
Her husband died at an early age, leaving her to take care of the four children. She had two daughters, Mrinal Pande and Ira Pande.","శివాని ఉత్తరప్రదేశ్లోని విద్యాశాఖలో పనిచేసిన ఉపాధ్యాయుడు శుక్ దేవ్ పంత్ను వివాహం చేసుకున్నారు, దీనివల్ల కుటుంబం అలహాబాద్, నైనిటాల్లోని ప్రియరీ లాడ్జ్తో సహా పలు ప్రాంతాలకు వెళ్లడానికి దారితీసింది, లక్నోలో స్థిరపడటానికి ముందు, ఈమె చివరి రోజుల వరకు అక్కడే ఉంది. ఈమెకు నలుగురు పిల్లలు, ఏడుగురు మనుమలు, ముగ్గురు మనవరాళ్ళు ఉన్నారు. భర్త చిన్నతనంలోనే చనిపోవడంతో నలుగురు పిల్లలను చూసుకోవాల్సిన బాధ్యత ఈమెదే. ఈమెకు మృణాల్ పాండే, ఇరా పాండే అనే ఇద్దరు కుమార్తెలు ఉన్నారు. "
1027,Gautam Gambhir,,
1028,Gautam Vaghela,,
1029,Gayatri Chakravorty Spivak,,
1030,Gayatri Sankaran,,
1031,Geet Sethi,,
1032,Geeta Chandran,,
1033,Geeta Dharmarajan,,
1034,Geeta Kapur,,
1035,Geeta Mahalik,,
1036,Geeta Zutshi,,
1037,Gemini Ganesan,,
1038,Genabhai Dargabhai Patel,,
1039,Gennadi Mikhailovich Pechinkov,,
1040,George Fernandes,,
1041,George Joseph,,
1042,George L. Hart,,
1043,George Sudarshan,,
1044,George William Gregory Bird,,
1045,George Yeo,,
1046,Gertrude Emerson Sen,,
1047,Ghanakanta Bora,,
1048,Ghananand Pande,,
1049,Ghanashyam Mishra,,
1050,Ghanshyam Das,,
1051,Ghanshyam Das Birla,,
1052,Ghanshyam Das Goyal,,
1053,Ghantasala,,
1054,Ghaus Mohammad,,
1055,Ghulam Ahmad Bandey,,
1056,Ghulam Mohammad Saznawaz,,
1057,Ghulam Mohammed Mir,,
1058,Ghulam Mohammed Sadiq,,
1059,Ghulam Mustafa Khan (singer),,
1060,Ghulam Rasool Khan,,
1061,Ghulam Rasool Santosh,,
1062,Ghulam Sadiq Khan,,
1063,Ghulam Yazdani,,
1064,Giani Gurmukh Singh Musafir,,
1065,Girija Devi,,
1066,Girilal Jain,,
1067,Giriraj Kishore,,
1068,Girish Bharadwaj,,
1069,Girish Chandra Saxena,,
1070,Girish Karnad,,
1071,Girish Kasaravalli,,
1072,Girish Prabhune,,
1073,Girisha Nagarajegowda,,
1074,Gisela Bonn,,
1075,Gitchandra Tongbra,,
1076,Gjanardhana Puranik Narayana Rao,,
1077,Gladys Staines,,
1078,Gloria Arieira,,
1079,Gnanananda Kavi,,
1080,Gobardhan Panika,,
1081,Gobind Behari Lal,,
1082,Godawari Dutta,,
1083,Goel Kaikobad Sorabji Shavaksha,,
1084,Gokulbhai Bhatt,,
1085,Gokuldas Shivaldas Ahuja,,
1086,Gokulotsavji Maharaj,,
1087,Gopal Chandra Dutt,,
1088,Gopal Chandra Mitra,,
1089,Gopal Chhotray,,
1090,Gopal Gurunath Bewoor,"General Bewoor was married to Radhika Gokhale on 12 March 1943.  They had two sons and a daughter.
His son Group Captain Anant Bewoor (Retd), served in the Indian Air Force and saw action with the IPKF in Sri Lanka and during the Siachen operations, and was the Commanding Officer (CO) of the 44th Squadron, which flies the IL-76 heavy-lift military transport aircraft. His younger son, Keshav Bewoor, is also an Air Force officer, and retired from service in the rank of Air Vice Marshal.
Arun Bewoor, former Managing Director, International Flavors and Fragrances is the son of his late brother Madhav Gurunath Bewoor.Meenakshi Bakhle (wife of D.S. Bakhle, ICS) was General Bewoor's sister.  She was a president of the Maharashtra State Women's Council. For her (minor) role in the Samyukta Maharashtra controversy in 1956 she was famously referred to as कोमडी चोमडी मिनाक्षी (""Komdi Chomdi Meenakshi"") by ""Acharya"" Prahlad Keshav Atre and satirized as a अति विशाल महिला (""Ati Vishaal Mahilaa"") in the famous P","జనరల్ బేవూర్ 1943 మార్చి 12న రాధికా గోఖలేను వివాహం చేసుకున్నారు. వీరికి ఇద్దరు కుమారులు, ఒక కుమార్తె ఉన్నారు. అతని కుమారుడు గ్రూప్ కెప్టెన్ అనంత్ బేవూర్ (రిటైర్డ్), భారత వైమానిక దళంలో పనిచేశాడు, శ్రీలంకలో, సియాచిన్ కార్యకలాపాల సమయంలో IPKFతో చర్య తీసుకున్నాడు, IL-76ను నడిపే 44వ స్క్వాడ్రన్కు కమాండింగ్ ఆఫీసర్ (CO)గా ఉన్నాడు. భారీ-లిఫ్ట్ సైనిక రవాణా విమానం. అతని చిన్న కుమారుడు కేశవ్ బేవూర్ కూడా ఎయిర్ ఫోర్స్ అధికారి, ఎయిర్ వైస్ మార్షల్ హోదాలో రిటైర్ అయ్యారు. అరుణ్ బేవూర్, ఇంటర్నేషనల్ ఫ్లేవర్స్ అండ్ ఫ్రాగ్రాన్సెస్ మాజీ మేనేజింగ్ డైరెక్టర్, ఆయన దివంగత సోదరుడు మాధవ్ గురునాథ్ బేవూర్ కుమారుడు. మీనాక్షి బఖ్లే (డి భార్య. ఎస్. బఖ్లే, ICS) జనరల్ బేవూర్ సోదరి. ఈమె మహారాష్ట్ర రాష్ట్ర మహిళా మండలి అధ్యక్షురాలు. For her (minor) role in the Samyukta Maharashtra controversy in 1956 she was famously referred to as कोमडी चोमडी मिनाक्षी (""Komdi Chomdi Meenakshi"") by ""Acharya"" Prahlad Keshav Atre and satirized as a अति विशाल महिला (""Ati Vishaal Mahilaa"") in the famous P. "
1091,Gopal Krishna Saraf,,
1092,Gopal Krishna Vishwakarma,,
1093,Gopal Narayan Thakkar,,
1094,Gopal Prasad Dubey,,
1095,Gopal Prasad Sinha,,
1096,Gopal Prasad Vyas,,
1097,Gopal Purushottam Phadke,,
1098,Gopala Ramanujam,,
1099,Gopalan Narasimhan,,
1100,Gopalasamy Govindarajan,,
1101,Gopaldas Neeraj,,
1102,Gopaldas Neogi Chowdhury,,
1103,Gopi Chand Mannam,,
1104,Gopi Chand Narang,,
1105,Gopi Krishna,,
1106,Gopinath Aman,,
1107,Gopinath Kaviraj,,
1108,Gopinath Mohanty,,
1109,Gopinath Pillai,,
1110,Gopiram Bargayn Burabhakat,,
1111,Gordhandas Bhagwandas Narottamdas,,
1112,Goriparthi Narasimha Raju Yadav,,
1113,Goro Koyama,,
1114,Gosasp Maneckji Sorabji Captain,,
1115,Gostha Pal,,
1116,Gottipati Brahmaiah,,
1117,Gouri Sen,,
1118,Govardan Kumari,,
1119,Goverdhan Mehta,,
1120,Govind Bhimachary Joshi,,
1121,Govind Chandra Pande,,
1122,Govind Narain,,
1123,Govind Nihalani,,
1124,Govind Pandurang Kane,,
1125,Govind Ram Hada,,
1126,Govind Ram Nirmalkar,,
1127,Govind Sakharam Sardesai,,
1128,Govind Swarup,,
1129,Govinda Pillai Unnikrishna Menon,,
1130,Govindan Sundararajan,,
1131,Govindan Vijayaraghavan,,
1132,Govindappa Venkataswamy,,
1133,Govindarajan Padmanaban,,
1134,Govinddas Mannulal Shroff,,
1135,Gowri Ishwaran,,
1136,Grace Louise McCann Morley,,
1137,Grace Mary Linnel,,
1138,Granville Austin,,
1139,Grigoriy Lvovitch Bondarevsky,,
1140,Grigory Bongard-Levin,,
1141,Gubbi Veeranna,,
1142,Guduru Venkatachalam,,
1143,Gujarmal Modi,,
1144,Gul Bardhan,,
1145,Gulab Bai,,
1146,Gulabdas Broker,,
1147,Gulabo Sapera,,
1148,Gulam Mohammed Sheikh,,
1149,Gulam Qadir Lala,,
1150,Gulam Rabbani Taban,,
1151,Gulam Rusull Khan,,
1152,Gulestan Rustom Billimoria,,
1153,Gulfam Ahmed,,
1154,Gullapalli Nageswara Rao,,
1155,Gulshan Lal Tandon,,
1156,Gulshan Nanda,,
1157,Gulshan Rai,,
1158,Gulshan Rai Khatri,,
1159,Gulzar,,
1160,Gulzarilal Nanda,,
1161,Gummadi,,
1162,Gundappa Viswanath,,
1163,Gundu Bandopent Meemamsi,,
1164,Gunter Kruger,,
1165,Gunupati Venkata Krishna Reddy,,
1166,Gunvant Shah,,
1167,Gurbachan Jagat,,
1168,Gurbachan Singh Randhawa,,
1169,Gurbachan Singh Sindhu,,
1170,Gurbachan Singh Talib,,
1171,Gurcharan Singh,,
1172,Gurcharan Singh Kalkat,,
1173,Gurdev Singh Khush,,
1174,Gurdial Singh,,
1175,Gurdial Singh (mountaineer),,
1176,Gurdip Singh,,
1177,Gurdip Singh Randhawa,,
1178,Gurmayum Anita Devi,,
1179,Gurram Jashuva,,
1180,Gursaran Talwar,,
1181,Guru Aribam Surchand Sharma,,
1182,Guru Hanuman,,
1183,Guru Kunchu Kurup,,
1184,Guru Maa Kamali Soren,,
1185,Gurudas Mal,,
1186,Gurumayum Gourakishor Sharma,,
1187,Gury Marchuk,,
1188,Gyan Chand Jain,,
1189,Gyan Chandra Mishra,,
1190,Gyan Chaturvedi,,
1191,Gyan Singh,,
1192,Gyanesh Chandra Chatterjee,,
1193,H. Boniface Prabhu,,
1194,H. D. Shourie,"His son is Arun Shourie, former Minister for Communications, IT and Disinvestment and one of India's best known journalists.
Another son is Deepak Shourie, managing director, Discovery Communications India. 
Nalini Singh, TV journalist-anchor and managing director, TV Live India Pvt Ltd.is his daughter.","అతని కుమారుడు అరుణ్ శౌరీ, కమ్యూనికేషన్స్, ఐటీ, డిజిన్వెస్ట్మెంట్ మాజీ మంత్రి, భారతదేశంలోని ప్రసిద్ధ పాత్రికేయులలో ఒకరు. మరో కుమారుడు డిస్కవరీ కమ్యూనికేషన్స్ ఇండియా మేనేజింగ్ డైరెక్టర్ దీపక్ శౌరీ. నళినీ సింగ్, TV జర్నలిస్ట్-యాంకర్, మేనేజింగ్ డైరెక్టర్, TV Live India Pvt Ltd. అతని కూతురు. "
1195,H. Govindrao Srinivasa Murthy,,
1196,H. K. Dua,,
1197,H. Kusum Sayani,,
1198,H. M. Desai,,
1199,H. P. S. Ahluwalia,,
1200,H. R. Nagendra,,
1201,H. R. Shah,,
1202,H. Thegtse Rinpoche,,
1203,H. V. R. Iyengar,,
1204,H. Y. Sharada Prasad,,
1205,Habib Rahman,,
1206,Habib Tanvir,,
1207,Habibullo Rajabov,,
1208,Habibur Rahman,,
1209,Hafeez Ahmed Khan,,
1210,Hafeez Contractor,,
1211,Hafiz Ali Khan,,
1212,Hafiz Mohamad Ibrahim,,
1213,Hakam Singh,,
1214,Hakim Abdul Hameed,,
1215,Hakim Syed Khaleefathullah,,
1216,Hakim Syed Zillur Rahman,,
1217,Haku Shah,,
1218,Haldhar Nag,,
1219,Hamidi Kashmiri,,
1220,Hamlet Bareh,,
1221,Hanamant Narhar 'Sudhanshu' Joshi,,
1222,Handel Manuel,,
1223,Hans Raj Hans,,
1224,Hans Raj Khanna,,
1225,Hansa Jivraj Mehta,,
1226,Hanumanbax Kanoi,,
1227,Hanumappa Sudarshan,,
1228,Haobam Ongbi Ngangbi Devi,,
1229,Har Gobind Khorana,,
1230,Har Krishna Lal Sethi,,
1231,Har Mander Singh,,
1232,Harbaksh Singh,,
1233,Harbans Singh Jolly,,
1234,Harbans Singh Wasir,,
1235,Harbhajan Singh,,
1236,Harbhajan Singh (mountaineer),,
1237,Harbhajan Singh Rissam,,
1238,Harbhajan Sinha,,
1239,Harekala Hajabba,,
1240,Hargovind Laxmishanker Trivedi,,
1241,Hari Chand Dewan,,
1242,Hari Govindrao Vartak,,
1243,Hari Kant Dang,,
1244,Hari Krishan Jain,,
1245,Hari Krishan Wattal,,
1246,Hari Narain,,
1247,Hari Prasad Jaiswal,,
1248,Hari Shankar Sharma,,
1249,Hari Shankar Singhania,,
1250,Hari Uppal,,
1251,Hari Vinayak Pataskar,,
1252,Haribhau Upadhyaya,,
1253,Haridas Siddhanta Bagish,,
1254,Haridas Thongram,,
1255,Haridwaramangalam A. K. Palanivel,,
1256,Harihar Kripalu Tripathi,,
1257,Hariharan,,
1258,Hariharan Srinivasan,,
1259,Harika Dronavalli,,
1260,Harindranath Chattopadhyay,,
1261,Hariprasad Chaurasia,,
1262,Harischandra Kashnath Karve,,
1263,Harish Chandra Sarin,,
1264,Harish Chandra Singh Rawat,,
1265,Harish Chandra Verma,,
1266,Harish Salve,,
1267,Harish-Chandra,,
1268,Harishankar Parsai,,
1269,Harishchandra Gopal Patil,,
1270,Harivansh Rai Bachchan,,
1271,Harkishan Singh,,
1272,Harnam Das Wahi,,
1273,Haroon Khan Sherwani,,
1274,Harpinder Singh Chawla,,
1275,Harsh Gupta,,
1276,Harsh Kumar,,
1277,Harsh Mahajan,,
1278,Harsh Vardhan Bahuguna,,
1279,Harshavardhan Neotia,,
1280,Harshel Sawi Luaia,,
1281,Harvinder Singh Phoolka,,
1282,Hashmat Ullah Khan,,
1283,Hasmukh Chamanlal Shah,,
1284,Hasmukh Dhirajlal Sankalia,,
1285,Hasmukhbhai Parekh,,
1286,Hassan Nasiem Siddiquie,,
1287,Hazari Prasad Dwivedi,,
1288,Heinrich von Stietencron,,
1289,Heisnam Kanhailal,,
1290,Helen,,
1291,Helen Giri,,
1292,Hema Bharali,,
1293,Hema Malini,,
1294,Hemendra Prasad Barooah,,
1295,Hemendra Singh Panwar,,
1296,Hemi Bawa,,
1297,Hemlata Gupta,,
1298,Henning Holck-Larsen,,
1299,Herbert Alexandrovich Yefremov,,
1300,Herbert Fischer,,
1301,Hermann Kulke,,
1302,Hermenegild Santapau,,
1303,Hilda Mary Lazarus,,
1304,Hildamit Lepcha,,
1305,Himangshu Mohan Choudhury,,
1306,Himanshu Kumar Banerjee,,
1307,Himmata Ram Bhambhu,,
1308,Hira Lall Sibal,,
1309,Hirabai Barodekar,She was married to Shri Manikrao Gandhi-Barodekar.,ఈమె శ్రీ మాణిక్రావ్ గాంధీ-బరోడేకర్ను వివాహం చేసుకుంది. 
1310,Hiralal Yadav,,
1311,Hirebettu Sadananda Kamath,,
1312,Hirendranath Mukherjee,,
1313,Hisam-ud-din Usta,,
1314,Homai Vyarawalla,,
1315,Homi Cawas Sethnas,,
1316,Homi J. H. Taleyarkhan,,
1317,Homi Jehangir Bhabha,,
1318,Homi K. Bhabha,,
1319,Homi Nusserwanji Sethna,,
1320,Homi Sethna,,
1321,Horace Alexander,,
1322,Hormasji Maneckji Seervai,,
1323,Hormazdiar Jamshedi Muncherji Desai,,
1324,Hosagrahar Chandrashekhariah Visvesvaraya,,
1325,Hosei Norota,,
1326,Hosur Narasimhaiah,,
1327,Hrangaia,,
1328,Hridaynath Mangeshkar,,
1329,Hrishikesh Mukherjee,,
1330,Huang Baosheng,,
1331,Hui Lan Zhang,,
1332,Hukmdev Narayan Yadav,,
1333,Hukumchand Patidar,,
1334,Humayun Mirza,,
1335,Humpy Koneru,,
1336,Hun Many,,
1337,Hundraj Lial Ram Dukhayal Manik,,
1338,Hussain Ahmad Madani,,
1339,I Nyoman Nuarta,,
1340,I. G. Patel,,
1341,I. V. Subba Rao,,
1342,Ibrahim Sutar,,
1343,Ignace Tirkey,,
1344,Ijwant Singh,,
1345,Ilaiyaraaja,,
1346,Ileana Citaristi,,
1347,Illias Ali,,
1348,Imitiaz Qureshi,,
1349,Immaneni Sathyamurthy,,
1350,Imran Shah,,
1351,Inder Mohan,,
1352,Inder Sharma,,
1353,Inderjit Kaur Barthakur,,
1354,Inderjit Singh Gill,,
1355,Indira Chakravarty,,
1356,Indira Hinduja,,
1357,Indira Jaising,,
1358,Indira Miri,,
1359,Indira Nath,,
1360,Indira P. P. Bora,,
1361,Indra Dassanayake,,
1362,Indra Kumar Gupta,,
1363,Indra Nooyi,,
1364,Indrani Rahman,,
1365,Indu Bhushan Sinha,,
1366,Indu Jain,,
1367,Indumati Chimanlal Sheth,,
1368,Iravatham Mahadevan,,
1369,Irfan Habib,,
1370,Irrfan Khan,,
1371,Irshad Mirza,,
1372,Irwin Allan Sealy,,
1373,Isaac Santra,,
1374,Isher Judge Ahluwalia,,
1375,Ishrat Ali Siddiqui,,
1376,Ishwar Chandra Gupta,,
1377,Ishwarbhai Jivaram Patel,,
1378,Ishwari Prasad,,
1379,Ismail Ahmed Cachalia,,
1380,Ismail Merchant,,
1381,Ismat Chughtai,,
1382,Ismaïl Omar Guelleh,,
1383,Ivy Khan,,
1384,Iyyanki Venkata Ramanayya,,
1385,J. A. K. Tareen,,
1386,J. Hareendran Nair,,
1387,J. L. Kaul,,
1388,J. Malsawma,,
1389,J. N. Chaudhry,,
1390,J. N. Saksena,,
1391,J. R. D. Tata,,
1392,J. R. Gangaramani,,
1393,J. S. Grewal,,
1394,J. S. Guleria,,
1395,J. S. Mahashabde,,
1396,J. S. Rajput,,
1397,J. S. Titiyal,,
1398,Jabbar Patel,,
1399,Jack Gibson,,
1400,Jacob Chandy,,
1401,Jacob Cherian,,
1402,Jacques Blamont,,
1403,Jadav Payeng,,
1404,Jadeng Buana,,
1405,Jadunath Supakar,,
1406,Jafar Ali Khan,,
1407,Jag Parvesh Chandra,,
1408,Jagadish Chandra Halder,,
1409,Jagadish Shukla,,
1410,Jagan Nath Kaul,,
1411,Jagannath Krishna Kate,,
1412,Jagat Ram,,
1413,Jagat Singh Mehta,,
1414,Jagdamba Devi,,
1415,Jagdish Bhagwati,,
1416,Jagdish Chandra Kapur,,
1417,Jagdish Chandra Mittal,,
1418,Jagdish Chaturvedi,,
1419,Jagdish Chaudhary,,
1420,Jagdish Kashibhai Patel,,
1421,Jagdish Lal,,
1422,Jagdish Lal Ahuja,,
1423,Jagdish Mitra Pahwa,,
1424,Jagdish Prasad Parikh,,
1425,Jagdish Prasad Singh,,
1426,Jagdish Sheth,,
1427,Jaggayya,,
1428,Jaggi Vasudev,,
1429,Jagjit Singh,,
1430,Jagjit Singh Aurora,,
1431,Jagjit Singh Chopra,,
1432,Jagjit Singh Hara,,
1433,Jagmohan,,
1434,Jagmohan Lal Karoli,,
1435,Jagmohan Sursagar,,
1436,Jahnu Barua,,
1437,Jai Bhagwan Chaudhary,,
1438,Jai Bhagwan Goyal,,
1439,Jai Hormusjee Vakil,,
1440,Jai Krishna,,
1441,Jai Pal Mittal,,
1442,Jai Pal Singh,,
1443,Jai Prakash Agarwal,,
1444,Jai Prakash Lekhiwal,,
1445,Jai Rattan Bhalla,,
1446,Jai Singh Pal Yadav,,
1447,Jaikishan Dahyabhai Panchal,,
1448,Jainendra Kumar Jain,,
1449,Jaishankar Bhojak,,
1450,Jaiveer Agarwal,,
1451,Jal Gawashaw Paymaster,,
1452,Jal Minocher Mehta,,
1453,Jal R. Patel,,
1454,Jalakantapuram Ramaswamy Krishnamoorthy,,
1455,Jaman Lal Sharma,,
1456,Jamesh Dokhuma,,
1457,Jamini Roy,,
1458,Jamshed Jiji Irani,,
1459,Jamshed Vazifdar,,
1460,Jamshyd Godrej,,
1461,Jamuna Tudu,,
1462,Janak Palta McGilligan,,
1463,Janaki Ammal,,
1464,Janaky Athi Nahappan,,
1465,Jankibai Bajaj,,
1466,Jasbir Singh Bajaj,,
1467,Jasdev Singh,,
1468,Jashbhai Shankarbhaiu Patel,,
1469,Jasjit Singh,,
1470,Jaspal Bhatti,,
1471,Jaspal Rana,,
1472,Jasraj,,
1473,Jasraj Motiram,,
1474,Jasu Patel,,
1475,Jaswantrai Jayantilal Anjaria,,
1476,Jatin Das,,
1477,Jatin Goswami,,
1478,Jatindra Mohan Dutta,,
1479,Jatish Chandra Bhattacharyya,,
1480,Javare Gowda,,
1481,Javed Ahmed Tak,,
1482,Javed Akhtar,,
1483,Jawahar Lal Kaul,,
1484,Jawahar Wattal,,
1485,Jaya Arunachalam,,
1486,Jaya Bachchan,,
1487,Jayakanthan,,
1488,Jayakumari Chikkala,,
1489,Jayalakhshmi K. S.,,
1490,Jayant Narlikar,,
1491,Jayant Pandurang Naik,,
1492,Jayanta Kumar Ghosh,,
1493,Jayanta Mahapatra,,
1494,Jayantha Kumar Bagchi,,
1495,Jayanto Nath Chaudhuri,,
1496,Jayaram,,
1497,Jayaraman Gowrishankar,,
1498,Jaymala Shiledar,,
1499,Jeahangir Ghandy,,
1500,Jean Riboud,,
1501,Jean-Claude Carrière,,
1502,Jeelani Bano,,
1503,Jeev Milkha Singh,,
1504,Jeffrey Sachs,,
1505,Jehangir Sabavala,,
1506,Jehangir Shapurji Bhownagary,,
1507,Jerusha Jhirad,,
1508,Jhabarmal Sharma,,
1509,Jharna Dhara Chowdhury,,
1510,Jhulan Goswami,,
1511,Ji Xianlin,,
1512,Jigme Dorji Wangchuck,,
1513,Jinvijay,,
1514,Jitender Singh Shunty,,
1515,Jitendra Abhisheki,,
1516,Jitendra Haripal,"His youngest son Prabhat is a well-known percussionist and his daughter-in-law Minu is a popular singer. His granddaughter Ghungroo loves folk dances.Even after being in lime light, in 2001, his family was not in good financial condition. Their family troupe used to make little money. They lost all their instruments in heavy rain and used to hire or borrow.","అతని చిన్న కుమారుడు ప్రభాత్ సుప్రసిద్ధ పెర్కషన్ వాద్యకారుడు, అతని కోడలు మిను ప్రసిద్ధ గాయని. అతని మనవరాలు ఘుంగ్రూకు జానపద నృత్యాలు అంటే చాలా ఇష్టం. 2001లో లైమ్లైట్లో ఉన్నా అతని కుటుంబం ఆర్థిక పరిస్థితి బాగా లేదు. వారి కుటుంబ బృందం తక్కువ డబ్బు సంపాదించేది. వారు భారీ వర్షంలో అన్ని పరికరాలను పోగొట్టుకున్నారు, కూలికి లేదా అప్పులు చేసేవారు. "
1517,Jitendra Kumar Singh,,
1518,Jitendra Mohan Hans,,
1519,Jitendra Nath Goswami,,
1520,Jitendra Udhampuri,,
1521,Jitu Rai,,
1522,Jivanlal Moti Lal Thakore,,
1523,Jivraj Narayan Mehta,,
1524,Jivya Soma Mashe,,
1525,Jiwan Lal Jairamdas,,
1526,Jiwan Singh Umranangal,,
1527,Jnan Chandra Ghosh,,
1528,Jnan Prakash Ghosh,,
1529,Jnanendra Nath Mukherjee,,
1530,Jockin Arputham,,
1531,Jodh Singh,,
1532,Jogendra Nath Phukan,,
1533,Jogesh Chandra Banerjee,,
1534,Jogesh Chandra De,,
1535,Jogesh Pati,,
1536,Joginder Paul Birdi,,
1537,Joginder Singh,,
1538,Joginder Singh Dhillon,,
1539,Jogindra Lal Gupta,,
1540,John Arthur King Martyn,,
1541,John Ebnezar,,
1542,John Kenneth Galbraith,,
1543,John Martin Nelson,,
1544,John Mathai,,
1545,John Ralston Marr,,
1546,John Richardson (bishop of Car Nicobar),,
1547,John T. Chambers,,
1548,Jonnalagadda Gurappa Chetty,,
1549,Joravarsinh Jadav,,
1550,Jose Chacko Periappuram,,
1551,Jose Ma Joey Concepcion III,,
1552,Joseph Allen Stein,,
1553,Joseph Durai Raj,,
1554,Joseph H. Hulse,,
1555,Joseph H. Pereira,,
1556,Joseph Harold,,
1557,Josh Malihabadi,,
1558,Josh Malsiyani,,
1559,José Pereira,,
1560,Jothi Venkatachalam,,
1561,Joy Michael,,
1562,Joyasree Goswami Mahanta,,
1563,Jugal Kishore,,
1564,Jugal Kishore Choudhury,,
1565,Julio Ribeiro,,
1566,Julius Silverman,,
1567,Juthika Roy,,
1568,Jyeshtharaj Joshi,,
1569,Jyoti Bhatt,,
1570,Jyoti Bhushan Banerji,,
1571,Jyoti Kumar Sinha,,
1572,Jyotindra Nath Dixit,,
1573,Jyotirmoyee Sikdar,,
1574,Jyotish Chandra Ray,,
1575,K K Ramachandra Pulavar,,
1576,K Kesavasamy,,
1577,K. A. Abraham,,
1578,K. A. Nilakanta Sastri,,
1579,K. Asungba Sangtam,,
1580,K. B. Lall,,
1581,K. B. Sundarambal,,
1582,K. Balachander,,
1583,K. C. Banerjee,,
1584,K. C. Johorey,,
1585,K. C. Reddy,,
1586,K. C. Sengupta,,
1587,K. C. Sivasankaran,,
1588,K. Covilagam Kutti Ettan Raja,,
1589,K. G. Jayan,,
1590,K. G. Ramanathan,,
1591,K. G. Subramanyan,,
1592,K. I. Varaprasad Reddy,,
1593,K. Ibomcha Sharma,,
1594,K. J. Yesudas,,
1595,K. K. Aggarwal,,
1596,K. K. Muhammed,,
1597,K. K. Talwar,,
1598,K. K. Venugopal,,
1599,K. Kripal Singh,,
1600,K. M. Beenamol,,
1601,K. M. Cherian,,
1602,K. M. Cherian (journalist),,
1603,K. M. George,,
1604,K. M. Mammen Mappillai,,
1605,K. M. Mathew,"His wife, Annamma Mathew, was a culinary expert and Chief Editor of Vanitha, who wrote under the name Mrs. K. M. Mathew. His book of memoirs, Annamma. (based on his wife), was published by Penguin in Malayalam (2004) and in English (2005).","అతని భార్య అన్నమ్మ మాథ్యూ పాకశాస్త్ర నిపుణురాలు, శ్రీమతి పేరుతో వ్రాసిన వనిత ప్రధాన సంపాదకురాలు. కె. ఎం. మాథ్యూ. ఆయన జ్ఞాపకాల పుస్తకం అన్నమ్మ. (అతని భార్య ఆధారంగా), మలయాళంలో (2004), ఆంగ్లంలో (2005) పెంగ్విన్ ప్రచురించింది. "
1606,K. N. Dandayudhapani Pillai,,
1607,K. N. Raj,,
1608,K. N. Shankara,,
1609,K. Narayanan,,
1610,K. P. Haridas,,
1611,K. P. Kesava Menon,,
1612,K. P. Mathur,,
1613,K. P. P. Nambiar,,
1614,K. P. Saxena,,
1615,K. P. Udayabhanu,,
1616,K. Paddayya,,
1617,K. Padmanabhaiah,,
1618,K. Parasaran,,
1619,K. R. Chakravorty,,
1620,K. R. Palaniswamy,,
1621,K. R. Ramanathan,,
1622,K. Radhakrishnan,,
1623,K. Raghavan,,
1624,K. S. Chandrasekharan,,
1625,K. S. Chithra,,
1626,K. S. Narayanaswamy,,
1627,K. S. Nissar Ahmed,,
1628,K. Sankaran Nair,,
1629,K. Shankar Pillai,,
1630,K. Shivaram Karanth,,
1631,K. Srinath Reddy,,
1632,K. Sukumaran,,
1633,K. T. Dholakia,,
1634,K. T. Thomas,,
1635,K. Ullas Karanth,,
1636,K. V. Kamath,,
1637,K. V. Narayanaswamy,,
1638,K. V. S. J. Peter,,
1639,K. V. Sampath Kumar,,
1640,K. Vardachari Thiruvengadam,,
1641,K. Venkatalakshamma,,
1642,K. Venkataraman,,
1643,K. VijayRaghavan,,
1644,K. Viswanath,,
1645,K. Y. Venkatesh,,
1646,K.S.A. Khader Ghulam Mohideen,,
1647,Kader Khan,,
1648,Kadiyala Ramachandra,,
1649,Kadri Gopalnath,,
1650,Kaifi Azmi,"He was from a family of artists. His three brothers are also shayars (poets). Azmi was married to Shaukat Azmi. They have a daughter, Shabana Azmi who is an actress, and a son, Baba Azmi, a cinematographer. Azmi's daughter-in-law Tanvi Azmi is also an actress.","ఇతను కళాకారుల కుటుంబానికి చెందినవాడు. అతని ముగ్గురు సోదరులు కూడా షాయర్లు (కవులు). అజ్మీ షౌకత్ అజ్మీని వివాహం చేసుకున్నాడు. వీరికి నటి షబానా అజ్మీ అనే కుమార్తె, సినిమాటోగ్రాఫర్ అయిన బాబా అజ్మీ కుమారుడు ఉన్నారు. అజ్మీ కోడలు తన్వీ అజ్మీ కూడా నటి. "
1651,Kaikhushru Ruttonji Shroff,,
1652,Kailas Nath Kaul,,
