,Recipients,controversy,controversy Telugu
1243,Hari Kant Dang,,
1244,Hari Krishan Jain,,
1245,Hari Krishan Wattal,,
1246,Hari Narain,,
1247,Hari Prasad Jaiswal,,
1248,Hari Shankar Sharma,,
1249,Hari Shankar Singhania,,
1250,Hari Uppal,,
1251,Hari Vinayak Pataskar,,
1252,Haribhau Upadhyaya,,
1253,Haridas Siddhanta Bagish,,
1254,Haridas Thongram,,
1255,Haridwaramangalam A. K. Palanivel,,
1256,Harihar Kripalu Tripathi,,
1257,Hariharan,,
1258,Hariharan Srinivasan,,
1259,Harika Dronavalli,,
1260,Harindranath Chattopadhyay,,
1261,Hariprasad Chaurasia,,
1262,Harischandra Kashnath Karve,,
1263,Harish Chandra Sarin,,
1264,Harish Chandra Singh Rawat,,
1265,Harish Chandra Verma,,
1266,Harish Salve,,
1267,Harish-Chandra,,
1268,Harishankar Parsai,,
1269,Harishchandra Gopal Patil,,
1270,Harivansh Rai Bachchan,,
1271,Harkishan Singh,,
1272,Harnam Das Wahi,,
1273,Haroon Khan Sherwani,,
1274,Harpinder Singh Chawla,,
1275,Harsh Gupta,,
1276,Harsh Kumar,,
1277,Harsh Mahajan,,
1278,Harsh Vardhan Bahuguna,,
1279,Harshavardhan Neotia,,
1280,Harshel Sawi Luaia,,
1281,Harvinder Singh Phoolka,,
1282,Hashmat Ullah Khan,,
1283,Hasmukh Chamanlal Shah,,
1284,Hasmukh Dhirajlal Sankalia,,
1285,Hasmukhbhai Parekh,,
1286,Hassan Nasiem Siddiquie,,
1287,Hazari Prasad Dwivedi,,
1288,Heinrich von Stietencron,,
1289,Heisnam Kanhailal,,
1290,Helen,,
1291,Helen Giri,,
1292,Hema Bharali,,
1293,Hema Malini,,
1294,Hemendra Prasad Barooah,,
1295,Hemendra Singh Panwar,,
1296,Hemi Bawa,,
1297,Hemlata Gupta,,
1298,Henning Holck-Larsen,,
1299,Herbert Alexandrovich Yefremov,,
1300,Herbert Fischer,,
1301,Hermann Kulke,,
1302,Hermenegild Santapau,,
1303,Hilda Mary Lazarus,,
1304,Hildamit Lepcha,,
1305,Himangshu Mohan Choudhury,,
1306,Himanshu Kumar Banerjee,,
1307,Himmata Ram Bhambhu,,
1308,Hira Lall Sibal,,
1309,Hirabai Barodekar,,
1310,Hiralal Yadav,,
1311,Hirebettu Sadananda Kamath,,
1312,Hirendranath Mukherjee,,
1313,Hisam-ud-din Usta,,
1314,Homai Vyarawalla,,
1315,Homi Cawas Sethnas,,
1316,Homi J. H. Taleyarkhan,,
1317,Homi Jehangir Bhabha,,
1318,Homi K. Bhabha,,
1319,Homi Nusserwanji Sethna,,
1320,Homi Sethna,,
1321,Horace Alexander,,
1322,Hormasji Maneckji Seervai,,
1323,Hormazdiar Jamshedi Muncherji Desai,,
1324,Hosagrahar Chandrashekhariah Visvesvaraya,,
1325,Hosei Norota,,
1326,Hosur Narasimhaiah,,
1327,Hrangaia,,
1328,Hridaynath Mangeshkar,,
1329,Hrishikesh Mukherjee,,
1330,Huang Baosheng,,
1331,Hui Lan Zhang,,
1332,Hukmdev Narayan Yadav,,
1333,Hukumchand Patidar,,
1334,Humayun Mirza,,
1335,Humpy Koneru,,
1336,Hun Many,,
1337,Hundraj Lial Ram Dukhayal Manik,,
1338,Hussain Ahmad Madani,,
1339,I Nyoman Nuarta,,
1340,I. G. Patel,,
1341,I. V. Subba Rao,,
1342,Ibrahim Sutar,,
1343,Ignace Tirkey,,
1344,Ijwant Singh,,
1345,Ilaiyaraaja,,
1346,Ileana Citaristi,,
1347,Illias Ali,,
1348,Imitiaz Qureshi,,
1349,Immaneni Sathyamurthy,,
1350,Imran Shah,,
1351,Inder Mohan,,
1352,Inder Sharma,,
1353,Inderjit Kaur Barthakur,,
1354,Inderjit Singh Gill,,
1355,Indira Chakravarty,,
1356,Indira Hinduja,,
1357,Indira Jaising,,
1358,Indira Miri,,
1359,Indira Nath,,
1360,Indira P. P. Bora,,
1361,Indra Dassanayake,,
1362,Indra Kumar Gupta,,
1363,Indra Nooyi,,
1364,Indrani Rahman,,
1365,Indu Bhushan Sinha,,
1366,Indu Jain,,
1367,Indumati Chimanlal Sheth,,
1368,Iravatham Mahadevan,,
1369,Irfan Habib,,
1370,Irrfan Khan,,
1371,Irshad Mirza,,
1372,Irwin Allan Sealy,,
1373,Isaac Santra,,
1374,Isher Judge Ahluwalia,,
1375,Ishrat Ali Siddiqui,,
1376,Ishwar Chandra Gupta,,
1377,Ishwarbhai Jivaram Patel,,
1378,Ishwari Prasad,,
1379,Ismail Ahmed Cachalia,,
1380,Ismail Merchant,,
1381,Ismat Chughtai,,
1382,Ismaïl Omar Guelleh,,
1383,Ivy Khan,,
1384,Iyyanki Venkata Ramanayya,,
1385,J. A. K. Tareen,,
1386,J. Hareendran Nair,,
1387,J. L. Kaul,,
1388,J. Malsawma,,
1389,J. N. Chaudhry,,
1390,J. N. Saksena,,
1391,J. R. D. Tata,,
1392,J. R. Gangaramani,,
1393,J. S. Grewal,,
1394,J. S. Guleria,,
1395,J. S. Mahashabde,,
1396,J. S. Rajput,,
1397,J. S. Titiyal,,
1398,Jabbar Patel,,
1399,Jack Gibson,,
1400,Jacob Chandy,,
1401,Jacob Cherian,,
1402,Jacques Blamont,,
1403,Jadav Payeng,,
1404,Jadeng Buana,,
1405,Jadunath Supakar,,
1406,Jafar Ali Khan,,
1407,Jag Parvesh Chandra,,
1408,Jagadish Chandra Halder,,
1409,Jagadish Shukla,,
1410,Jagan Nath Kaul,,
1411,Jagannath Krishna Kate,,
1412,Jagat Ram,,
1413,Jagat Singh Mehta,,
1414,Jagdamba Devi,,
1415,Jagdish Bhagwati,,
1416,Jagdish Chandra Kapur,,
1417,Jagdish Chandra Mittal,,
1418,Jagdish Chaturvedi,,
1419,Jagdish Chaudhary,,
1420,Jagdish Kashibhai Patel,,
1421,Jagdish Lal,,
1422,Jagdish Lal Ahuja,,
1423,Jagdish Mitra Pahwa,,
1424,Jagdish Prasad Parikh,,
1425,Jagdish Prasad Singh,,
1426,Jagdish Sheth,,
1427,Jaggayya,,
1428,Jaggi Vasudev,,
1429,Jagjit Singh,,
1430,Jagjit Singh Aurora,,
1431,Jagjit Singh Chopra,,
1432,Jagjit Singh Hara,,
1433,Jagmohan,,
1434,Jagmohan Lal Karoli,,
1435,Jagmohan Sursagar,,
1436,Jahnu Barua,,
1437,Jai Bhagwan Chaudhary,,
1438,Jai Bhagwan Goyal,,
1439,Jai Hormusjee Vakil,,
1440,Jai Krishna,,
1441,Jai Pal Mittal,,
1442,Jai Pal Singh,,
1443,Jai Prakash Agarwal,,
1444,Jai Prakash Lekhiwal,,
1445,Jai Rattan Bhalla,,
1446,Jai Singh Pal Yadav,,
1447,Jaikishan Dahyabhai Panchal,,
1448,Jainendra Kumar Jain,,
1449,Jaishankar Bhojak,,
1450,Jaiveer Agarwal,,
1451,Jal Gawashaw Paymaster,,
1452,Jal Minocher Mehta,,
1453,Jal R. Patel,,
1454,Jalakantapuram Ramaswamy Krishnamoorthy,,
1455,Jaman Lal Sharma,,
1456,Jamesh Dokhuma,,
1457,Jamini Roy,,
1458,Jamshed Jiji Irani,,
1459,Jamshed Vazifdar,,
1460,Jamshyd Godrej,,
1461,Jamuna Tudu,,
1462,Janak Palta McGilligan,,
1463,Janaki Ammal,,
1464,Janaky Athi Nahappan,,
1465,Jankibai Bajaj,,
1466,Jasbir Singh Bajaj,,
1467,Jasdev Singh,,
1468,Jashbhai Shankarbhaiu Patel,,
1469,Jasjit Singh,,
1470,Jaspal Bhatti,,
1471,Jaspal Rana,,
1472,Jasraj,,
1473,Jasraj Motiram,,
1474,Jasu Patel,,
1475,Jaswantrai Jayantilal Anjaria,,
1476,Jatin Das,,
1477,Jatin Goswami,,
1478,Jatindra Mohan Dutta,,
1479,Jatish Chandra Bhattacharyya,,
1480,Javare Gowda,,
1481,Javed Ahmed Tak,,
1482,Javed Akhtar,,
1483,Jawahar Lal Kaul,,
1484,Jawahar Wattal,,
1485,Jaya Arunachalam,,
1486,Jaya Bachchan,,
1487,Jayakanthan,,
1488,Jayakumari Chikkala,,
1489,Jayalakhshmi K. S.,,
1490,Jayant Narlikar,,
1491,Jayant Pandurang Naik,,
1492,Jayanta Kumar Ghosh,,
1493,Jayanta Mahapatra,,
1494,Jayantha Kumar Bagchi,,
1495,Jayanto Nath Chaudhuri,,
1496,Jayaram,,
1497,Jayaraman Gowrishankar,,
1498,Jaymala Shiledar,,
1499,Jeahangir Ghandy,,
1500,Jean Riboud,,
1501,Jean-Claude Carrière,,
1502,Jeelani Bano,,
1503,Jeev Milkha Singh,,
1504,Jeffrey Sachs,,
1505,Jehangir Sabavala,,
1506,Jehangir Shapurji Bhownagary,,
1507,Jerusha Jhirad,,
1508,Jhabarmal Sharma,,
1509,Jharna Dhara Chowdhury,,
1510,Jhulan Goswami,,
1511,Ji Xianlin,,
1512,Jigme Dorji Wangchuck,,
1513,Jinvijay,,
1514,Jitender Singh Shunty,,
1515,Jitendra Abhisheki,,
1516,Jitendra Haripal,,
1517,Jitendra Kumar Singh,,
1518,Jitendra Mohan Hans,,
1519,Jitendra Nath Goswami,,
1520,Jitendra Udhampuri,,
1521,Jitu Rai,,
1522,Jivanlal Moti Lal Thakore,,
1523,Jivraj Narayan Mehta,,
1524,Jivya Soma Mashe,,
1525,Jiwan Lal Jairamdas,,
1526,Jiwan Singh Umranangal,,
1527,Jnan Chandra Ghosh,,
1528,Jnan Prakash Ghosh,,
1529,Jnanendra Nath Mukherjee,,
1530,Jockin Arputham,,
1531,Jodh Singh,,
1532,Jogendra Nath Phukan,,
1533,Jogesh Chandra Banerjee,,
1534,Jogesh Chandra De,,
1535,Jogesh Pati,,
1536,Joginder Paul Birdi,,
1537,Joginder Singh,,
1538,Joginder Singh Dhillon,,
1539,Jogindra Lal Gupta,,
1540,John Arthur King Martyn,,
1541,John Ebnezar,,
1542,John Kenneth Galbraith,,
1543,John Martin Nelson,,
1544,John Mathai,,
1545,John Ralston Marr,,
1546,John Richardson (bishop of Car Nicobar),,
1547,John T. Chambers,,
1548,Jonnalagadda Gurappa Chetty,,
1549,Joravarsinh Jadav,,
1550,Jose Chacko Periappuram,,
1551,Jose Ma Joey Concepcion III,,
1552,Joseph Allen Stein,,
1553,Joseph Durai Raj,,
1554,Joseph H. Hulse,,
1555,Joseph H. Pereira,,
1556,Joseph Harold,,
1557,Josh Malihabadi,,
1558,Josh Malsiyani,,
1559,José Pereira,"Dr Pereira was awarded a PhD in Ancient History and Culture from St Xavier's College  in 1949 then later graduated, with honours, from Siddharth College in 1951. In 1959, he traveled to Portugal as a guest lecturer at the Insituto Superior de Estudoes Ultramarinos in Lisbon. A year later, he departed Lisbon following his public statement that “Goa has a cultural identity of its own and can never be a showcase of the greatness of the Portuguese.”In later life, his ""Epiphanies of the Hindu Gods"" caused Hindu fundamentalists to protest in 2010 due to the nudity in the artwork. Pereira countered with quotations from Sanskrit scriptures that justified the piece.","డాక్టర్ పెరీరా 1949లో సెయింట్ జేవియర్స్ కళాశాల నుండి ప్రాచీన చరిత్ర, సంస్కృతిలో PhDని పొందారు, ఆ తర్వాత 1951లో సిద్ధార్థ్ కళాశాల నుండి గౌరవాలతో పట్టభద్రుడయ్యారు. 1959లో, ఇతను లిస్బన్లోని ఇన్సిట్యూటో సుపీరియర్ డి ఎస్టూడోస్ అల్ట్రామరినోస్లో గెస్ట్ లెక్చరర్గా పోర్చుగల్కు వెళ్లాడు. ఒక సంవత్సరం తరువాత, ఇతను లిస్బన్ నుండి బయలుదేరాడు, ""గోవాకు దాని స్వంత సాంస్కృతిక గుర్తింపు ఉంది, పోర్చుగీస్ గొప్పతనానికి ఎప్పటికీ తార్కాణం కాదు. ""తరువాత జీవితంలో, అతని ""ఎపిఫనీస్ ఆఫ్ ది హిందూ గాడ్స్"" 2010లో కళాకృతిలో నగ్నత్వం కారణంగా హిందూ మత ఛాందసవాదులు నిరసనకు కారణమైంది. పెరీరా ఈ భాగాన్ని సమర్థించే సంస్కృత గ్రంధాల నుండి ఉల్లేఖనలతో ప్రతిఘటించారు. "
1560,Jothi Venkatachalam,,
1561,Joy Michael,,
1562,Joyasree Goswami Mahanta,,
1563,Jugal Kishore,,
1564,Jugal Kishore Choudhury,,
1565,Julio Ribeiro,,
1566,Julius Silverman,,
1567,Juthika Roy,,
1568,Jyeshtharaj Joshi,,
1569,Jyoti Bhatt,,
1570,Jyoti Bhushan Banerji,,
1571,Jyoti Kumar Sinha,,
1572,Jyotindra Nath Dixit,,
1573,Jyotirmoyee Sikdar,,
1574,Jyotish Chandra Ray,,
1575,K K Ramachandra Pulavar,,
1576,K Kesavasamy,,
1577,K. A. Abraham,,
1578,K. A. Nilakanta Sastri,,
1579,K. Asungba Sangtam,,
1580,K. B. Lall,,
1581,K. B. Sundarambal,,
1582,K. Balachander,,
1583,K. C. Banerjee,,
1584,K. C. Johorey,,
1585,K. C. Reddy,,
1586,K. C. Sengupta,,
1587,K. C. Sivasankaran,,
1588,K. Covilagam Kutti Ettan Raja,,
1589,K. G. Jayan,,
1590,K. G. Ramanathan,,
1591,K. G. Subramanyan,,
1592,K. I. Varaprasad Reddy,,
1593,K. Ibomcha Sharma,,
1594,K. J. Yesudas,,
1595,K. K. Aggarwal,,
1596,K. K. Muhammed,,
1597,K. K. Talwar,,
1598,K. K. Venugopal,,
1599,K. Kripal Singh,,
1600,K. M. Beenamol,,
1601,K. M. Cherian,,
1602,K. M. Cherian (journalist),,
1603,K. M. George,,
1604,K. M. Mammen Mappillai,Mammen Mappillai is believed to be in the list of 18 names of account-holders in LGT Group and LGT Bank.,"LGT గ్రూప్, LGT బ్యాంక్లో ఖాతాదారుల 18 మంది పేర్ల జాబితాలో మమ్మెన్ మాప్పిళ్లై ఉన్నట్లు విశ్వసిస్తారు. "
1605,K. M. Mathew,,
1606,K. N. Dandayudhapani Pillai,,
1607,K. N. Raj,,
1608,K. N. Shankara,,
1609,K. Narayanan,,
1610,K. P. Haridas,,
1611,K. P. Kesava Menon,,
1612,K. P. Mathur,,
1613,K. P. P. Nambiar,,
1614,K. P. Saxena,,
1615,K. P. Udayabhanu,,
1616,K. Paddayya,,
1617,K. Padmanabhaiah,,
1618,K. Parasaran,,
1619,K. R. Chakravorty,,
1620,K. R. Palaniswamy,,
1621,K. R. Ramanathan,,
1622,K. Radhakrishnan,,
1623,K. Raghavan,,
1624,K. S. Chandrasekharan,,
1625,K. S. Chithra,,
1626,K. S. Narayanaswamy,,
1627,K. S. Nissar Ahmed,,
1628,K. Sankaran Nair,,
1629,K. Shankar Pillai,,
1630,K. Shivaram Karanth,,
1631,K. Srinath Reddy,"The Public Health Foundation of India, which Reddy has led since its founding in 2006 had its ability to receive foreign funds revoked by the Indian government for illegal lobbying and diversion of funds.  PHFI has also been cheated out of significant funds from its corpus that were contributed by the Indian government and the philanthropists.","2006లో రెడ్డి స్థాపించినప్పటి నుండి పబ్లిక్ హెల్త్ ఫౌండేషన్ ఆఫ్ ఇండియా నాయకత్వంలో అక్రమ లాబీయింగ్, నిధుల మళ్లింపు కోసం భారత ప్రభుత్వం రద్దు చేసిన విదేశీ నిధులను స్వీకరించే సామర్థ్యాన్ని కలిగి ఉంది. PHFI దాని కార్పస్ నుండి భారత ప్రభుత్వం, పరోపకారి ద్వారా అందించబడిన గణనీయమైన నిధుల నుండి మోసగించబడింది. "
1632,K. Sukumaran,,
1633,K. T. Dholakia,,
1634,K. T. Thomas,,
1635,K. Ullas Karanth,,
1636,K. V. Kamath,,
1637,K. V. Narayanaswamy,,
1638,K. V. S. J. Peter,,
1639,K. V. Sampath Kumar,,
1640,K. Vardachari Thiruvengadam,,
1641,K. Venkatalakshamma,,
1642,K. Venkataraman,,
1643,K. VijayRaghavan,,
1644,K. Viswanath,,
1645,K. Y. Venkatesh,,
1646,K.S.A. Khader Ghulam Mohideen,,
1647,Kader Khan,,
1648,Kadiyala Ramachandra,,
1649,Kadri Gopalnath,,
1650,Kaifi Azmi,,
1651,Kaikhushru Ruttonji Shroff,,
1652,Kailas Nath Kaul,,
1653,Kailasam Raghavendra Rao,,
1654,Kailash Chand,,
1655,Kailash Chandra Agrawal,,
1656,Kailash Chandra Meher,,
1657,Kailash Kher,,
1658,Kailash Madbaiya,,
1659,Kailash Sankhala,,
1660,Kaithapram Damodaran Namboothiri,,
1661,Kajol,,
1662,Kaka Hathrasi,,
1663,Kakarla Subba Rao,,
1664,Kalabati Devi,,
1665,Kalamandalam Gopi,,
1666,Kalamandalam Krishnan Nair,,
1667,Kalamandalam Kshemavathy,,
1668,Kalamandalam Satyabhama,,
1669,Kalamandalam Sivan Namboodiri,,
1670,Kalanidhi Narayanan,,
1671,Kalbe Sadiq,,
1672,Kalee Shabi Mahaboob,,
1673,Kaleem Ullah Khan,,
1674,Kalidas Gupta Riza,,
1675,Kalim Aajiz,,
1676,Kalindi Charan Panigrahi,,
1677,Kallam Anji Reddy,,
1678,Kallur Subba Rao,,
1679,Kalluri Gopal Rao,,
1680,Kaloji Narayana Rao,,
1681,Kalpana Saroj,,
1682,Kalpathy Ram Iyer Doraiswamy,,
1683,Kalu Lal Shrimali,,
1684,Kalyan Banerjee,,
1685,Kalyan Dev,,
1686,Kalyan Singh Gupta,,
1687,Kalyan Singh Rawat,,
1688,Kalyan Sundaram,,
1689,Kalyanam Raghuramaiah,,
1690,Kalyanji Virji Shah,,
1691,Kalyanji Vithalbhai Mehta,,
1692,Kamal Haasan,,
1693,Kamal Krishna Sinha,,
1694,Kamal Kumar Sethi,,
1695,Kamal Manti Naskar,,
1696,Kamal Ranadive,,
1697,Kamala Pujhari,,
1698,Kamalabai Hospet,,
1699,Kamaladevi Chattopadhyay,,
1700,Kamalendumati Shah,,
1701,Kamaljit Sandhu,,
1702,Kamaljit Singh Paul,,
1703,Kameshwar Brahma,,
1704,Kameshwar Prasad,,
1705,Kamini A. Rao,,
1706,Kamleshwar,,
1707,Kanak Rele,,
1708,Kanaka Raju,,
1709,Kanaka Srinivasan,,
1710,Kandathil Mammen Philip,,
1711,Kangana Ranaut,,
1712,Kanhai Chitrakar,,
1713,Kanhaiya Lal Nandan,,
1714,Kanhaiyalal Sethia,,
1715,Kanhaya Lal Pokhriyal,,
1716,Kanhiyalal Prabhakar Mishra,,
1717,Kanika Banerjee,,
1718,Kankanhalli Vasudevachary,,
1719,Kanta Saroop Krishen,,
1720,Kanta Tyagi,,
1721,Kantibhai Baldevbhai Patel,,
1722,Kantilal Hastimal Sancheti,,
1723,Kanubhai Hasmukhbhai Tailor,,
1724,Kanuri Lakshmana Rao,,
1725,Kanwal Sibal,,
1726,Kanwal Singh Chauhan,,
1727,Kanwaljit Singh Bains,,
1728,Kanwar Natwar Singh,,
1729,Kanwar Pal Singh Gill,,
1730,Kanwar Sain,,
1731,Kapil Dev,,
1732,Kapil Deva Dvivedi,,
1733,Kapil Mohan,,
1734,Kapil Tiwari,,
1735,Kapila Vatsyayan,,
1736,Karachur Lingappa Nanjappa,,
1737,Karamshi Jethabhai Somaiya,,
1738,Karan Johar,,
1739,Karan Singh,,
1740,Kariamanickam Srinivasa Krishnan,,
1741,Karim Al Hussaini Aga Khan,,
1742,Karimpat Mathangi Ramakrishnan,,
1743,Karimpumannil Mathai George,,
1744,Karimul Haque,,
1745,Kariya Munda,,
1746,Karl Harrington Potter,,
1747,Karl Jamshed Khandalavala,,
1748,Karnam Malleswari,,
1749,Karsanbhai Patel,,
1750,Kartar Paras Ram Singh,,
1751,Kartar Singh Dewana,,
1752,Kartar Singh Duggal,,
1753,Kartikeya V. Sarabhai,,
1754,Karuna Mary Braganza,,
1755,Kashi Nath Pandita,,
1756,Kashi Prasad Pandey,,
1757,Kashmir Singh Katoch,,
1758,Kashmiri Lal Zakir,,
1759,Kasturbhai Lalbhai,,
1760,Kasturi Lal Chopra,,
1761,Kasturi Lal Vij,,
1762,Kasturi Srinivasan,,
1763,Kasturiswami Sreenivasan,,
1764,Kattingeri Krishna Hebbar,,
1765,Kattungal Subramaniam Manilal,,
1766,Katty Venkataswami Naidu,,
1767,Katuru Narayana,,
1768,Kaur Singh,,
1769,Kaushik Basu,,
1770,Kavalam Narayana Panicker,,
1771,Kaviraj Ashuthosh Majumdar,,
1772,Kavita Krishnamurthy,,
1773,Kavungal Chathunni Panicker,,
1774,Kayalath Pothen Philip,,
1775,Kazi Lhendup Dorjee,,
1776,Kazi Masum Akhtar,,
1777,Kazi Nazrul Islam,,
1778,Kedar Ghosh,,
1779,Kedar Gurung,,
1780,Kedar Nath Mookerjee,,
1781,Kedar Nath Sahoo,,
1782,Keepu Tsering Lepcha,,
1783,Keezhpadam Kumaran Nair,,
1784,Keiki R. Mehta,,
1785,Keki Byramjee Grant[i]#,,
1786,Keki Hormusji Gharda,,
1787,Keki N. Daruwalla,,
1788,Kekoo Gandhy,,
1789,Kelucharan Mohapatra,,
1790,Kershasp Tehmurasp Satarawala,,
1791,Kesarbai Kerkar,,
1792,Keshav Malik,,
1793,Keshav Prasad Goenka,,
1794,Keshav Rao Musalgaonkar,,
1795,Keshavram Kashiram Shastri,,
1796,Keshavrao Krishnarao Datey,,
1797,Keshubhai Patel,,
1798,Ketayun Ardeshir Dinshaw,,
1799,Kewal Singh Choudhary,,
1800,Khadg Singh Valdiya,,
1801,Khadim Hussain Khan,,
1802,Khailshanker Durlabhji,,
1803,Khaled Choudhury,,
1804,Khalid A. H. Ansari,,
1805,"Khalid Hameed, Baron Hameed",,
1806,Khalid Zaheer,,
1807,Khangembam Mangi Singh,,
1808,Kharag Singh Valdiya,,
1809,Khawlkungi,,
1810,Khem Karan Singh,,
1811,Khem Singh Gill,"Dr. Khem Singh Gill was involved in a controversy in 1985 when his son, Ranjit Singh Gill, was indicted in the assassination of Lalit Maken and his wife, Geetanjali. Controversy surrounded Maken's alleged involvement in the massacres of Sikhs during the 1984 anti-Sikh genocide in New Delhi. Ranjit was convicted, despite his father's efforts, and sentenced to life imprisonment in 2003. His sentence was later commuted. Ranjit Singh Gill, after the release from incarceration, is involved in community and social development activities.","డా. ఖేమ్ సింగ్ గిల్ 1985లో లలిత్ మాకెన్, అతని భార్య గీతాంజలి హత్య కేసులో అతని కుమారుడు రంజిత్ సింగ్ గిల్పై అభియోగాలు మోపినప్పుడు వివాదంలో చిక్కుకున్నారు. న్యూఢిల్లీలో 1984 సిక్కు వ్యతిరేక మారణహోమం సందర్భంగా సిక్కుల ఊచకోతలో మాకెన్ ప్రమేయం ఉందని ఆరోపించిన వివాదం చుట్టుముట్టింది. రంజిత్ తన తండ్రి ఎంత ప్రయత్నించినప్పటికీ దోషిగా నిర్ధారించబడింది, 2003లో జీవిత ఖైదు విధించబడింది. అతని శిక్ష తర్వాత మార్చబడింది. రంజిత్ సింగ్ గిల్, కారాగారం నుండి విడుదలైన తర్వాత, సమాజం, సామాజిక అభివృద్ధి కార్యక్రమాలలో పాల్గొంటున్నారు. "
1812,Khushdeva Singh,,
1813,Khushwant Lal Wig,,
1814,Khushwant Singh,,
1815,Khusro Faramurz Rustamji,,
1816,Khwaja Ahmad Abbas,,
1817,Khwaja Ghulam Saiyidain,,
1818,Kim Yang-shik,,
1819,Kiran Karnik,,
1820,Kiran Martin,,
1821,Kiran Mazumdar,,
1822,Kiran Mazumdar-Shaw,,
1823,Kiran Segal,,
1824,Kiran Seth,,
1825,Kirit Parikh,,
1826,Kiritkumar Mansukhlal Acharya,,
1827,Kirpal Singh,,
1828,Kirpal Singh Chugh,,
1829,Kirpal Singh Narang,,
1830,Kishan Lal,,
1831,Kishan Maharaj,,
1832,Kishandas Bhagwandas Kapadia,,
1833,Kishorebhai Ratilal Zaveri,,
1834,Kishori Amonkar,,
1835,Kodaganur S. Gopinath,,
1836,Kodandera Subayya Thimayya,,
1837,Koka Simhadri Babu,,
1838,Kolakaluri Enoch,,
1839,Komal Kothari,,
1840,Komala Varadan,,
1841,Koneru Ramakrishna Rao,,
1842,Kooram Chakravarthy Kannan,,
1843,Kota Harinarayana,,
1844,Kota Srinivasa Rao,,
1845,Kotha Satchidananda Murthy,,
1846,Kotha Satchidanda Murthy,,
1847,Kothamangalam Subbu,,
1848,Kotti Narasimha Udupa,,
1849,Kranti Shah,,
1850,Kripal Singh Shekhawat,,
1851,Kris Gopalakrishnan,,
1852,Krishan Dev Bali,,
1853,Krishan Dev Dewan,,
1854,Krishan Dutta Bharadwaj,,
1855,Krishan Swarup Pathak,,
1856,Krishen Khanna,,
1857,Krishn Kanhai,,
1858,Krishna Bihari Mishra,,
1859,Krishna Chaithanya,,
1860,Krishna Chandar,,
1861,Krishna Chandra Chunekar,,
1862,Krishna Chandra Panigrahi,,
1863,Krishna Chandra Shukla,,
1864,Krishna Gopal Saxena,,
1865,Krishna Joshi,,
1866,Krishna Kanta Handique,,
1867,Krishna Kumar,,
1868,Krishna Lal Chadha,,
1869,Krishna Murari Tiwari,,
1870,Krishna Pai Pai,,
1871,Krishna Poonia,,
1872,Krishna Prasad Dar,,
1873,Krishna Prasad Singh Varma,,
1874,Krishna Ram Chaudhary,,
1875,Krishna Ramchand Kriplani,,
1876,Krishna Reddy,,
1877,Krishna Srinivas,,
1878,Krishna Swaroop Mullick,,
1879,Krishnammal Jagannathan,,
1880,Krishnamurthy Santhanam,,
1881,Krishnan Raghavachari,,
1882,Krishnarao Phulambrikar,,
1883,Krishnarao Shankar Pandit,,
1884,Krishnarao Shripat Mhaskar,,
1885,Krishnaswami Balasubramania Iyer,,
1886,Krishnaswami Ramiah,,
1887,Krishnaswami Srinivas Sanjivi,,
1888,Krishnaswami Swaminathan,,
1889,Krishnaswamy Kasturirangan,,
1890,Kruthartha Acharya,,
1891,Kshama Metre,,
1892,Kshem Suman Chandra,,
1893,Kshetrimayum Ongbi Thouranisabi Devi,,
1894,Kudrat Singh,,
1895,Kuldip Nayar,,
1896,Kuldip Singh Virk,,
1897,Kum Subasini Jhunu Dasgupta,,
1898,Kum Uma Sharma,,
1899,Kumar Gandharva,,
1900,Kumar Ketkar,,
1901,Kumar Nandan Prasad,,
1902,Kumar Padma Siva Shankara Menon,,
1903,Kumar Sanu,,
1904,Kumari Codanda Rohini Poovaiah,,
1905,Kumari Kamala,,
1906,Kumarpal Desai,,
1907,Kumkum Mohanty,,
1908,Kumud Ranjan Mullick,,
1909,Kumudini Lakhia,,
1910,Kundal Lal Bery,,
1911,Kunhiraman Palat Candeth,,
1912,Kunja Bihari Meher,,
1913,Kunjarani Devi,,
1914,Kunji Lal Dubey,,
1915,Kunnakudi Vaidyanathan,,
1916,Kunnenkeril K. Jacob,,
1917,Kunwar Digvijai Singh,,
1918,Kunwar Narayan,,
1919,Kunwar Singh Negi,,
1920,Kuppali Venkatappagowda Puttappa,,
1921,Kurian John Melamparambil,,
1922,Kushal Konwar Sarma,,
