,Recipients,in popular culture,in popular culture Telugu
672,Chand Chhabra,,
673,Chand Ram,,
674,Chanda Kochhar,,
675,Chander Sekhar Samal,,
676,Chandeshwar Prasad Narayan Singh,,
677,Chandgi Ram,,
678,Chandi Prasad Bhatt,,
679,Chandi Prasad Misra,,
680,Chandidan Detha,,
681,Chandra David Devanasan,,
682,Chandra Kisan Daphtary,,
683,Chandra Mohan,,
684,Chandra Prakash Deval,,
685,Chandra Prakash Vohra,,
686,Chandra Prasad Saikia,,
687,Chandra Sekhar Rath,,
688,Chandra Shekhar Singh,,
689,Chandrakant Mehta,,
690,Chandrakant Pithawa,,
691,Chandraprabha Aitwal,,
692,Chandraprava Saikiani,,
693,Chandrashekhar Dasgupta,,
694,Chandrashekhar Lohumi,,
695,Chandrashekhar Shankar Dharmadhikari,,
696,Chandrashekhara Kambara,,
697,Chandravadan Mehta,,
698,Chandrika Prasad Srivastava,,
699,Chandu Borde,,
700,Chandulal Madhavlal Trivedi,,
701,Charanjit Singh,,
702,Charles Borromeo,,
703,Charles Correa,,
704,Chaturbhuj Meher,,
705,Chavaly Srinivasa Sastry,,
706,Chawngthu Lalhmingliana,,
707,Chemanchery Kunhiraman Nair,,
708,Chenganoor Raman Pillai,,
709,Chennamaneni Hanumantha Rao,,
710,Cheril Krishna Menon,,
711,Chewang Motup Goba,,
712,Chewang Norphel,,
713,Chewang Phunsog,,
714,Chhakchhuak Chhuanvawram,,
715,Chhannulal Mishra,,
716,Chhattra Pati Joshi,,
717,Chindodi Leela,,
718,Chingamban Kalachand Shastri,,
719,Chinna Pillai,,
720,Chinnaswamy Rajan Subramanian,,
721,Chintakindi Mallesham,,
722,Chintala Venkat Reddy,,
723,Chintaman Govind Pandit,,
724,Chintamoni Kar,,
725,Chiranjeet Chakraborty,,
726,Chiranjeevi,,
727,Chiranjilal Gograj Joshi,,
728,Chitra Naik,,
729,Chitra Visweswaran,,
730,Chitranjan Singh Ranawat,,
731,Chittani Ramachandra Hegde,,
732,Chittoor Mohammed Habeebullah,,
733,Chittor V. Nagaiah,,
734,Chittu Tudu,,
735,Cho Ramaswamy,,
736,Christopher Pinney,,
737,Chuauhang Rokhuma,,
738,Chubalemla AO,,
739,Chuni Goswami,,
740,Claire Vellut,,
741,Coimbatore Narayana Rao Raghavendran,,
742,Colette Mathur,,
743,Coluthur Gopalan,,
744,Coorg Narasimhaiengar Krishna Murthy,,
745,Cooverbai Jahangir Vakil,,
746,Cottari Kankaiyah Nayudu,,
747,Cudonalore Subramania Chetty Sadasivan,,
748,Cyrus S. Poonawalla,,
749,D. B. Deodhar,,
750,D. C. Kizhakemuri,,
751,D. C. Pavate,,
752,D. D. Bhawalkar,,
753,D. K. Khullar,,
754,D. K. Pattammal,,
755,D. Nageshwar Reddy,,
756,D. P. Chattopadhyaya,,
757,D. P. Kohli,,
758,D. P. Roy Choudhury,,
759,D. R. Bendre,"In 1972, film director and playwright Girish Karnad directed a Kannada documentary film, Da Ra Bendre, for the Government of Karnataka. The script was written by Keertinath Kurtakoti. Bendre is also the primary character of the semi-fictional novel Dharawadada Dattu Master by N. K. Kulkarni.","1972లో, చలనచిత్ర దర్శకుడు, నాటక రచయిత గిరీష్ కర్నాడ్ కర్ణాటక ప్రభుత్వం కోసం ద రా బేంద్రే అనే కన్నడ డాక్యుమెంటరీ చిత్రానికి దర్శకత్వం వహించారు. కీర్తినాథ్ కుర్తకోటి స్క్రిప్ట్ రాశారు. ఎన్ రచించిన ధారవాడ దత్తు మాస్టర్ అనే అర్ధ-కల్పిత నవల, ప్రధాన పాత్ర కూడా బెంద్రే. కె. కులకర్ణి. "
760,D. R. Karthikeyan,,
761,D. R. Mehta,,
762,D. Ramanaidu,,
763,D. S. Rana,,
764,D. S. Wagh,,
765,D. V. Gundappa,,
766,D. V. S. Raju,,
767,D. Y. Patil,,
768,Dada Shewak Bhojraj,,
769,Dadi Pudumjee,,
770,Dadudan Gadhvi,,
771,Dagdu Maruti Pawar,,
772,Dahyabhai Jivaji Naik,,
773,Dahyabhai Shastri,,
774,Daitari Naik,,
775,Daji Bhatawadekar,,
776,Dalavai Chalapathi Rao,,
777,Dalip Kaur Tiwana,,
778,Dalip Kumar Sengupta,,
779,Daljeet Singh Gambhir,,
780,Daljit Singh,,
781,Dalsukh Dahyabhai Malvania,,
782,Dalveer Bhandari,,
783,Damal Kandalai Srinivasan,,
784,Damayanti Beshra,,
785,Damayanti Joshi,,
786,Damodar Bapat,,
787,Damodar Keshav Datar,,
788,Danny Denzongpa,,
789,Dara Kaikhuswrao Karanjavala,,
790,Dara Nusserwanji Khurody,,
791,Darab Jehangir Jussawala,,
792,Darashaw Nosherwan Wadia,,
793,Darchhawna,,
794,Daripalli Ramaiah,,
795,Darshan Lal Jain,,
796,Darshan Singh Vohra,,
797,Darshana Jhaveri,,
798,Dasari Prasada Rao,,
799,Dashrath Patel,,
800,Dasika Durga Prasada Rao,,
801,Dattatraya Mahadeo Dahanukar,,
802,Dattatraya Nagappa Pai,,
803,Dattatraya Shridhar Joshi,,
804,Dattatraya Yeshwant Phadke,,
805,Dattatreyudu Nori,,
806,Datto Vaman Potdar,,
807,Daulat Singh Kothari,,
808,David Abraham Cheulkar,,
809,David Frawley,,
810,Daya Kishore Hazra,,
811,Daya Prakash Sinha,,
812,Dayananda Saraswati,,
813,Debaki Bose,,
814,Debdulal Bandopadhyaya,,
815,Debi Prasad Mukherjee,,
816,Debi Prasanna Pattanayak,,
817,Debiprasad Chattopadhyaya,,
818,Debu Chaudhuri,,
819,Deep Joshi,,
820,Deepa Malik,,
821,Deepak B. Phatak,,
822,Deepak Parekh,,
823,Deepak Puri,,
824,Deepak Sehgal,,
825,Deepika Kumari,"A biographical documentary called Ladies First, released in 2017, was made by Uraaz Bahl and his wife Shaana Levy-Bahl. The movie won at the London Independent Film Festival and will be screened at the Mallorca Film Festival in October 2017. Ladies First has also been submitted for the Short Documentary category at Oscars.
This documentary was also screened with Maneka Gandhi, the Union Cabinet Minister for Women and Child Development, with an aim to increase the national awareness about women in sports in India.","2017లో విడుదలైన లేడీస్ ఫస్ట్ అనే బయోగ్రాఫికల్ డాక్యుమెంటరీని ఉరాజ్ బహ్ల్, అతని భార్య షానా లెవీ-బాల్ రూపొందించారు. ఈ చిత్రం లండన్ ఇండిపెండెంట్ ఫిల్మ్ ఫెస్టివల్లో విజయం సాధించింది, అక్టోబర్ 2017లో మల్లోర్కా ఫిల్మ్ ఫెస్టివల్లో ప్రదర్శించబడుతుంది. ఆస్కార్లో షార్ట్ డాక్యుమెంటరీ విభాగంలో లేడీస్ ఫస్ట్ కూడా సమర్పించబడింది. ఈ డాక్యుమెంటరీ కూడా భారతదేశంలోని క్రీడలలో మహిళల గురించి జాతీయ అవగాహనను పెంచే లక్ష్యంతో కేంద్ర మహిళా, శిశు అభివృద్ధి శాఖ మంత్రి మేనకా గాంధీతో ప్రదర్శించబడింది. "
826,Deori Omem Moyong,,
827,Dev Anand,,
828,Devaki Jain,,
829,Devan Venkata Reddy,,
830,Devanur Mahadeva,,
831,Devappagowda Chinnaiah,,
832,Devarapalli Prakash Rao,,
833,Devayani,,
834,Devchand Chaggan Lal Shah,,
835,Devchand Chhaganlal Shah,,
836,Devendra Dayabhai Patel,,
837,Devendra Jhajharia,,
838,Devendra Lal,,
839,Devendra Nath Samant,,
840,Devendra Patel,,
841,Devendra Satyarthi,,
842,Devendra Sen,,
843,Devendra Swarup,,
844,Devendra Triguna,,
845,Devi Dutt Sharma,,
846,Devi Lal Samar,,
847,Devi Sahai Jindal,,
848,Devi Shetty,,
849,Devika Rani,,
850,Devindra Rahinwal,,
851,Deviprasad Dwivedi,,
852,Devki Nandan Pande,,
853,Devulapalli Krishnasastri,,
854,Dhani Prem,,
855,Dhanpati Rai Nagpaul,,
856,Dhanraj Bhagat,,
857,Dhanraj Pillay,,
858,Dhanvanthi Rama Rau,,
859,Dhanwant Singh,,
860,Dharam Pal Saini,,
861,Dharam Veer Sachdeva,,
862,Dharamchand Patni,,
863,Dharamvir Bharati,,
864,Dharma Narayan Barma,,
865,Dharma Vira,,
866,Dharmendra,,
867,Dhera Ram Shah,,
868,Dhirendra Nath Bezbaruah,,
869,Dhirendra Nath Ganguly,,
870,Dhirubhai Ambani,,
871,Dhirubhai Thaker,,
872,Dhondo Keshav Karve,,
873,Dhyan Chand,,
874,Dhyan Pal Singh,,
875,Diana Edulji,,
876,Digambar Behera,,
877,Digamber Hansda,,
878,Digamber Vasudev Joglekar,,
879,Dilbagh Singh Athwal,,
880,Dilip Chakravarty,,
881,Dilip K. Biswas,,
882,Dilip Kumar,,
883,Dilip Shanghvi,,
884,Dilip Tirkey,,
885,Dilip Vengsarkar,"A Bollywood film 83 released in 2021 about the events around India's first World Cup win, at Lords in 1983, features Adinath Kothare as Vengsarkar.","1983లో లార్డ్స్లో భారతదేశం, మొదటి ప్రపంచ కప్ విజయం చుట్టూ జరిగిన సంఘటనల గురించి 2021లో విడుదలైన ఒక బాలీవుడ్ చిత్రం 83, వెంగ్సర్కార్గా ఆదినాథ్ కొఠారే కనిపించింది. "
886,Dimitris C. Velissaropoulos,,
887,Din Dayal,,
888,Dina Nath Malhotra,,
889,Dinabandhu Banerjee,,
890,Dinamani Sridhar Kamat,,
891,Dinesh K. Bhargava,,
892,Dinesh Mohan,,
893,Dinesh Nandini Dalmia,,
894,Dinesh Singh,,
895,Dingko Singh,,
896,Dinkar Gangadhar Kelkar,,
897,Dinyar Contractor,,
898,Dipa Karmakar,,
899,Dipali Barthakur,,
900,Dipankar Banerjee,,
901,Dipankar Chatterji,,
902,Dipika Pallikal,,
903,Diwaliben Punjabhai Bhil,,
904,Doddarange Gowda,,
905,Dominique Lapierre,,
906,Donty Naranappa Krishnaia Setty,,
907,Dorairajan Balasubramanian,,
908,Doraiswamy Iyengar,,
909,Dorothy Chacko,,
910,Dr. Bhupendra Kumar Singh San'a,,
911,Dr. Chandrakant Sambhaji Pandav,,
912,Dr. Dhananjay Diwakar Sa deo,,
913,Dr. Dilip Kumar Singh,,
914,Dr. J N Pande (Posthumous),,
915,Dr. Krishna Mohan Pathi,,
916,Dr. Rattan Lal Mittal,,
917,Dr. Thiruvengadam Veeraraghavan,,
918,Draupadi Ghimiray,,
919,Dukhan Ram,,
920,Dula Bhaya Kag,,
921,Dulal Manki,,
922,Durga Das Basu,,
923,Durga Deulkar,,
924,Durga Jain,,
925,Durga Khote,,
926,Durgabai Deshmukh,,
927,Dušan Zbavitel,,
928,Dwaram Venkataswamy Naidu,,
929,Dwijen Mukhopadhyay,,
930,Dwijendra Nath Mukerjee,,
931,E. A. S. Prasanna,,
932,E. A. Siddiq,,
933,E. C. George Sudarshan,,
934,E. Sreedharan,,
935,E. Srinivasan Parthasarthy,,
936,E. T. Narayanan Mooss,,
937,Earnest Joachin Joseph Borges,,
938,Eberhard Fischer,,
939,Ebrahim Alkazi,,
940,Edith Helen Paull,,
941,Edmund Hillary,,
942,Edward Kutchat,,
943,Eknath Vasant Chitnis,,
944,Ekta Kapoor,,
945,Ela Bhatt,,
946,Ela Gandhi,,
947,Elam Endira Devi,,
948,Elangbam Nilakanta Singh#,,
949,Eledath Thaikkattu Neelakandan Mooss,,
950,Eli Ahmed,,
951,Eliza Nelson,,
952,Elizabeth Brunner,,
953,Eluvathingal Devassy Jemmis,,
954,Emani Sankara Sastry,,
955,Enamul Haque,,
956,Enuga Sreenivasulu Reddy,,
957,Erasmus Lyngdoh,,
958,Esther Abrham Solomon,,
959,Eswara Iyer Krishna Iyer,,
960,Eugene Chelyshev,,
961,Evelyn Norah Shullai,,
962,Evengeline Lazarus,,
963,Ezra Mir,,
964,Fali Sam Nariman,,
965,Faquir Chand Kohli,,
966,Fareed Zakaria,,
967,Farokh Engineer,,
968,Farokh Udwadia,,
969,Fateh Chand Badhwar,,
970,Fateh Chand Gera,,
971,Father Vallés,,
972,Fatima Ismail,,
973,Fatima Zakaria,,
974,Fayaz Ahmad Jan,,
975,Fazal Ali,,
976,Fazal Mohammad,,
977,Felisa Garbala,,
978,Fenner Brockway,,
979,Flora MacDonald,,
980,Francis Dore,,
981,Frank Pallone,,
982,Frank Sathyarajan Dewars,,
983,Friederike Irina,,
984,G. Aravindan,,
985,G. B. Parulkar,,
986,G. Bakthavathsalam,,
987,G. C. D. Bharti,,
988,G. D. Yadav,,
989,G. Krishna,,
990,G. Madhavan Nair,,
991,G. Muniratnam,,
992,G. N. Devy,,
993,G. N. Malviya,,
994,G. P. Chopra,,
995,G. S. Melkote,,
996,G. S. Sainani,,
997,G. S. Venkataraman,,
998,G. Sankara Kurup,,
999,G. Shankar,,
1000,G. V. Iyer Ramakrishna,,
1001,G. Venkatasubbiah,,
1002,Gabriel Chiramel,,
1003,Gadde Ramakoteswar Rao,,
1004,Gadul Singh Lama,,
1005,Gafurbhai M. Bilakhia,,
1006,Gagan Narang,,
1007,Gaganvihari Lallubhai Mehta,,
1008,Gainedi A. Narasimha Rao,,
1009,Gajam Anjaiah,,
1010,Gajam Govardhana,,
1011,Gajanan Digambar Madgulkar,,
1012,Gajendra Narayan Singh,,
1013,Gambhir Singh Mura,,
1014,Ganda Singh,,
1015,Ganesh Gobind Karkhanis,,
1016,Ganesh Kumar Mani,,
1017,Ganeshan Venkataraman,,
1018,Ganga Devi,,
1019,Ganga Prasad Birla,,
1020,Gangadhar Pantawane,,
1021,Gangadhar Pradhan,,
1022,Gangubai Hangal,,
1023,Ganpatbhai Patel,,
1024,Ganpatrao Jadhav,,
1025,Gary Ackerman,,
1026,Gaura Pant Shivani,,
1027,Gautam Gambhir,,
1028,Gautam Vaghela,,
1029,Gayatri Chakravorty Spivak,"Her name appears in the lyrics of the Le Tigre song ""Hot Topic"".","ఈమె పేరు లే టైగ్రే పాట ""హాట్ టాపిక్"" సాహిత్యంలో కనిపిస్తుంది. "
1030,Gayatri Sankaran,,
1031,Geet Sethi,,
1032,Geeta Chandran,,
1033,Geeta Dharmarajan,,
1034,Geeta Kapur,,
1035,Geeta Mahalik,,
1036,Geeta Zutshi,,
1037,Gemini Ganesan,,
1038,Genabhai Dargabhai Patel,,
1039,Gennadi Mikhailovich Pechinkov,,
1040,George Fernandes,,
1041,George Joseph,,
1042,George L. Hart,,
1043,George Sudarshan,,
1044,George William Gregory Bird,,
1045,George Yeo,,
1046,Gertrude Emerson Sen,,
1047,Ghanakanta Bora,,
1048,Ghananand Pande,,
1049,Ghanashyam Mishra,,
1050,Ghanshyam Das,,
1051,Ghanshyam Das Birla,,
1052,Ghanshyam Das Goyal,,
1053,Ghantasala,,
1054,Ghaus Mohammad,,
1055,Ghulam Ahmad Bandey,,
1056,Ghulam Mohammad Saznawaz,,
1057,Ghulam Mohammed Mir,,
1058,Ghulam Mohammed Sadiq,,
1059,Ghulam Mustafa Khan (singer),,
1060,Ghulam Rasool Khan,,
1061,Ghulam Rasool Santosh,,
1062,Ghulam Sadiq Khan,,
1063,Ghulam Yazdani,,
1064,Giani Gurmukh Singh Musafir,,
1065,Girija Devi,,
1066,Girilal Jain,,
1067,Giriraj Kishore,,
1068,Girish Bharadwaj,,
1069,Girish Chandra Saxena,,
1070,Girish Karnad,,
1071,Girish Kasaravalli,,
1072,Girish Prabhune,,
1073,Girisha Nagarajegowda,,
1074,Gisela Bonn,,
1075,Gitchandra Tongbra,,
1076,Gjanardhana Puranik Narayana Rao,,
1077,Gladys Staines,,
1078,Gloria Arieira,,
1079,Gnanananda Kavi,,
1080,Gobardhan Panika,,
1081,Gobind Behari Lal,,
1082,Godawari Dutta,,
1083,Goel Kaikobad Sorabji Shavaksha,,
1084,Gokulbhai Bhatt,,
1085,Gokuldas Shivaldas Ahuja,,
1086,Gokulotsavji Maharaj,,
1087,Gopal Chandra Dutt,,
1088,Gopal Chandra Mitra,,
1089,Gopal Chhotray,,
1090,Gopal Gurunath Bewoor,,
1091,Gopal Krishna Saraf,,
1092,Gopal Krishna Vishwakarma,,
1093,Gopal Narayan Thakkar,,
1094,Gopal Prasad Dubey,,
1095,Gopal Prasad Sinha,,
1096,Gopal Prasad Vyas,,
1097,Gopal Purushottam Phadke,,
1098,Gopala Ramanujam,,
1099,Gopalan Narasimhan,,
1100,Gopalasamy Govindarajan,,
1101,Gopaldas Neeraj,,
1102,Gopaldas Neogi Chowdhury,,
1103,Gopi Chand Mannam,,
1104,Gopi Chand Narang,,
1105,Gopi Krishna,,
1106,Gopinath Aman,,
1107,Gopinath Kaviraj,,
1108,Gopinath Mohanty,,
1109,Gopinath Pillai,,
1110,Gopiram Bargayn Burabhakat,,
1111,Gordhandas Bhagwandas Narottamdas,,
1112,Goriparthi Narasimha Raju Yadav,,
1113,Goro Koyama,,
1114,Gosasp Maneckji Sorabji Captain,,
1115,Gostha Pal,,
1116,Gottipati Brahmaiah,,
1117,Gouri Sen,,
1118,Govardan Kumari,,
1119,Goverdhan Mehta,,
1120,Govind Bhimachary Joshi,,
1121,Govind Chandra Pande,,
1122,Govind Narain,,
1123,Govind Nihalani,,
1124,Govind Pandurang Kane,,
1125,Govind Ram Hada,,
1126,Govind Ram Nirmalkar,,
1127,Govind Sakharam Sardesai,,
1128,Govind Swarup,,
1129,Govinda Pillai Unnikrishna Menon,,
1130,Govindan Sundararajan,,
1131,Govindan Vijayaraghavan,,
1132,Govindappa Venkataswamy,,
1133,Govindarajan Padmanaban,,
1134,Govinddas Mannulal Shroff,,
1135,Gowri Ishwaran,,
1136,Grace Louise McCann Morley,,
1137,Grace Mary Linnel,,
1138,Granville Austin,,
1139,Grigoriy Lvovitch Bondarevsky,,
1140,Grigory Bongard-Levin,,
1141,Gubbi Veeranna,,
1142,Guduru Venkatachalam,,
1143,Gujarmal Modi,,
1144,Gul Bardhan,,
1145,Gulab Bai,,
1146,Gulabdas Broker,,
1147,Gulabo Sapera,,
1148,Gulam Mohammed Sheikh,,
1149,Gulam Qadir Lala,,
1150,Gulam Rabbani Taban,,
1151,Gulam Rusull Khan,,
1152,Gulestan Rustom Billimoria,,
1153,Gulfam Ahmed,,
1154,Gullapalli Nageswara Rao,,
1155,Gulshan Lal Tandon,,
1156,Gulshan Nanda,,
1157,Gulshan Rai,,
1158,Gulshan Rai Khatri,,
1159,Gulzar,,
1160,Gulzarilal Nanda,,
1161,Gummadi,,
1162,Gundappa Viswanath,,
1163,Gundu Bandopent Meemamsi,,
1164,Gunter Kruger,,
1165,Gunupati Venkata Krishna Reddy,,
1166,Gunvant Shah,,
1167,Gurbachan Jagat,,
1168,Gurbachan Singh Randhawa,,
1169,Gurbachan Singh Sindhu,,
1170,Gurbachan Singh Talib,,
1171,Gurcharan Singh,,
1172,Gurcharan Singh Kalkat,,
1173,Gurdev Singh Khush,,
1174,Gurdial Singh,,
1175,Gurdial Singh (mountaineer),,
1176,Gurdip Singh,,
1177,Gurdip Singh Randhawa,,
1178,Gurmayum Anita Devi,,
1179,Gurram Jashuva,,
1180,Gursaran Talwar,,
1181,Guru Aribam Surchand Sharma,,
1182,Guru Hanuman,,
1183,Guru Kunchu Kurup,,
1184,Guru Maa Kamali Soren,,
1185,Gurudas Mal,,
1186,Gurumayum Gourakishor Sharma,,
1187,Gury Marchuk,,
1188,Gyan Chand Jain,,
1189,Gyan Chandra Mishra,,
1190,Gyan Chaturvedi,,
1191,Gyan Singh,,
1192,Gyanesh Chandra Chatterjee,,
1193,H. Boniface Prabhu,,
1194,H. D. Shourie,,
1195,H. Govindrao Srinivasa Murthy,,
1196,H. K. Dua,,
1197,H. Kusum Sayani,,
1198,H. M. Desai,,
1199,H. P. S. Ahluwalia,,
1200,H. R. Nagendra,,
1201,H. R. Shah,,
1202,H. Thegtse Rinpoche,,
1203,H. V. R. Iyengar,,
1204,H. Y. Sharada Prasad,,
1205,Habib Rahman,,
1206,Habib Tanvir,,
1207,Habibullo Rajabov,,
1208,Habibur Rahman,,
1209,Hafeez Ahmed Khan,,
1210,Hafeez Contractor,,
1211,Hafiz Ali Khan,,
1212,Hafiz Mohamad Ibrahim,,
1213,Hakam Singh,,
1214,Hakim Abdul Hameed,,
1215,Hakim Syed Khaleefathullah,,
1216,Hakim Syed Zillur Rahman,,
1217,Haku Shah,,
1218,Haldhar Nag,,
1219,Hamidi Kashmiri,,
1220,Hamlet Bareh,,
1221,Hanamant Narhar 'Sudhanshu' Joshi,,
1222,Handel Manuel,,
1223,Hans Raj Hans,,
1224,Hans Raj Khanna,,
1225,Hansa Jivraj Mehta,,
1226,Hanumanbax Kanoi,,
1227,Hanumappa Sudarshan,,
1228,Haobam Ongbi Ngangbi Devi,,
1229,Har Gobind Khorana,,
1230,Har Krishna Lal Sethi,,
1231,Har Mander Singh,,
1232,Harbaksh Singh,,
1233,Harbans Singh Jolly,,
1234,Harbans Singh Wasir,,
1235,Harbhajan Singh,,
1236,Harbhajan Singh (mountaineer),,
1237,Harbhajan Singh Rissam,,
1238,Harbhajan Sinha,,
1239,Harekala Hajabba,,
1240,Hargovind Laxmishanker Trivedi,,
1241,Hari Chand Dewan,,
1242,Hari Govindrao Vartak,,
1243,Hari Kant Dang,,
1244,Hari Krishan Jain,,
1245,Hari Krishan Wattal,,
1246,Hari Narain,,
1247,Hari Prasad Jaiswal,,
1248,Hari Shankar Sharma,,
1249,Hari Shankar Singhania,,
1250,Hari Uppal,,
1251,Hari Vinayak Pataskar,,
1252,Haribhau Upadhyaya,,
1253,Haridas Siddhanta Bagish,,
1254,Haridas Thongram,,
1255,Haridwaramangalam A. K. Palanivel,,
1256,Harihar Kripalu Tripathi,,
1257,Hariharan,,
1258,Hariharan Srinivasan,,
1259,Harika Dronavalli,,
1260,Harindranath Chattopadhyay,,
1261,Hariprasad Chaurasia,"The 2013 documentary film Bansuri Guru features the life and legacy of Chaurasia and was directed by the musician's son Rajeev Chaurasia and produced by the Films Division, Ministry of Information and Broadcasting, Government of India.","2013 డాక్యుమెంటరీ చిత్రం బన్సురి గురు చౌరాసియా జీవితం, వారసత్వాన్ని కలిగి ఉంది, సంగీతకారుడి కుమారుడు రాజీవ్ చౌరాసియా దర్శకత్వం వహించారు, ఫిల్మ్స్ డివిజన్, సమాచార, ప్రసార మంత్రిత్వ శాఖ, భారత ప్రభుత్వం నిర్మించింది. "
1262,Harischandra Kashnath Karve,,
1263,Harish Chandra Sarin,,
1264,Harish Chandra Singh Rawat,,
1265,Harish Chandra Verma,,
1266,Harish Salve,,
1267,Harish-Chandra,,
1268,Harishankar Parsai,Parsai Kehate Hain an Indian television show which adapted several works of Harishankar Parsai into episodic stories aired on DD National in the early 2000s.,"పర్సాయి కెహతే హైన్ ఒక భారతీయ టెలివిజన్ షో, ఇది హరిశంకర్ పర్సాయి, అనేక రచనలను ఎపిసోడిక్ కథలుగా మార్చింది, ఇది 2000ల ప్రారంభంలో DD నేషనల్లో ప్రసారం చేయబడింది. "
1269,Harishchandra Gopal Patil,,
1270,Harivansh Rai Bachchan,,
1271,Harkishan Singh,,
1272,Harnam Das Wahi,,
1273,Haroon Khan Sherwani,,
1274,Harpinder Singh Chawla,,
1275,Harsh Gupta,,
1276,Harsh Kumar,,
1277,Harsh Mahajan,,
1278,Harsh Vardhan Bahuguna,,
1279,Harshavardhan Neotia,,
1280,Harshel Sawi Luaia,,
1281,Harvinder Singh Phoolka,,
1282,Hashmat Ullah Khan,,
1283,Hasmukh Chamanlal Shah,,
1284,Hasmukh Dhirajlal Sankalia,,
1285,Hasmukhbhai Parekh,,
1286,Hassan Nasiem Siddiquie,,
1287,Hazari Prasad Dwivedi,,
1288,Heinrich von Stietencron,,
1289,Heisnam Kanhailal,,
1290,Helen,,
1291,Helen Giri,,
1292,Hema Bharali,,
1293,Hema Malini,,
1294,Hemendra Prasad Barooah,,
1295,Hemendra Singh Panwar,,
1296,Hemi Bawa,,
1297,Hemlata Gupta,,
1298,Henning Holck-Larsen,,
1299,Herbert Alexandrovich Yefremov,,
1300,Herbert Fischer,,
1301,Hermann Kulke,,
1302,Hermenegild Santapau,,
1303,Hilda Mary Lazarus,,
1304,Hildamit Lepcha,,
1305,Himangshu Mohan Choudhury,,
1306,Himanshu Kumar Banerjee,,
1307,Himmata Ram Bhambhu,,
1308,Hira Lall Sibal,,
1309,Hirabai Barodekar,,
1310,Hiralal Yadav,,
1311,Hirebettu Sadananda Kamath,,
1312,Hirendranath Mukherjee,,
1313,Hisam-ud-din Usta,,
1314,Homai Vyarawalla,,
1315,Homi Cawas Sethnas,,
1316,Homi J. H. Taleyarkhan,,
1317,Homi Jehangir Bhabha,"Rocket Boys (2022) is a web-series inspired by the lives of Homi J. Bhabha, Vikram Sarabhai and A. P. J. Abdul Kalam.","రాకెట్ బాయ్స్ (2022) అనేది హోమీ జె జీవితాల నుండి ప్రేరణ పొందిన వెబ్ సిరీస్. భాభా, విక్రమ్ సారాభాయ్, ఎ. పి. జె. అబ్దుల్ కలాం |. "
1318,Homi K. Bhabha,,
1319,Homi Nusserwanji Sethna,,
1320,Homi Sethna,,
1321,Horace Alexander,,
1322,Hormasji Maneckji Seervai,,
1323,Hormazdiar Jamshedi Muncherji Desai,,
1324,Hosagrahar Chandrashekhariah Visvesvaraya,,
1325,Hosei Norota,,
1326,Hosur Narasimhaiah,,
1327,Hrangaia,,
1328,Hridaynath Mangeshkar,,
1329,Hrishikesh Mukherjee,,
1330,Huang Baosheng,,
1331,Hui Lan Zhang,,
1332,Hukmdev Narayan Yadav,,
1333,Hukumchand Patidar,,
1334,Humayun Mirza,,
1335,Humpy Koneru,,
1336,Hun Many,,
1337,Hundraj Lial Ram Dukhayal Manik,,
1338,Hussain Ahmad Madani,,
1339,I Nyoman Nuarta,,
1340,I. G. Patel,,
1341,I. V. Subba Rao,,
1342,Ibrahim Sutar,,
1343,Ignace Tirkey,,
1344,Ijwant Singh,,
1345,Ilaiyaraaja,,
1346,Ileana Citaristi,,
1347,Illias Ali,,
1348,Imitiaz Qureshi,,
1349,Immaneni Sathyamurthy,,
1350,Imran Shah,,
1351,Inder Mohan,,
1352,Inder Sharma,,
1353,Inderjit Kaur Barthakur,,
1354,Inderjit Singh Gill,,
1355,Indira Chakravarty,,
1356,Indira Hinduja,,
1357,Indira Jaising,,
1358,Indira Miri,,
1359,Indira Nath,,
1360,Indira P. P. Bora,,
1361,Indra Dassanayake,,
1362,Indra Kumar Gupta,,
1363,Indra Nooyi,,
1364,Indrani Rahman,,
1365,Indu Bhushan Sinha,,
1366,Indu Jain,,
1367,Indumati Chimanlal Sheth,,
1368,Iravatham Mahadevan,,
1369,Irfan Habib,,
1370,Irrfan Khan,,
1371,Irshad Mirza,,
1372,Irwin Allan Sealy,,
1373,Isaac Santra,,
1374,Isher Judge Ahluwalia,,
1375,Ishrat Ali Siddiqui,,
1376,Ishwar Chandra Gupta,,
1377,Ishwarbhai Jivaram Patel,,
1378,Ishwari Prasad,,
1379,Ismail Ahmed Cachalia,,
1380,Ismail Merchant,,
