,Recipients,WikiLink,Padma Shri Year,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan Year,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan Year,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Occupation,Election Year,Posthumus
813,Satya Prakash,https://en.wikipedia.org/wiki/Satya_Prakash,1982.0,"Gujarat, India",Science and Engineering,Neelam Sanjiva Reddy,,,,,,,,,"(1929-07-01)July 1, 1929
Najibabad,Uttar Pradesh, India","(1929-07-01)July 1, 1929","Najibabad,Uttar Pradesh, India",nan,nan,nan,Indian,,,Physical Research Laboratory,1975Hari Om Ashram Prerit Senior Scientist Award1982Padma Shri,,No,No
814,V. Narayana Rao,https://en.wikipedia.org/wiki/V._Narayana_Rao,1982.0,"Karnataka, India",Science and Engineering,Neelam Sanjiva Reddy,,,,,,,,,"(1921-12-21)21 December 1921
Bangalore,Karnataka, India",(1921-12-21)21 December 1921,"Bangalore,Karnataka, India",nan,nan,nan,,,,,"Padma Shri
VASVIK Industrial Research Award",Defence scientist,No,No
815,Gopal Krishna Saraf,,1982.0,"West Bengal, India",Medicine,Neelam Sanjiva Reddy,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
816,Sher Singh Sher,,1982.0,Chandigarh/India,Literature and Education,Neelam Sanjiva Reddy,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
817,Gaura Pant Shivani,https://en.wikipedia.org/wiki/Shivani,1982.0,"Uttar Pradesh, India",Literature and Education,Neelam Sanjiva Reddy,,,,,,,,,"(1923-10-17)17 October 1923
Rajkot, Gujarat, India",(1923-10-17)17 October 1923,"Rajkot, Gujarat, India","21 March 2003(2003-03-21)(aged 79)
New Delhi, India",21 March 2003(2003-03-21)(aged 79),"New Delhi, India",Indian,,,,,Novelist,No,No
818,C. P. Thakur,https://en.wikipedia.org/wiki/C._P._Thakur,1982.0,"Bihar, India",Medicine,Neelam Sanjiva Reddy,,,,,,,,,"(1931-12-21)21 December 1931(age 89)
Dubaha,Muzaffarpur district,Bihar, India",(1931-12-21)21 December 1931(age 89),"Dubaha,Muzaffarpur district,Bihar, India",nan,nan,nan,,Uma Thakur​(m.1957)​,,,,,No,No
819,Shiv Dutt Upadhyaya,https://en.wikipedia.org/wiki/Shiv_Dutt_Upadhyaya,1982.0,Delhi/India,Social Work,Neelam Sanjiva Reddy,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
820,Gautam Vaghela,https://en.wikipedia.org/wiki/Gautam_Vaghela,1982.0,"Maharashtra, India",Arts,Neelam Sanjiva Reddy,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
821,Ramaswamy M. Vasagam,,1982.0,"Kerala, India",Science and Engineering,Neelam Sanjiva Reddy,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
822,Palligarnai Thirumalai Venugopal,,1982.0,United States,Civil Service,Neelam Sanjiva Reddy,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
823,Rajendra Tansukh Vyas,,1982.0,"Maharashtra, India",Social Work,Neelam Sanjiva Reddy,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
824,Raj Vir Singh Yadav,https://en.wikipedia.org/wiki/Raj_Vir_Singh_Yadav,1982.0,Chandigarh/India,Medicine,Neelam Sanjiva Reddy,,,,,,,,,"(1937-07-27)27 July 1937
Badaun, Uttar Pradesh, India",(1937-07-27)27 July 1937,"Badaun, Uttar Pradesh, India",4 February 2006(2006-02-04)(aged 68),4 February 2006(2006-02-04)(aged 68),nan,Indian,,,,,Surgeon,No,No
825,Vijay Amritraj,https://en.wikipedia.org/wiki/Vijay_Amritraj,1983.0,"Tamil Nadu, India",Sports,Zail Singh,,,,,,,,,"(1953-12-14)14 December 1953(age 67)
Madras,Tamil Nadu,India",(1953-12-14)14 December 1953(age 67),"Madras,Tamil Nadu,India",nan,nan,nan,,,,,,,No,No
826,Kanwaljit Singh Bains,,1983.0,"Uttar Pradesh, India",Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
827,Raj Baveja,https://en.wikipedia.org/wiki/Raj_Baveja,1983.0,"Uttar Pradesh, India",Medicine,Zail Singh,,,,,,,,,"1934
Uttar Pradesh, India",1934.0,"Uttar Pradesh, India",nan,nan,nan,,,,,Padma Shri,"Gynecologist, Obstetrician",No,No
828,Dada Shewak Bhojraj,,1983.0,"Maharashtra, India",Social Work,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
829,Prakash Chandra,,1983.0,Delhi/India,Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
830,Ahalya Chari,https://en.wikipedia.org/wiki/Ahalya_Chari,1983.0,"Tamil Nadu, India",Literature and Education,Zail Singh,,,,,,,,,"1921
Rangoon, Burma",1921.0,"Rangoon, Burma","30 March 2013(2013-03-31)(aged 91)
Chennai,Tamil Nadu, India",30 March 2013(2013-03-31)(aged 91),"Chennai,Tamil Nadu, India",,,,,Padma Shri,Educationist,No,No
831,Amitabha Chaudhuri,,1983.0,"West Bengal, India",Literature and Education,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
832,Addepalli Sarvi Chetty,,1983.0,"Andhra Pradesh, India",Social Work,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
833,Saroj Raj Choudhury,https://en.wikipedia.org/wiki/Saroj_Raj_Choudhury,1983.0,"West Bengal, India",Science and Engineering,Zail Singh,,,,,,,,,"Odisha, India",nan,nan,nan,nan,nan,,Suklambari Choudhury,,,Padma Shri,Wildlife conservationist,No,No
834,Bahadur Singh Chouhan,https://en.wikipedia.org/wiki/Bahadur_Singh_Chouhan,1983.0,"Jharkhand, India",Sports,Zail Singh,,,,,,,,,8 February 1946(1946-02-08)(age75),8 February 1946(1946-02-08)(age75),nan,nan,nan,nan,,,,,,,No,No
835,Pamela Cullen,,1983.0,United Kingdom,Arts,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
836,R. Ganapati,,1983.0,"Maharashtra, India",Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
837,Sirkazhi Govindarajan,https://en.wikipedia.org/wiki/Sirkazhi_Govindarajan,1983.0,"Tamil Nadu, India",Arts,Zail Singh,,,,,,,,,"(1933-01-19)19 January 1933
Sirkazhi, Thanjavur districtMadras Presidency, British India",(1933-01-19)19 January 1933,"Sirkazhi, Thanjavur districtMadras Presidency, British India","24 March 1988(1988-03-24)(aged 55)
Chennai, Tamil Nadu, India.",24 March 1988(1988-03-24)(aged 55),"Chennai, Tamil Nadu, India.",,,,,,,No,No
838,Guru Hanuman,https://en.wikipedia.org/wiki/Guru_Hanuman,1983.0,Delhi/India,Sports,Zail Singh,,,,,,,,,"Vijay Pal Yadav
(1901-03-15)15 March 1901
Chirawa, Rajasthan",(1901-03-15)15 March 1901,nan,"24 May 1999(1999-05-24)(aged 98)
Meerut, Uttar Pradesh",24 May 1999(1999-05-24)(aged 98),"Meerut, Uttar Pradesh",,,,,,,No,No
839,Saliha Abid Hussain,https://en.wikipedia.org/wiki/Saliha_Abid_Hussain,1983.0,Delhi/India,Literature and Education,Zail Singh,,,,,,,,,India,nan,nan,nan,nan,nan,,,,,Padma Shri,Novelist,No,No
840,Chhattra Pati Joshi,,1983.0,Delhi/India,Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
841,Ar. V. Ma. Harkrishan Lal Kapur,,1983.0,Delhi/India,Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
842,Dara Kaikhuswrao Karanjavala,,1983.0,"Maharashtra, India",Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
843,Gulam Rusull Khan,,1983.0,Jammu & Kashmir/India,Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
844,Sharafat Hussain Khan,https://en.wikipedia.org/wiki/Sharafat_Hussain_Khan,1983.0,"Uttar Pradesh, India",Arts,Zail Singh,,,,,,,,,"(1930-07-01)1 July 1930
Atrauli,Uttar Pradesh,British India",(1930-07-01)1 July 1930,"Atrauli,Uttar Pradesh,British India",7 July 1985(1985-07-07)(aged 55),7 July 1985(1985-07-07)(aged 55),nan,India,,,,,,No,No
845,Nepal Mahato,https://en.wikipedia.org/wiki/Nepal_Mahato,1983.0,"West Bengal, India",Arts,Zail Singh,,,,,,,,,"(1961-10-26)26 October 1961(age 59)
Purulia,West Bengal",(1961-10-26)26 October 1961(age 59),"Purulia,West Bengal",nan,nan,nan,,Rita Mahato,Burdhman university,,,,No,No
846,Hundraj Lial Ram Dukhayal Manik,,1983.0,"Gujarat, India",Literature and Education,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
847,Handel Manuel,https://en.wikipedia.org/wiki/Handel_Manuel,1983.0,"Tamil Nadu, India",Arts,Zail Singh,,,,,,,,,"(1918-04-27)27 April 1918
Tuticorin, Tamil Nadu, India",(1918-04-27)27 April 1918,"Tuticorin, Tamil Nadu, India","22 October 1994(1994-10-22)(aged 76)
Chennai, India",22 October 1994(1994-10-22)(aged 76),"Chennai, India",,,,,,,No,No
848,Raghuvir Sharan Mitra,https://en.wikipedia.org/wiki/Raghuvir_Sharan_Mitra,1983.0,"Uttar Pradesh, India",Literature and Education,Zail Singh,,,,,,,,,"1919
India",1919.0,India,nan,nan,nan,,,,,Padma Shri,Hindi writer,No,No
849,M. P. Nachimuthu,https://en.wikipedia.org/wiki/M._P._Nachimuthu,1983.0,"Tamil Nadu, India",Social Work,Zail Singh,,,,,,,,,"Chennimalai,Tamil Nadu",nan,nan,nan,nan,nan,Indian,,,,Padma Shri(1983),Hand Loom - co-operative movement,No,No
850,Eliza Nelson,https://en.wikipedia.org/wiki/Eliza_Nelson,1983.0,"Maharashtra, India",Sports,Zail Singh,,,,,,,,,"27 September 1956
Pune,Maharashtra, India",1956-09-27 00:00:00,"Pune,Maharashtra, India",nan,nan,nan,,,,,,Field hockeyplayer,No,No
851,K. V. S. J. Peter,,1983.0,"Tamil Nadu, India",Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
852,Raghu Raj,,1983.0,"Uttar Pradesh, India",Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
853,Chand Ram,https://en.wikipedia.org/wiki/Chand_Ram,1983.0,"Haryana, India",Sports,Zail Singh,,,,,,,,,"(1958-01-26)26 January 1958(age 63)
Haryana, India",(1958-01-26)26 January 1958(age 63),"Haryana, India",nan,nan,nan,India,,,,,,No,No
854,Shishupal Ram,https://en.wikipedia.org/wiki/Shishupal_Ram,1983.0,"Bihar, India",Medicine,Zail Singh,,,,,,,,,"Bihar, India",nan,nan,"29 October 2011
Patna, Bihar, India",2011-10-29 00:00:00,"Patna, Bihar, India",,,,,Padma Shri,Pediatrician,No,No
855,Sidhu Randhawa,,1983.0,"Punjab, India",Arts,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
856,Narla Tata Rao,https://en.wikipedia.org/wiki/Narla_Tata_Rao,1983.0,"Andhra Pradesh, India",Civil Service,Zail Singh,,,,,,,,,2017-09-04 00:00:00,2017-09-04 00:00:00,nan,"7 April 2007(2007-04-07)(aged 90)
Hyderabad,India",7 April 2007(2007-04-07)(aged 90),"Hyderabad,India",Indian,,,,"Padma Shri
Om Prakash Bhasin Award",,No,No
857,Dharam Veer Sachdeva,,1983.0,Delhi/India,Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
858,Anselm Sawihlira,,1983.0,"Mizoram, India",Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
859,Hassan Nasiem Siddiquie,https://en.wikipedia.org/wiki/Hassan_Nasiem_Siddiquie,1983.0,"Goa, India",Science and Engineering,Zail Singh,,,,,,,,,"(1934-07-20)20 July 1934
Bijnor,Uttar Pradesh, India",(1934-07-20)20 July 1934,"Bijnor,Uttar Pradesh, India","14 November 1986(1986-11-14)(aged 52)
Goa, India",14 November 1986(1986-11-14)(aged 52),"Goa, India",Indian,,,National Institute of OceanographyGeological Survey of India,1978Shanti Swarup Bhatnagar Prize1983Padma Shri1986 Goa State AwardNational Mineral Award,,No,No
860,Attar Singh,https://en.wikipedia.org/wiki/Attar_Singh,1983.0,Chandigarh/India,Literature and Education,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
861,Kaur Singh,https://en.wikipedia.org/wiki/Kaur_Singh,1983.0,"Punjab, India",Sports,Zail Singh,,,,,,,,,"Malwa,Punjab,India",nan,nan,nan,nan,nan,Indian,,,,,,No,No
862,Liarenmayum Damu Singh,,1983.0,"Manipur, India",Sports,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
863,Sardar Sohan Singh,,1983.0,"Punjab, India",Arts,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
864,Sobha Singh,https://en.wikipedia.org/wiki/Sobha_Singh_(painter),1983.0,"Haryana, India",Arts,Zail Singh,,,,,,,,,(1901-11-29)29 November 1901,(1901-11-29)29 November 1901,nan,"22 August 1986(1986-08-22)(aged 84)
PGI, Chandigarh",22 August 1986(1986-08-22)(aged 84),"PGI, Chandigarh",Indian,,,,,,No,No
865,Jivanlal Moti Lal Thakore,,1983.0,"Gujarat, India",Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
866,Narain Singh Thapa,,1983.0,"Maharashtra, India",Arts,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
867,M. D. Valsamma,https://en.wikipedia.org/wiki/M._D._Valsamma,1983.0,"Kerala, India",Sports,Zail Singh,,,,,,,,,"(1960-10-21)21 October 1960(age 60)
Ottathai,Kannur,Kerala, India",(1960-10-21)21 October 1960(age 60),"Ottathai,Kannur,Kerala, India",nan,nan,nan,Indian,,,,,,No,No
868,Purshottam Lal Wahi,https://en.wikipedia.org/wiki/Purshottam_Lal_Wahi,1983.0,Chandigarh/India,Medicine,Zail Singh,,,,,,,,,"4 December 1928
Sargodha,Punjab,British India",2028-12-04 00:00:00,"Sargodha,Punjab,British India",nan,nan,nan,,Pushpa,,,Padma Shri,Cardiologist,No,No
869,Nekibuz Zaman,,1983.0,"Assam, India",Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
870,Geeta Zutshi,https://en.wikipedia.org/wiki/Geeta_Zutshi,1983.0,"Haryana, India",Sports,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
871,Ganga Devi,https://en.wikipedia.org/wiki/Ganga_Devi_(painter),1984.0,"Bihar, India",Arts,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
872,Mohammad Hamid Ansari,https://en.wikipedia.org/wiki/Mohammad_Hamid_Ansari,1984.0,Delhi/India,Civil Service,Zail Singh,,,,,,,,,"(1937-04-01)1 April 1937(age 84)
Calcutta,Bengal Presidency,British India",(1937-04-01)1 April 1937(age 84),"Calcutta,Bengal Presidency,British India",nan,nan,nan,Indian,Salma Ansari,"University of Calcutta
Aligarh Muslim University",,,,Yes,No
873,Mayangnokcha Ao,https://en.wikipedia.org/wiki/Mayangnokcha_Ao,1984.0,"Nagaland, India",Literature and Education,Zail Singh,,,,,,,,,"1901
Nagaland, India",1901.0,"Nagaland, India",1988.0,1988.0,nan,,,,,Certificate of Gallantry 1945-Member of British Empire MBE1946-Padma Shri1984,"Educationist
Writer",Yes,No
874,Charles Borromeo,https://en.wikipedia.org/wiki/Charles_Borromeo,1984.0,"Bihar, India",Sports,Zail Singh,,,,,,,,,"2 October 1538
Castle ofArona,Duchy of Milan",2 October 1538,"Castle ofArona,Duchy of Milan","3 November 1584(1584-11-03)(aged 46)
Milan",3 November 1584(1584-11-03)(aged 46),Milan,,,,,,,Yes,No
875,Kshem Suman Chandra,,1984.0,Delhi/India,Literature and Education,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
876,Lakshmi Kumari Chundawat,https://en.wikipedia.org/wiki/Lakshmi_Kumari_Chundawat,1984.0,"Rajasthan, India",Literature and Education,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
877,Maria Renee Cura,https://en.wikipedia.org/wiki/Maria_Renee_Cura,1984.0,Argentina,Science and Engineering,Zail Singh,,,,,,,,,Argentina,nan,nan,2007-07-12 00:00:00,2007-07-12 00:00:00,nan,,,,,Padma Shri,"Geographer, writer",Yes,No
878,Purshottam Das,https://en.wikipedia.org/wiki/Purushottam_Das,1984.0,"Rajasthan, India",Arts,Zail Singh,,,,,,,,,"(1907-07-07)July 7, 1907
Nathdwara","(1907-07-07)July 7, 1907",Nathdwara,nan,nan,nan,Indian,,,,,,Yes,No
879,Prem Nath Dhawan,,1984.0,"Tamil Nadu, India",Social Work,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
880,Phu Dorjee,https://en.wikipedia.org/wiki/Phu_Dorjee,1984.0,"Sikkim, India",Sports,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
881,Shanta Gandhi,https://en.wikipedia.org/wiki/Shanta_Gandhi,1984.0,"Maharashtra, India",Literature and Education,Zail Singh,,,,,,,,,"(1917-12-20)20 December 1917
Nashik",(1917-12-20)20 December 1917,Nashik,"6 May 2002(2002-05-06)(aged 84)
Mumbai",6 May 2002(2002-05-06)(aged 84),Mumbai,Indian,Victor Kiernan​​(m.1938;div.1946)​,,,,"Dancer, theatre director, playwright",Yes,No
882,Mukti Prasad Gogoi,,1984.0,"Assam, India",Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
883,Chuni Goswami,https://en.wikipedia.org/wiki/Chuni_Goswami,1984.0,"West Bengal, India",Sports,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
884,Sadhu Singh Hamdard,https://en.wikipedia.org/wiki/Sadhu_Singh_Hamdard,1984.0,"Punjab, India",Literature and Education,Zail Singh,,,,,,,,,"1918
Paddi math wali,Banga,Punjab, india",1918.0,"Paddi math wali,Banga,Punjab, india","27 July 1984(1984-07-27)(aged 66)
Jalandhar",27 July 1984(1984-07-27)(aged 66),Jalandhar,,,,,,Poet,Yes,No
885,Vera Hingorani,https://en.wikipedia.org/wiki/Vera_Hingorani,1984.0,Delhi/India,Medicine,Zail Singh,,,,,,,,,"(1924-12-23)23 December 1924
Bubak, India",(1924-12-23)23 December 1924,"Bubak, India","23 April 2018(2018-04-23)(aged 93)
Houston, Texas, U.S.",23 April 2018(2018-04-23)(aged 93),"Houston, Texas, U.S.",,,,,Padma Shri,"Gynaecologist
Obstetrician",Yes,No
886,Ganpatrao Jadhav,https://en.wikipedia.org/wiki/Ganpatrao_Jadhav,1984.0,"Maharashtra, India",Literature and Education,Zail Singh,,,,,,,,,"5 May 1908
Gaganbavada,Kolhapur district, India",2008-05-05 00:00:00,"Gaganbavada,Kolhapur district, India","20 May 1987 (aged 79)
Kolhapur, India",20 May 1987 (aged 79),"Kolhapur, India",,Indira Devi,,,"Padma Shri
Kakasaheb Limye Award
Acharya Atre Award","Journalist
Writer",Yes,No
887,Satya Pal Jagota,,1984.0,Canada,Civil Service,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
888,Basantibala Jena,,1984.0,"Odisha, India",Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
889,Pramod Kale,https://en.wikipedia.org/wiki/Pramod_Kale,1984.0,"Gujarat, India",Science and Engineering,Zail Singh,,,,,,,,,"(1941-03-04)March 4, 1941(age 80)
Pune,India","(1941-03-04)March 4, 1941(age 80)","Pune,India",nan,nan,nan,,,,,,,Yes,No
890,Bhupen Khakhar,https://en.wikipedia.org/wiki/Bhupen_Khakhar,1984.0,"Gujarat, India",Arts,Zail Singh,,,,,,,,,"Bhupen Khakhar
(1934-03-10)10 March 1934
Bombay, India",(1934-03-10)10 March 1934,nan,"8 August 2003(2003-08-08)(aged 69)
Baroda",8 August 2003(2003-08-08)(aged 69),Baroda,,,,,,,Yes,No
891,Mohmmed Khalilullah,,1984.0,Delhi/India,Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
892,D. K. Khullar,https://en.wikipedia.org/wiki/D._K._Khullar,1984.0,"Punjab, India",Sports,Zail Singh,,,,,,,,,"1941
Bassi Pathana,Fatehgarh district,Punjab, India",1941.0,"Bassi Pathana,Fatehgarh district,Punjab, India",nan,nan,nan,,,,,Padma Shri,"Mountaineer
writer
Army personnel",Yes,No
893,Ben Kingsley,https://en.wikipedia.org/wiki/Ben_Kingsley,1984.0,United Kingdom,Arts,Zail Singh,,,,,,,,,"Krishna Pandit Bhanji
(1943-12-31)31 December 1943(age 77)
Snainton,Yorkshire, England",(1943-12-31)31 December 1943(age 77),nan,nan,nan,nan,,Angela Morant​​(m.1966;div.1976)​Alison Sutcliffe​​(m.1978;div.1992)​Alexandra Christmann​​(m.2003;div.2005)​Daniela Lavender​(m.2007)​,,,,Actor,Yes,No
894,John Arthur King Martyn,,1984.0,"Uttarakhand, India",Literature and Education,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
895,K. P. Mathur,https://en.wikipedia.org/wiki/K._P._Mathur,1984.0,Delhi/India,Medicine,Zail Singh,,,,,,,,,India,nan,nan,nan,nan,nan,,,,,Padma Shri,Physician,Yes,No
896,Vinay Chandra Maudgalya,https://en.wikipedia.org/wiki/Vinay_Chandra_Maudgalya,1984.0,Delhi/India,Arts,Zail Singh,,,,,,,,,"2 April 1918
New Delhi,India",2018-04-02 00:00:00,"New Delhi,India",1995.0,1995.0,nan,,Padma Devi,,,Padma Shri,"Classical musician
Vocalist",Yes,No
897,Roshan Kumari,https://en.wikipedia.org/wiki/Roshan_Kumari,1984.0,"Maharashtra, India",Arts,Zail Singh,,,,,,,,,"24 December
Ambala,Haryana, India",2022-12-24 00:00:00,"Ambala,Haryana, India",nan,nan,nan,,,,,"Padma Shri
Sangeet Natak Akademi Award
Nritya Shiromani
Nritya Vilas
Vishwa Unnyyan Samsad
Maharashtra Gaurav Puraskar
Kathak Kendra Man Patra
All India Bhuwalka Award
Hanumant Award","Classical dancer
Actor
Choreographer",Yes,No
898,Deori Omem Moyong,https://en.wikipedia.org/wiki/Deori_Omem_Moyong,1984.0,Delhi/India,Social Work,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
899,Mavelikara Krishnankutty Nair,https://en.wikipedia.org/wiki/Mavelikara_Krishnankutty_Nair,1984.0,"Kerala, India",Arts,Zail Singh,,,,,,,,,"Mavelikara,Kerala,India",nan,nan,nan,nan,nan,Indian,,,,,Mridangam player,Yes,No
900,N. Balakrishnan Nair,https://en.wikipedia.org/wiki/N._Balakrishnan_Nair,1984.0,"Kerala, India",Medicine,Zail Singh,,,,,,,,,"(1927-07-06)6 July 1927
Kerala, India",(1927-07-06)6 July 1927,"Kerala, India","21 April 2010(2010-04-21)(aged 82)
Vazhuthacaud,Kerala, India",21 April 2010(2010-04-21)(aged 82),"Vazhuthacaud,Kerala, India",Indian,,,"University of KeralaKerala State Council for Science, Technology and EnvironmentKerala State Coastal Zone Management AuthorityCouncil of Scientific and Industrial Research","1971Shanti Swarup Bhatnagar Prize
1980 All India Congress of Zoology Gold Medal
1984Padma Shri
1988INSAChandrakala Hora Memorial Medal",,Yes,No
901,K. Narayanan,,1984.0,"Gujarat, India",Science and Engineering,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
902,Awadhesh Prasad Pandey,,1984.0,"Andhra Pradesh, India",Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
903,Nilamber Pant,https://en.wikipedia.org/wiki/Nilamber_Pant,1984.0,"Karnataka, India",Science and Engineering,Zail Singh,,,,,,,,,"25 July 1931
Almora,Uttarakhand, India",1931-07-25 00:00:00,"Almora,Uttarakhand, India",nan,nan,nan,,,,,"Padma Shri
Shri Hari Om Ashram Prerit Dr.Vikram SarabhaiResearch Award
Dr. Biren Roy Space Award
Aryabhata Award
Vikram SarabhaiMemorial Award
ISROPerformance Excellence Award
ISROLifetime Achievement Award",Space scientist,Yes,No
904,Dharamchand Patni,,1984.0,"Manipur, India",Social Work,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
905,Sooranad Kunjan Pillai,https://en.wikipedia.org/wiki/Sooranad_Kunjan_Pillai,1984.0,"Kerala, India",Literature and Education,Zail Singh,,,,,,,,,"(1911-06-24)24 June 1911
Sooranad,Kingdom of Travancore,British India(present dayKollam,Kerala, India)",(1911-06-24)24 June 1911,"Sooranad,Kingdom of Travancore,British India(present dayKollam,Kerala, India)","8 March 1995(1995-03-08)(aged 83)
Thiruvananthapuram,Kerala, India",8 March 1995(1995-03-08)(aged 83),"Thiruvananthapuram,Kerala, India",Indian,C. Bhagavati Amma,,,Sahithya Nipunan1976Kerala Sahitya Akademi Fellowship1984Padmashri1992Vallathol Award1993Ezhuthachan Puraskaram,,Yes,No
906,Zainulabedin Gulam Husain Rangoonwala,https://en.wikipedia.org/wiki/Zainulabedin_Gulamhusain_Rangoonwala,1984.0,"Maharashtra, India",Social Work,Zail Singh,,,,,,,,,"(1913-07-01)July 1, 1913
Rangoon,Burma","(1913-07-01)July 1, 1913","Rangoon,Burma","(1994-05-28)May 28, 1994 (age 80)
Peterborough,United Kingdom","(1994-05-28)May 28, 1994 (age 80)","Peterborough,United Kingdom",Indian,,,,"Padmashri 1984, 
Rajiv Gandhi Medal of Merit 1992",,Yes,No
907,Myneni Hariprasada Rao,https://en.wikipedia.org/wiki/Myneni_Hariprasada_Rao,1984.0,"Maharashtra, India",Science and Engineering,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
908,Nek Chand Saini,https://en.wikipedia.org/wiki/Nek_Chand,1984.0,Chandigarh/India,Arts,Zail Singh,,,,,,,,,"(1924-12-15)15 December 1924
Barian Kalan,Shakargarh (pre-partition Gurdaspur district),British Indian Empire(now in Pakistan)",(1924-12-15)15 December 1924,"Barian Kalan,Shakargarh (pre-partition Gurdaspur district),British Indian Empire(now in Pakistan)","12 June 2015(2015-06-12)(aged 90)
Chandigarh,India",12 June 2015(2015-06-12)(aged 90),"Chandigarh,India",Indian,,,,Padma Shri(1984),,Yes,No
909,Syed Nasaar Ahmed Shah,,1984.0,Jammu & Kashmir/India,Medicine,Zail Singh,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
